# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol]
0.2275000,0.2275000,0.2275000,1804.5462639,-0.7349038,inf,1804.5462639,1116.4846653,inf
0.2300000,0.2300000,0.2300000,1651.6573969,-0.7230066,inf,1651.6573969,1021.2263868,inf
0.2325000,0.2325000,0.2325000,1510.7112936,-0.7111363,inf,1510.7112936,933.4596019,inf
0.2350000,0.2350000,0.2350000,1380.9092083,-0.6993055,inf,1380.9092083,852.6799271,inf
0.2375000,0.2375000,0.2375000,1261.4894341,-0.6875258,inf,1261.4894341,778.4066794,inf
0.2400000,0.2400000,0.2400000,1151.7275098,-0.6758081,1728.7762825,1151.7275098,710.1829661,inf
0.2425000,0.2425000,0.2425000,1050.9361796,-0.6641626,1425.3360124,1050.9361796,647.5756201,inf
0.2450000,0.2450000,0.2450000,958.4651178,-0.6525985,1180.1919639,958.4651178,590.1749908,inf
0.2475000,0.2475000,0.2475000,873.7004393,-0.6411245,981.0892174,873.7004393,537.5946002,inf
0.2500000,0.2500000,0.2500000,796.0640156,-0.6297485,818.5709309,796.0640156,489.4706814,inf
0.2525000,0.2525000,0.2525000,725.0126209,-0.6184779,685.2749455,725.0126209,445.4616108,inf
0.2550000,0.2550000,0.2550000,660.0369308,-0.6073192,575.1603606,660.0369308,405.2472505,inf
0.2575000,0.2575000,0.2575000,600.6603983,-0.5962784,482.7835998,600.6603983,368.5282168,inf
0.2600000,0.2600000,0.2600000,546.4380309,-0.5853611,405.1622241,546.4380309,335.0250875,inf
0.2625000,0.2625000,0.2625000,496.9550895,-0.5745720,340.6343433,496.9550895,304.4775636,inf
0.2650000,0.2650000,0.2650000,451.8257318,-0.5639157,287.0872433,451.8257318,276.6435972,inf
0.2675000,0.2675000,0.2675000,410.6916174,-0.5533960,242.5379437,410.6916174,251.2984984,1819.0082393
