# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,9140936.6708288,75627.9602960,48373.3743774,306159.3903313,4532.9111264,215462.1015593,75629.0087498,75626.9118422,89153.1741655,56385.4181993,1580221.8018263,75627.9602960,48373.3743774,306159.3903313,4532.9111264,215462.1015593,75629.0087498,75626.9118422,89153.1741655,56385.4181993,1580221.8018263
0.0025000,0.0025000,0.0025000,inf,nan,7579811.1939175,70587.4481314,45140.3721668,285870.4473923,4222.0084421,201179.1857888,70588.6053342,70586.2909287,83211.2228404,52627.3982127,1475461.6268758,70587.4481314,45140.3721668,285870.4473923,4222.0084421,201179.1857888,70588.6053342,70586.2909287,83211.2228404,52627.3982127,1475461.6268758
0.0050000,0.0050000,0.0050000,inf,nan,7627295.6032664,65821.4427924,42083.9892543,266682.3624152,3928.3186500,187671.5579118,65822.8193857,65820.0661990,77592.8708129,49074.0403920,1376388.1627151,65821.4427924,42083.9892543,266682.3624152,3928.3186500,187671.5579118,65822.8193857,65820.0661990,77592.8708129,49074.0403920,1376388.1627151
0.0075000,0.0075000,0.0075000,inf,nan,9358214.1375998,61332.6102523,39205.8778085,248606.8043484,3651.9648864,174947.3926518,61334.3190396,61330.9014650,72301.2608358,45727.3323886,1283061.2971221,61332.6102523,39205.8778085,248606.8043484,3651.9648864,174947.3926518,61334.3190396,61330.9014650,72301.2608358,45727.3323886,1283061.2971221
0.0100000,0.0100000,0.0100000,inf,nan,13415947.8340068,57121.2140902,36506.1514807,231645.7376954,3392.9235975,163008.0342000,57123.3699679,57119.0582125,67336.7036265,42587.4707175,1195490.8205509,57121.2140902,36506.1514807,231645.7376954,3392.9235975,163008.0342000,57123.3699679,57119.0582125,67336.7036265,42587.4707175,1195490.8205509
0.0125000,0.0125000,0.0125000,inf,nan,21342515.7275222,53185.3174137,33983.5151837,215792.2337903,3151.0373073,151848.5673192,53188.0372985,53182.5975289,62696.9159008,39653.0113029,1113640.6149638,53185.3174137,33983.5151837,215792.2337903,3151.0373073,151848.5673192,53188.0372985,53182.5975289,62696.9159008,39653.0113029,1113640.6149638
0.0150000,0.0150000,0.0150000,inf,nan,17633860.0781649,49520.9993978,31635.4040823,201031.3435811,2926.0281991,141458.4316127,49524.4021471,49517.5966485,58377.2756383,36921.0309225,1037433.1590521,49520.9993978,31635.4040823,201031.3435811,2926.0281991,141458.4316127,49524.4021471,49517.5966485,58377.2756383,36921.0309225,1037433.1590521
0.0175000,0.0175000,0.0175000,inf,nan,11427688.7540484,46122.5798162,29458.1275533,187341.0052366,2717.5121023,131822.0601733,46126.7861403,46118.3734921,54371.0867677,34387.2946089,966754.2120622,46122.5798162,29458.1275533,187341.0052366,2717.5121023,131822.0601733,46126.7861403,46118.3734921,54371.0867677,34387.2946089,966754.2120622
0.0200000,0.0200000,0.0200000,inf,nan,7959264.6870063,42982.8456720,27447.0143364,174692.9628449,2525.0125253,122919.5259047,42987.9780347,42977.7133093,50669.8463283,32046.4246177,901457.5536691,42982.8456720,27447.0143364,174692.9628449,2525.0125253,122919.5259047,42987.9780347,42977.7133093,50669.8463283,32046.4246177,901457.5536691
0.0225000,0.0225000,0.0225000,inf,nan,6144849.4246474,40093.2748827,25596.5556463,163053.6758811,2347.9744269,114727.1812041,40099.4573888,40087.0923766,47263.5081588,29892.0671983,841369.6749494,40093.2748827,25596.5556463,163053.6758811,2347.9744269,114727.1812041,40099.4573888,40087.0923766,47263.5081588,29892.0671983,841369.6749494
