# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
0.0000000,0.0000000,0.0000000,2285292013957406976.0000000
0.0050000,0.0050000,0.0050000,20685639511236492.0000000
0.0100000,0.0100000,0.0100000,706427082843244.7500000
0.0150000,0.0150000,0.0150000,50697784389155.9296875
0.0200000,0.0200000,0.0200000,5848597519343.8515625
0.0250000,0.0250000,0.0250000,938146075878.2993164
0.0300000,0.0300000,0.0300000,191740647761.9613037
0.0350000,0.0350000,0.0350000,47181722777.4737778
0.0400000,0.0400000,0.0400000,13445973295.7165699
0.0450000,0.0450000,0.0450000,4316914233.6144571
0.0500000,0.0500000,0.0500000,1530544571.2412143
0.0550000,0.0550000,0.0550000,591010607.1671609
0.0600000,0.0600000,0.0600000,246713307.4093158
0.0650000,0.0650000,0.0650000,111487468.7393169
0.0700000,0.0700000,0.0700000,53029674.8335903
0.0750000,0.0750000,0.0750000,26009061.6865610
0.0800000,0.0800000,0.0800000,13464499.7010789
0.0850000,0.0850000,0.0850000,7342632.5553547
0.0900000,0.0900000,0.0900000,4188046.6923278
0.0950000,0.0950000,0.0950000,2517189.4280134
0.1000000,0.1000000,0.1000000,1592637.2434425
0.1050000,0.1050000,0.1050000,1001134.7541756
0.1100000,0.1100000,0.1100000,616449.3567253
0.1150000,0.1150000,0.1150000,391402.6663423
0.1200000,0.1200000,0.1200000,255932.9756045
0.1250000,0.1250000,0.1250000,170788.6042995
0.1300000,0.1300000,0.1300000,111889.8279801
0.1350000,0.1350000,0.1350000,74831.5633015
0.1400000,0.1400000,0.1400000,51034.7412013
0.1450000,0.1450000,0.1450000,35156.2608324
0.1500000,0.1500000,0.1500000,24482.3768046
0.1550000,0.1550000,0.1550000,17302.3391124
0.1600000,0.1600000,0.1600000,12143.1921523
0.1650000,0.1650000,0.1650000,8593.5719514
0.1700000,0.1700000,0.1700000,6149.2654753
0.1750000,0.1750000,0.1750000,4445.4435397
0.1800000,0.1800000,0.1800000,3242.3822685
0.1850000,0.1850000,0.1850000,2370.6539452
0.1900000,0.1900000,0.1900000,1762.7046110
0.1950000,0.1950000,0.1950000,1312.9267878
0.2000000,0.2000000,0.2000000,985.4141341
0.2050000,0.2050000,0.2050000,744.8050059
0.2100000,0.2100000,0.2100000,566.2072575
0.2150000,0.2150000,0.2150000,432.5391341
0.2200000,0.2200000,0.2200000,332.1688496
0.2250000,0.2250000,0.2250000,256.5411542
0.2300000,0.2300000,0.2300000,199.2688306
0.2350000,0.2350000,0.2350000,155.6539879
0.2400000,0.2400000,0.2400000,122.2587789
0.2450000,0.2450000,0.2450000,96.5515185
0.2500000,0.2500000,0.2500000,76.6532260
0.2550000,0.2550000,0.2550000,61.1672531
0.2600000,0.2600000,0.2600000,49.0556482
