# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,12559303208.9682465
0.0050000,0.0050000,0.0050000,4733144822.9056158
0.0100000,0.0100000,0.0100000,1920033065.8721983
0.0150000,0.0150000,0.0150000,830624598.0731047
0.0200000,0.0200000,0.0200000,380660343.3574839
0.0250000,0.0250000,0.0250000,184032618.0293714
0.0300000,0.0300000,0.0300000,93703829.3080114
0.0350000,0.0350000,0.0350000,50286829.7665994
0.0400000,0.0400000,0.0400000,28517675.5920538
0.0450000,0.0450000,0.0450000,17142685.5787636
0.0500000,0.0500000,0.0500000,10940043.1623484
0.0550000,0.0550000,0.0550000,7397640.9709008
0.0600000,0.0600000,0.0600000,5267944.9623307
0.0650000,0.0650000,0.0650000,3913943.2896696
0.0700000,0.0700000,0.0700000,2912070.3833907
0.0750000,0.0750000,0.0750000,2161087.7697045
0.0800000,0.0800000,0.0800000,1638322.5448150
0.0850000,0.0850000,0.0850000,1263432.7967198
0.0900000,0.0900000,0.0900000,988349.5065947
0.0950000,0.0950000,0.0950000,783096.1239698
0.1000000,0.1000000,0.1000000,628113.4770044
0.1050000,0.1050000,0.1050000,490251.1503148
0.1100000,0.1100000,0.1100000,388122.7768711
0.1150000,0.1150000,0.1150000,314441.6388073
0.1200000,0.1200000,0.1200000,260191.8619476
0.1250000,0.1250000,0.1250000,211865.1797243
0.1300000,0.1300000,0.1300000,169849.2456215
0.1350000,0.1350000,0.1350000,136578.9520673
0.1400000,0.1400000,0.1400000,109795.2391442
0.1450000,0.1450000,0.1450000,82070.1509083
0.1500000,0.1500000,0.1500000,61909.2962364
0.1550000,0.1550000,0.1550000,47081.4569566
0.1600000,0.1600000,0.1600000,36060.7747482
0.1650000,0.1650000,0.1650000,27790.9118120
0.1700000,0.1700000,0.1700000,21531.5683595
0.1750000,0.1750000,0.1750000,16757.5919397
0.1800000,0.1800000,0.1800000,13091.9866849
0.1850000,0.1850000,0.1850000,10260.9760743
0.1900000,0.1900000,0.1900000,8063.5439129
0.1950000,0.1950000,0.1950000,6350.5672657
0.2000000,0.2000000,0.2000000,4963.5954092
0.2050000,0.2050000,0.2050000,3878.9296681
0.2100000,0.2100000,0.2100000,3037.2075153
0.2150000,0.2150000,0.2150000,2382.0415350
0.2200000,0.2200000,0.2200000,1870.6726454
0.2250000,0.2250000,0.2250000,1482.5028114
0.2300000,0.2300000,0.2300000,1168.6731674
0.2350000,0.2350000,0.2350000,922.0254181
0.2400000,0.2400000,0.2400000,727.8159211
0.2450000,0.2450000,0.2450000,574.6437285
0.2500000,0.2500000,0.2500000,453.6648365
0.2550000,0.2550000,0.2550000,357.9983689
0.2600000,0.2600000,0.2600000,282.2756506
0.2650000,0.2650000,0.2650000,222.2954432
0.2700000,0.2700000,0.2700000,174.7582339
