# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
0.0000000,0.0000000,0.0000000,54694731010.9953384
0.0050000,0.0050000,0.0050000,21477473479.8679352
0.0100000,0.0100000,0.0100000,9025781862.8729095
0.0150000,0.0150000,0.0150000,4036101291.5535412
0.0200000,0.0200000,0.0200000,1927826300.9017127
0.0250000,0.0250000,0.0250000,1014539886.6650565
0.0300000,0.0300000,0.0300000,648961561.1043024
0.0350000,0.0350000,0.0350000,512853596.2508842
0.0400000,0.0400000,0.0400000,398340663.3322133
0.0450000,0.0450000,0.0450000,304413320.6610819
0.0500000,0.0500000,0.0500000,226112720.6432947
0.0550000,0.0550000,0.0550000,166444836.9095215
0.0600000,0.0600000,0.0600000,120850434.5646171
0.0650000,0.0650000,0.0650000,87119315.3761469
0.0700000,0.0700000,0.0700000,62152488.8807691
0.0750000,0.0750000,0.0750000,44379223.5785907
0.0800000,0.0800000,0.0800000,31303517.9948387
0.0850000,0.0850000,0.0850000,22199684.8014100
0.0900000,0.0900000,0.0900000,15674810.8554216
0.0950000,0.0950000,0.0950000,11107023.3539358
0.1000000,0.1000000,0.1000000,7865597.9038154
0.1050000,0.1050000,0.1050000,5580047.5072895
0.1100000,0.1100000,0.1100000,3977668.0705726
0.1150000,0.1150000,0.1150000,2849589.4896164
0.1200000,0.1200000,0.1200000,2047147.8994734
0.1250000,0.1250000,0.1250000,1477260.6090466
0.1300000,0.1300000,0.1300000,1074799.7310483
0.1350000,0.1350000,0.1350000,787883.4405679
0.1400000,0.1400000,0.1400000,578775.6193951
0.1450000,0.1450000,0.1450000,422316.9128655
0.1500000,0.1500000,0.1500000,310392.1988745
0.1550000,0.1550000,0.1550000,229687.2893762
0.1600000,0.1600000,0.1600000,171056.8040239
0.1650000,0.1650000,0.1650000,128161.2943357
0.1700000,0.1700000,0.1700000,96568.1004236
0.1750000,0.1750000,0.1750000,73152.2578201
0.1800000,0.1800000,0.1800000,55693.4962348
0.1850000,0.1850000,0.1850000,42602.6492970
0.1900000,0.1900000,0.1900000,32734.2835034
0.1950000,0.1950000,0.1950000,25257.2983710
0.2000000,0.2000000,0.2000000,19420.3988915
0.2050000,0.2050000,0.2050000,14979.1267410
0.2100000,0.2100000,0.2100000,11600.0724709
0.2150000,0.2150000,0.2150000,9016.9332329
0.2200000,0.2200000,0.2200000,7033.3058130
0.2250000,0.2250000,0.2250000,5503.5218930
0.2300000,0.2300000,0.2300000,4318.9574145
0.2350000,0.2350000,0.2350000,3398.1914291
0.2400000,0.2400000,0.2400000,2679.8895139
0.2450000,0.2450000,0.2450000,2117.6276303
0.2500000,0.2500000,0.2500000,1689.7212278
0.2550000,0.2550000,0.2550000,1341.9810734
0.2600000,0.2600000,0.2600000,1067.3440173
0.2650000,0.2650000,0.2650000,849.8828636
0.2700000,0.2700000,0.2700000,677.2813965
0.2750000,0.2750000,0.2750000,539.9828920
0.2800000,0.2800000,0.2800000,430.5471985
