# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.0000000,0.0000000,0.0000000,228404634.1881008,228404634.1881008
0.0050000,0.0050000,0.0050000,207396387.8028976,207396387.8028976
0.0100000,0.0100000,0.0100000,178475775.4592126,178475775.4592126
0.0150000,0.0150000,0.0150000,146831078.4377664,146831078.4377664
0.0200000,0.0200000,0.0200000,115538234.9479223,115538234.9479223
0.0250000,0.0250000,0.0250000,87754127.7429552,87754127.7429552
0.0300000,0.0300000,0.0300000,64629159.3667539,64629159.3667539
0.0350000,0.0350000,0.0350000,46369038.9777097,46369038.9777097
0.0400000,0.0400000,0.0400000,32619445.8369246,32619445.8369246
0.0450000,0.0450000,0.0450000,22371814.4401683,22371814.4401683
0.0500000,0.0500000,0.0500000,15105271.0356285,15105271.0356285
0.0550000,0.0550000,0.0550000,10131368.9073628,10131368.9073628
0.0600000,0.0600000,0.0600000,6780979.3990496,6780979.3990496
0.0650000,0.0650000,0.0650000,4528794.3352789,4528794.3352789
0.0700000,0.0700000,0.0700000,3024734.0700673,3024734.0700673
0.0750000,0.0750000,0.0750000,2023457.3224135,2023457.3224135
0.0800000,0.0800000,0.0800000,1357573.1870110,1357573.1870110
0.0850000,0.0850000,0.0850000,914447.1824249,914447.1824249
0.0900000,0.0900000,0.0900000,618960.1559151,618960.1559151
0.0950000,0.0950000,0.0950000,420589.3106675,420589.3106675
0.1000000,0.1000000,0.1000000,287673.3857701,287673.3857701
0.1050000,0.1050000,0.1050000,198186.2535933,198186.2535933
0.1100000,0.1100000,0.1100000,137565.9060683,137565.9060683
0.1150000,0.1150000,0.1150000,96223.0870956,96223.0870956
0.1200000,0.1200000,0.1200000,67572.3906819,67572.3906819
0.1250000,0.1250000,0.1250000,47793.7565995,47793.7565995
0.1300000,0.1300000,0.1300000,33968.0675060,33968.0675060
0.1350000,0.1350000,0.1350000,24296.6161149,24296.6161149
0.1400000,0.1400000,0.1400000,17491.5474723,17491.5474723
0.1450000,0.1450000,0.1450000,12670.5583045,12670.5583045
0.1500000,0.1500000,0.1500000,9233.0649032,9233.0649032
0.1550000,0.1550000,0.1550000,6767.1117148,6767.1117148
0.1600000,0.1600000,0.1600000,4987.9903068,4987.9903068
0.1650000,0.1650000,0.1650000,3697.4946834,3697.4946834
0.1700000,0.1700000,0.1700000,2756.6770896,2756.6770896
0.1750000,0.1750000,0.1750000,2067.4908031,2067.4908031
0.1800000,0.1800000,0.1800000,1584.4551392,1560.3240065
0.1850000,0.1850000,0.1850000,1208.7424555,1185.4684634
0.1900000,0.1900000,0.1900000,927.9953089,904.1068025
0.1950000,0.1950000,0.1950000,716.7743786,693.5381855
0.2000000,0.2000000,0.2000000,556.0338990,533.4659880
0.2050000,0.2050000,0.2050000,433.9497263,411.0118177
0.2100000,0.2100000,0.2100000,341.3132124,319.0803428
0.2150000,0.2150000,0.2150000,270.1731065,248.9748570
0.2200000,0.2200000,0.2200000,212.7296251,189.2703387
0.2250000,0.2250000,0.2250000,159.8376546,140.4782160
0.2300000,0.2300000,0.2300000,109.1155405,90.8597779
0.2350000,0.2350000,0.2350000,68.2490382,48.3392328
0.2400000,0.2400000,0.2400000,36.9637114,16.0104039
0.2450000,0.2450000,0.2450000,13.2762475,-7.9393044
0.2500000,0.2500000,0.2500000,-4.5791995,-25.6732535
0.2550000,0.2550000,0.2550000,-18.0703258,-39.1254069
0.2600000,0.2600000,0.2600000,-28.2879039,-49.5257532
0.2650000,0.2650000,0.2650000,-36.0593008,-57.9588704
0.2700000,0.2700000,0.2700000,-42.2738624,-63.6883656
0.2750000,0.2750000,0.2750000,-47.4418748,-67.9416597
0.2800000,0.2800000,0.2800000,-51.8846933,-71.9883059
0.2850000,0.2850000,0.2850000,-55.8983884,-74.3450947
0.2900000,0.2900000,0.2900000,-59.0042334,-77.1060481
0.2950000,0.2950000,0.2950000,-61.0320515,-79.4290486
0.3000000,0.3000000,0.3000000,-62.1685174,-81.5562810
0.3050000,0.3050000,0.3050000,-62.7246661,-82.2088431
0.3100000,0.3100000,0.3100000,-63.2895347,-81.8523154
0.3150000,0.3150000,0.3150000,-64.2833389,-82.2951091
0.3200000,0.3200000,0.3200000,-65.0546563,-82.2599581
0.3250000,0.3250000,0.3250000,-65.1248087,-81.4245253
0.3300000,0.3300000,0.3300000,-64.5481442,-80.7898248
0.3350000,0.3350000,0.3350000,-63.5164501,-79.5756334
0.3400000,0.3400000,0.3400000,-62.2009557,-77.9796102
0.3450000,0.3450000,0.3450000,-60.7206905,-76.5703100
0.3500000,0.3500000,0.3500000,-59.1466649,-75.1168861
0.3550000,0.3550000,0.3550000,-57.5176586,-73.4309917
0.3600000,0.3600000,0.3600000,-55.8560308,-71.6014361
0.3650000,0.3650000,0.3650000,-54.1776506,-69.6918783
0.3700000,0.3700000,0.3700000,-52.4960648,-67.7478409
0.3750000,0.3750000,0.3750000,-50.8234835,-65.8016986
0.3800000,0.3800000,0.3800000,-49.1706616,-63.8762545
0.3850000,0.3850000,0.3850000,-47.5466515,-61.9873223
0.3900000,0.3900000,0.3900000,-45.9587137,-60.1456034
0.3950000,0.3950000,0.3950000,-44.4123922,-58.3580586
0.4000000,0.4000000,0.4000000,-42.9116932,-56.6289158
0.4050000,0.4050000,0.4050000,-41.4593078,-54.9604124
0.4100000,0.4100000,0.4100000,-40.0568405,-53.3533452
0.4150000,0.4150000,0.4150000,-38.7050212,-51.8074774
0.4200000,0.4200000,0.4200000,-37.4038910,-50.3218411
0.4250000,0.4250000,0.4250000,-36.1529601,-48.9148638
0.4300000,0.4300000,0.4300000,-34.9513374,-47.6061021
0.4350000,0.4350000,0.4350000,-33.7978362,-46.3436493
0.4400000,0.4400000,0.4400000,-32.6910581,-45.1265869
0.4450000,0.4450000,0.4450000,-31.6294598,-43.9537369
0.4500000,0.4500000,0.4500000,-30.6114052,-42.8237463
0.4550000,0.4550000,0.4550000,-29.6352059,-41.7351514
0.4600000,0.4600000,0.4600000,-28.6991527,-40.6864250
0.4650000,0.4650000,0.4650000,-27.8015389,-39.6760129
0.4700000,0.4700000,0.4700000,-26.9406787,-38.7170136
0.4750000,0.4750000,0.4750000,-26.1149203,-37.8012733
0.4800000,0.4800000,0.4800000,-25.3226558,-36.9166178
