# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,13467609583.5581455
0.0050000,0.0050000,0.0050000,5253256107.1242132
0.0100000,0.0100000,0.0100000,2192719242.8793688
0.0150000,0.0150000,0.0150000,991046803.2986733
0.0200000,0.0200000,0.0200000,500937828.2134040
0.0250000,0.0250000,0.0250000,273176562.8483369
0.0300000,0.0300000,0.0300000,153723477.0452561
0.0350000,0.0350000,0.0350000,88040890.2254471
0.0400000,0.0400000,0.0400000,51622826.0203049
0.0450000,0.0450000,0.0450000,31101222.9354977
0.0500000,0.0500000,0.0500000,19171616.1275654
0.0550000,0.0550000,0.0550000,12304833.7805433
0.0600000,0.0600000,0.0600000,8213968.1323066
0.0650000,0.0650000,0.0650000,5703862.8625346
0.0700000,0.0700000,0.0700000,4133810.4991981
0.0750000,0.0750000,0.0750000,2822145.1942845
0.0800000,0.0800000,0.0800000,1911584.2535637
0.0850000,0.0850000,0.0850000,1326831.0458752
0.0900000,0.0900000,0.0900000,956854.7418012
0.0950000,0.0950000,0.0950000,722579.9638123
0.1000000,0.1000000,0.1000000,573905.3616567
0.1050000,0.1050000,0.1050000,479859.3453387
0.1100000,0.1100000,0.1100000,339978.4963326
0.1150000,0.1150000,0.1150000,245376.9334830
0.1200000,0.1200000,0.1200000,182376.0218467
0.1250000,0.1250000,0.1250000,137463.5532091
0.1300000,0.1300000,0.1300000,105036.2388776
0.1350000,0.1350000,0.1350000,82016.2711219
0.1400000,0.1400000,0.1400000,65395.8577211
0.1450000,0.1450000,0.1450000,53178.8264976
0.1500000,0.1500000,0.1500000,44025.0881830
0.1550000,0.1550000,0.1550000,34094.5910534
0.1600000,0.1600000,0.1600000,25444.2921605
0.1650000,0.1650000,0.1650000,19206.7578975
0.1700000,0.1700000,0.1700000,14658.5460350
0.1750000,0.1750000,0.1750000,11304.7003049
0.1800000,0.1800000,0.1800000,8803.6148001
0.1850000,0.1850000,0.1850000,6917.4977717
0.1900000,0.1900000,0.1900000,5479.4191280
0.1950000,0.1950000,0.1950000,4371.1998860
0.2000000,0.2000000,0.2000000,3508.4539443
0.2050000,0.2050000,0.2050000,2830.3898509
0.2100000,0.2100000,0.2100000,2292.8074048
0.2150000,0.2150000,0.2150000,1863.2558955
0.2200000,0.2200000,0.2200000,1529.6385072
0.2250000,0.2250000,0.2250000,1249.9650856
0.2300000,0.2300000,0.2300000,1022.5293693
0.2350000,0.2350000,0.2350000,836.8445393
0.2400000,0.2400000,0.2400000,683.2245880
0.2450000,0.2450000,0.2450000,547.0944473
0.2500000,0.2500000,0.2500000,436.6219232
0.2550000,0.2550000,0.2550000,348.0534022
0.2600000,0.2600000,0.2600000,276.9756182
0.2650000,0.2650000,0.2650000,219.8924107
0.2700000,0.2700000,0.2700000,174.0318019
0.2750000,0.2750000,0.2750000,137.1886621
0.2800000,0.2800000,0.2800000,107.6012910
0.2850000,0.2850000,0.2850000,83.8523677
0.2900000,0.2900000,0.2900000,64.7940277
0.2950000,0.2950000,0.2950000,49.5013616
0.3000000,0.3000000,0.3000000,37.2428092
0.3050000,0.3050000,0.3050000,27.4463132
