# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
1.0000000,1.0000000,1.0000000,-0.0148762,-0.0017908,-0.3571109,-0.0148762,-1.5109773,-2.3606556,-0.0035627,-0.0253783,-0.4429883,-0.6339887,-0.0175367,-0.0110911,-0.1876593,-0.0164813,-4.0733476,-7.2818201,-0.0039358,-0.0281309,-2.0453126,-3.6383123,-0.0194288,-0.0122879,-0.2079815
1.0025000,1.0025000,1.0025000,-0.0146476,-0.0017775,-0.3543847,-0.0146476,-1.4982130,-2.3368631,-0.0035080,-0.0249887,-0.4386677,-0.6272787,-0.0172673,-0.0109207,-0.1847778,-0.0162201,-4.0520539,-7.2394979,-0.0038735,-0.0276853,-2.0345351,-3.6171914,-0.0191208,-0.0120931,-0.2046870
1.0050000,1.0050000,1.0050000,-0.0144232,-0.0017643,-0.3516863,-0.0144232,-1.4855757,-2.3133603,-0.0034543,-0.0246061,-0.4343981,-0.6206584,-0.0170027,-0.0107534,-0.1819479,-0.0159637,-4.0309287,-7.1975460,-0.0038124,-0.0272479,-2.0238442,-3.5962548,-0.0188186,-0.0119019,-0.2014535
1.0075000,1.0075000,1.0075000,-0.0142028,-0.0017512,-0.3490154,-0.0142028,-1.4730641,-2.2901433,-0.0034015,-0.0242303,-0.4301786,-0.6141263,-0.0167429,-0.0105891,-0.1791686,-0.0157120,-4.0099702,-7.1559601,-0.0037523,-0.0268187,-2.0132388,-3.5755006,-0.0185220,-0.0117143,-0.1982799
1.0100000,1.0100000,1.0100000,-0.0139863,-0.0017382,-0.3463716,-0.0139863,-1.4606766,-2.2672081,-0.0033497,-0.0238612,-0.4260087,-0.6076809,-0.0164877,-0.0104277,-0.1764388,-0.0154651,-3.9891766,-7.1147359,-0.0036934,-0.0263974,-2.0027182,-3.5549265,-0.0182308,-0.0115302,-0.1951649
1.0125000,1.0125000,1.0125000,-0.0137737,-0.0017254,-0.3437546,-0.0137737,-1.4484118,-2.2445507,-0.0032988,-0.0234987,-0.4218876,-0.6013209,-0.0162370,-0.0102691,-0.1737576,-0.0152226,-3.9685462,-7.0738691,-0.0036356,-0.0259838,-1.9922812,-3.5345304,-0.0179450,-0.0113494,-0.1921071
1.0150000,1.0150000,1.0150000,-0.0135649,-0.0017127,-0.3411640,-0.0135649,-1.4362682,-2.2221673,-0.0032488,-0.0231426,-0.4178147,-0.5950450,-0.0159908,-0.0101134,-0.1711240,-0.0149847,-3.9480772,-7.0333556,-0.0035788,-0.0255778,-1.9819272,-3.5143104,-0.0176645,-0.0111720,-0.1891055
1.0175000,1.0175000,1.0175000,-0.0133597,-0.0017002,-0.3385996,-0.0133597,-1.4242446,-2.2000542,-0.0031997,-0.0227928,-0.4137894,-0.5888517,-0.0157490,-0.0099605,-0.1685369,-0.0147511,-3.9277679,-6.9931914,-0.0035231,-0.0251793,-1.9716550,-3.4942642,-0.0173891,-0.0109978,-0.1861589
1.0200000,1.0200000,1.0200000,-0.0131582,-0.0016877,-0.3360609,-0.0131582,-1.4123395,-2.1782076,-0.0031514,-0.0224492,-0.4098109,-0.5827399,-0.0155114,-0.0098102,-0.1659956,-0.0145217,-3.9076167,-6.9533723,-0.0034684,-0.0247880,-1.9614640,-3.4743901,-0.0171188,-0.0108269,-0.1832660
1.0225000,1.0225000,1.0225000,-0.0129602,-0.0016754,-0.3335476,-0.0129602,-1.4005515,-2.1566237,-0.0031040,-0.0221116,-0.4058786,-0.5767082,-0.0152780,-0.0096626,-0.1634989,-0.0142966,-3.8876219,-6.9138943,-0.0034147,-0.0244038,-1.9513531,-3.4546859,-0.0168533,-0.0106590,-0.1804258
