# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.4625000,0.4625000,0.4625000,2.1144756,-4.0166671,-10.4138574,2.1144756,-692.4139004,481.9840838,-0.1336372,4.4528139,-335.6034601,240.8655966,1.7585867,2.5432990,-12.5691520,-3.3075298,-704.2854030,469.4432921,-2.1544328,-3.1343864,-344.9876614,228.2072175,-3.8990445,-2.4659723,-23.5528550
0.4650000,0.4650000,0.4650000,1.9754112,-4.0068724,-10.4336830,1.9754112,-698.2940727,479.1171017,-0.1922846,4.1735406,-334.3742627,239.5930378,1.6224319,2.4033539,-13.4523151,-3.2727817,-710.2639881,467.0383352,-2.1412300,-3.2534185,-343.8131232,227.0882522,-3.8580821,-2.4400653,-24.4060311
0.4675000,0.4675000,0.4675000,1.8403498,-3.9969608,-10.4486289,1.8403498,-703.0779721,476.2778613,-0.2481770,3.9146135,-333.1076968,238.2891780,1.4902489,2.2675372,-14.2117960,-3.2535065,-715.0504457,464.1017649,-2.1437505,-3.3523391,-342.5929829,226.0142197,-3.8353597,-2.4256945,-25.1125511
0.4700000,0.4700000,0.4700000,1.7091454,-3.9867856,-10.4591201,1.7091454,-706.8081219,473.4866353,-0.3012420,3.6740568,-331.8073367,236.9549909,1.3617496,2.1356385,-14.8603520,-3.2947113,-718.7807079,460.9474295,-2.1381128,-3.4331716,-341.3321014,224.9808118,-3.8839335,-2.4564152,-25.6872101
0.4725000,0.4725000,0.4725000,1.5816894,-3.9762243,-10.4654460,1.5816894,-709.6030710,470.7620882,-0.3514177,3.4498966,-330.4766064,235.6002113,1.2367870,2.0074098,-15.4102088,-3.3230807,-721.5756679,457.9640492,-2.1254882,-3.4977516,-340.0349470,223.9841600,-3.9173765,-2.4775664,-26.1434309
0.4750000,0.4750000,0.4750000,1.4578630,-3.9651832,-10.4677627,1.4578630,-711.5702516,468.1171724,-0.3986549,3.2401844,-329.1187568,234.2387363,1.1152863,1.8825762,-15.8732929,-3.3400542,-723.5428502,455.1356645,-2.1069083,-3.5477446,-338.7056247,223.0207894,-3.9373855,-2.4902213,-26.4933896
0.4775000,0.4775000,0.4775000,1.3375101,-3.9536012,-10.4661134,1.3375101,-712.8053001,465.5577446,-0.4429324,3.0430327,-327.7368745,232.8837535,0.9971841,1.7608583,-16.2613709,-3.3469288,-724.7778961,452.4478893,-2.0832813,-3.5846615,-337.3479043,222.0173819,-3.9454896,-2.4953467,-26.7481310
0.4800000,0.4800000,0.4800000,1.2204330,-3.9414504,-10.4604581,1.2204330,-713.3932949,463.0817606,-0.4842802,2.8566602,-326.3339467,231.5449415,0.8823882,1.6420012,-16.5860078,-3.3448732,-725.3658821,449.8877515,-2.0554060,-3.6098727,-335.9652459,220.4775037,-3.9430663,-2.4938141,-26.9176721
0.4825000,0.4825000,0.4825000,1.1064060,-3.9287350,-10.4507042,1.1064060,-713.4099242,460.6773612,-0.5227973,2.6794406,-324.9132997,230.2280668,0.7707594,1.5258011,-16.8582736,-3.3349401,-725.3824926,447.4435496,-2.0239846,-3.6246212,-334.5608240,219.0493088,-3.9313567,-2.4864083,-27.0110970
0.4850000,0.4850000,0.4850000,0.9952021,-3.9154869,-10.4367312,0.9952021,-712.9225257,458.3199702,-0.5586490,2.5099467,-323.4826135,228.9360366,0.6621160,1.4121229,-17.0881978,-3.3180775,-724.8950612,445.1047251,-2.0025653,-3.6300340,-333.1375494,217.7190794,-3.9114786,-2.4738363,-27.0366421
