# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.0000000,0.0000000,0.0000000,2457535.2060479,2457535.2060479
0.0050000,0.0050000,0.0050000,2367004.3777214,2367004.3777214
0.0100000,0.0100000,0.0100000,2214849.6590394,2214849.6590394
0.0150000,0.0150000,0.0150000,2038957.8705371,2038957.8705371
0.0200000,0.0200000,0.0200000,1854236.3729950,1854236.3729950
0.0250000,0.0250000,0.0250000,1662964.4196587,1662964.4196587
0.0300000,0.0300000,0.0300000,1476011.3713197,1476011.3713197
0.0350000,0.0350000,0.0350000,1290243.5763895,1290243.5763895
0.0400000,0.0400000,0.0400000,1114130.8974301,1114130.8974301
0.0450000,0.0450000,0.0450000,952598.2264309,952598.2264309
0.0500000,0.0500000,0.0500000,805224.1178533,805224.1178533
0.0550000,0.0550000,0.0550000,674056.7606660,674056.7606660
0.0600000,0.0600000,0.0600000,558980.6352402,558980.6352402
0.0650000,0.0650000,0.0650000,459406.0617227,459406.0617227
0.0700000,0.0700000,0.0700000,374378.0876407,374378.0876407
0.0750000,0.0750000,0.0750000,302681.2357297,302681.2357297
0.0800000,0.0800000,0.0800000,242417.0854384,242417.0854384
0.0850000,0.0850000,0.0850000,191224.8480822,191224.8480822
0.0900000,0.0900000,0.0900000,149940.6621705,149940.6621705
0.0950000,0.0950000,0.0950000,116977.9778348,116977.9778348
0.1000000,0.1000000,0.1000000,90877.9163319,90877.9163319
0.1050000,0.1050000,0.1050000,70359.6796544,70359.6796544
0.1100000,0.1100000,0.1100000,54327.5747805,54327.5747805
0.1150000,0.1150000,0.1150000,41864.2208314,41864.2208314
0.1200000,0.1200000,0.1200000,32215.2263711,32215.2263711
0.1250000,0.1250000,0.1250000,24769.5091356,24769.5091356
0.1300000,0.1300000,0.1300000,19038.2712231,19038.2712231
0.1350000,0.1350000,0.1350000,14634.6113215,14634.6113215
0.1400000,0.1400000,0.1400000,11254.9310100,11254.9310100
0.1450000,0.1450000,0.1450000,8662.6882666,8662.6882666
0.1500000,0.1500000,0.1500000,6674.6442602,6674.6442602
0.1550000,0.1550000,0.1550000,5149.4995007,5149.4995007
0.1600000,0.1600000,0.1600000,3978.5324186,3978.5324186
0.1650000,0.1650000,0.1650000,3076.1651075,3076.1651075
0.1700000,0.1700000,0.1700000,2382.8579932,2382.8579932
0.1750000,0.1750000,0.1750000,1837.6069175,1837.6069175
0.1800000,0.1800000,0.1800000,1443.6209575,1417.2629407
0.1850000,0.1850000,0.1850000,1120.3493253,1093.9983201
0.1900000,0.1900000,0.1900000,871.3123058,844.9916682
0.1950000,0.1950000,0.1950000,679.0933922,652.8723146
0.2000000,0.2000000,0.2000000,530.3745813,504.4051837
0.2050000,0.2050000,0.2050000,415.0086630,389.4934872
0.2100000,0.2100000,0.2100000,325.3354091,300.4232365
0.2150000,0.2150000,0.2150000,255.5595595,231.2912227
0.2200000,0.2200000,0.2200000,201.2329940,177.5719122
0.2250000,0.2250000,0.2250000,158.9062141,135.2464446
0.2300000,0.2300000,0.2300000,125.8960230,102.3396559
0.2350000,0.2350000,0.2350000,100.1083836,76.7722359
0.2400000,0.2400000,0.2400000,79.8704741,56.9102169
0.2450000,0.2450000,0.2450000,63.7283998,41.4903195
0.2500000,0.2500000,0.2500000,50.4106488,29.5338507
0.2550000,0.2550000,0.2550000,39.2562202,18.6685516
0.2600000,0.2600000,0.2600000,30.1389768,9.0131005
0.2650000,0.2650000,0.2650000,22.8937897,1.6533704
0.2700000,0.2700000,0.2700000,17.2353358,-3.9082602
0.2750000,0.2750000,0.2750000,12.8652714,-8.0622555
0.2800000,0.2800000,0.2800000,9.5218605,-11.1153448
0.2850000,0.2850000,0.2850000,6.9809479,-13.3087195
