# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
0.9825000,0.9825000,0.9825000,-0.0585079,0.0164769,-1.1898108,-0.0585079,-7.4549760,-5.5314248,-0.0139960,-0.0999686,-0.4353931,-1.3077104,-2.6421015
0.9850000,0.9850000,0.9850000,-0.0575064,0.0163647,-1.1797379,-0.0575064,-7.3301702,-5.4816163,-0.0137563,-0.0982616,-0.4282213,-1.2905478,-2.6221101
0.9875000,0.9875000,0.9875000,-0.0565254,0.0162533,-1.1697829,-0.0565254,-7.2072805,-5.4323432,-0.0135214,-0.0965892,-0.4211810,-1.2734787,-2.6022138
0.9900000,0.9900000,0.9900000,-0.0555642,0.0161427,-1.1599438,-0.0555642,-7.0862787,-5.3835989,-0.0132914,-0.0949505,-0.4142701,-1.2565131,-2.5823945
0.9925000,0.9925000,0.9925000,-0.0546225,0.0160330,-1.1502189,-0.0546225,-6.9671371,-5.3353767,-0.0130660,-0.0933448,-0.4074863,-1.2396598,-2.5626336
0.9950000,0.9950000,0.9950000,-0.0536997,0.0159241,-1.1406066,-0.0536997,-6.8498286,-5.2876703,-0.0128452,-0.0917713,-0.4008272,-1.2229274,-2.5429124
0.9975000,0.9975000,0.9975000,-0.0527955,0.0158160,-1.1311050,-0.0527955,-6.7343263,-5.2404733,-0.0126288,-0.0902292,-0.3942907,-1.2063237,-2.5232124
1.0000000,1.0000000,1.0000000,-0.0519094,0.0157087,-1.1217126,-0.0519094,-6.6206040,-5.1937794,-0.0124168,-0.0887178,-0.3878745,-1.1898558,-2.5035157
1.0025000,1.0025000,1.0025000,-0.0510410,0.0156022,-1.1124277,-0.0510410,-6.5086359,-5.1475824,-0.0122090,-0.0872364,-0.3815765,-1.1735303,-2.4838053
1.0050000,1.0050000,1.0050000,-0.0501898,0.0154966,-1.1032486,-0.0501898,-6.3983965,-5.1018762,-0.0120054,-0.0857844,-0.3753943,-1.1573532,-2.4640653
1.0075000,1.0075000,1.0075000,-0.0493555,0.0153917,-1.0941739,-0.0493555,-6.2898609,-5.0566548,-0.0118058,-0.0843610,-0.3693259,-1.1413299,-2.4442812
1.0100000,1.0100000,1.0100000,-0.0485377,0.0152877,-1.0852020,-0.0485377,-6.1830046,-5.0119123,-0.0116101,-0.0829656,-0.3633692,-1.1254654,-2.4244398
1.0125000,1.0125000,1.0125000,-0.0477360,0.0151845,-1.0763314,-0.0477360,-6.0778032,-4.9676429,-0.0114184,-0.0815975,-0.3575219,-1.1097640,-2.4045300
1.0150000,1.0150000,1.0150000,-0.0469501,0.0150820,-1.0675606,-0.0469501,-5.9742332,-4.9238407,-0.0112303,-0.0802562,-0.3517821,-1.0942296,-2.3845421
1.0175000,1.0175000,1.0175000,-0.0461795,0.0149804,-1.0588881,-0.0461795,-5.8722709,-4.8805001,-0.0110460,-0.0789411,-0.3461476,-1.0788656,-2.3644684
1.0200000,1.0200000,1.0200000,-0.0454239,0.0148796,-1.0503124,-0.0454239,-5.7718934,-4.8376156,-0.0108653,-0.0776515,-0.3406165,-1.0636750,-2.3443028
1.0225000,1.0225000,1.0225000,-0.0446831,0.0147795,-1.0418323,-0.0446831,-5.6730779,-4.7951815,-0.0106881,-0.0763868,-0.3351867,-1.0486605,-2.3240415
1.0250000,1.0250000,1.0250000,-0.0439566,0.0146802,-1.0334464,-0.0439566,-5.5758021,-4.7531924,-0.0105143,-0.0751466,-0.3298563,-1.0338241,-2.3036818
1.0275000,1.0275000,1.0275000,-0.0432441,0.0145818,-1.0251531,-0.0432441,-5.4800440,-4.7116431,-0.0103439,-0.0739302,-0.3246233,-1.0191676,-2.2832233
1.0300000,1.0300000,1.0300000,-0.0425453,0.0144841,-1.0169514,-0.0425453,-5.3857818,-4.6705281,-0.0101768,-0.0727372,-0.3194859,-1.0046927,-2.2626668
1.0325000,1.0325000,1.0325000,-0.0418600,0.0143871,-1.0088397,-0.0418600,-5.2929941,-4.6298423,-0.0100129,-0.0715670,-0.3144421,-0.9904003,-2.2420147
1.0350000,1.0350000,1.0350000,-0.0411877,0.0142909,-1.0008169,-0.0411877,-5.2016599,-4.5895805,-0.0098521,-0.0704191,-0.3094902,-0.9762913,-2.2212709
1.0375000,1.0375000,1.0375000,-0.0405283,0.0141955,-0.9928817,-0.0405283,-5.1117584,-4.5497376,-0.0096944,-0.0692930,-0.3046283,-0.9623664,-2.2004403
1.0400000,1.0400000,1.0400000,-0.0398814,0.0141009,-0.9850328,-0.0398814,-5.0232691,-4.5103087,-0.0095397,-0.0681882,-0.2998546,-0.9486257,-2.1795292
1.0425000,1.0425000,1.0425000,-0.0392467,0.0140070,-0.9772691,-0.0392467,-4.9361718,-4.4712888,-0.0093880,-0.0671044,-0.2951675,-0.9350695,-2.1585447
1.0450000,1.0450000,1.0450000,-0.0386241,0.0139138,-0.9695893,-0.0386241,-4.8504465,-4.4326729,-0.0092391,-0.0660409,-0.2905652,-0.9216974,-2.1374948
1.0475000,1.0475000,1.0475000,-0.0380132,0.0138214,-0.9619922,-0.0380132,-4.7660737,-4.3944565,-0.0090930,-0.0649974,-0.2860459,-0.9085093,-2.1163881
1.0500000,1.0500000,1.0500000,-0.0374137,0.0137297,-0.9544768,-0.0374137,-4.6830339,-4.3566346,-0.0089497,-0.0639734,-0.2816082,-0.8955044,-2.0952341
