# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol],UMinwaterUCD(d)[kj/mol]
0.0000000,0.0000000,0.0000000,8552987.9340097,8552987.9340097
0.0050000,0.0050000,0.0050000,5891912.1809495,5891912.1809495
0.0100000,0.0100000,0.0100000,4080339.1542920,4080339.1542920
0.0150000,0.0150000,0.0150000,2763354.4547107,2763354.4547107
0.0200000,0.0200000,0.0200000,1877402.6184823,1877402.6184823
0.0250000,0.0250000,0.0250000,1297391.2184591,1297391.2184591
0.0300000,0.0300000,0.0300000,905224.0809990,905224.0809990
0.0350000,0.0350000,0.0350000,630852.8441267,630852.8441267
0.0400000,0.0400000,0.0400000,444395.6268706,444395.6268706
0.0450000,0.0450000,0.0450000,320704.2947086,320704.2947086
0.0500000,0.0500000,0.0500000,238364.8265180,238364.8265180
0.0550000,0.0550000,0.0550000,183731.4671529,183731.4671529
0.0600000,0.0600000,0.0600000,139865.8854724,139865.8854724
0.0650000,0.0650000,0.0650000,106530.5565731,106530.5565731
0.0700000,0.0700000,0.0700000,81124.8932446,81124.8932446
0.0750000,0.0750000,0.0750000,64306.2706205,64306.2706205
0.0800000,0.0800000,0.0800000,53556.9491770,53556.9491770
0.0850000,0.0850000,0.0850000,45159.0976722,45159.0976722
0.0900000,0.0900000,0.0900000,35295.4753088,35295.4753088
0.0950000,0.0950000,0.0950000,28343.5646737,28343.5646737
0.1000000,0.1000000,0.1000000,23429.8872332,23429.8872332
0.1050000,0.1050000,0.1050000,19400.2300259,19400.2300259
0.1100000,0.1100000,0.1100000,16275.1290403,16275.1290403
0.1150000,0.1150000,0.1150000,12488.1916975,12488.1916975
0.1200000,0.1200000,0.1200000,9692.8852548,9692.8852548
0.1250000,0.1250000,0.1250000,7613.1194955,7613.1194955
0.1300000,0.1300000,0.1300000,6052.0947273,6052.0947273
0.1350000,0.1350000,0.1350000,4826.3876697,4826.3876697
0.1400000,0.1400000,0.1400000,3814.7204649,3814.7204649
0.1450000,0.1450000,0.1450000,3035.9177288,3035.9177288
0.1500000,0.1500000,0.1500000,2435.3518672,2435.3518672
0.1550000,0.1550000,0.1550000,1963.0092968,1963.0092968
0.1600000,0.1600000,0.1600000,1612.8091741,1590.0185374
0.1650000,0.1650000,0.1650000,1317.2468370,1294.4181774
0.1700000,0.1700000,0.1700000,1080.9513389,1058.1159124
0.1750000,0.1750000,0.1750000,890.5682196,867.7481835
0.1800000,0.1800000,0.1800000,736.0871490,713.3488088
0.1850000,0.1850000,0.1850000,587.0395980,564.2009821
0.1900000,0.1900000,0.1900000,456.0343744,433.3259215
0.1950000,0.1950000,0.1950000,353.7326371,330.9765260
0.2000000,0.2000000,0.2000000,273.5999808,251.3420705
0.2050000,0.2050000,0.2050000,210.6150511,189.2438368
0.2100000,0.2100000,0.2100000,161.1449075,140.0782523
0.2150000,0.2150000,0.2150000,122.3829523,101.0901710
0.2200000,0.2200000,0.2200000,92.0801433,70.8095501
0.2250000,0.2250000,0.2250000,68.4475531,47.3189765
0.2300000,0.2300000,0.2300000,50.0703458,29.1357422
0.2350000,0.2350000,0.2350000,35.8305104,15.1090107
0.2400000,0.2400000,0.2400000,24.8446394,4.3424844
0.2450000,0.2450000,0.2450000,16.4147001,-3.8640670
0.2500000,0.2500000,0.2500000,9.9892639,-10.0592406
0.2550000,0.2550000,0.2550000,5.1332092,-14.6739264
0.2600000,0.2600000,0.2600000,1.5036653,-18.1788600
0.2650000,0.2650000,0.2650000,-1.1709494,-20.7466974
0.2700000,0.2700000,0.2700000,-3.1139770,-22.5309087
0.2750000,0.2750000,0.2750000,-4.5336699,-23.6992428
0.2800000,0.2800000,0.2800000,-5.6595102,-24.3852484
0.2850000,0.2850000,0.2850000,-6.7167777,-24.6953424
0.2900000,0.2900000,0.2900000,-7.8018650,-26.4982570
0.2950000,0.2950000,0.2950000,-8.8418839,-27.9951365
0.3000000,0.3000000,0.3000000,-9.7248611,-28.9052372
0.3050000,0.3050000,0.3050000,-10.3983342,-29.3573682
0.3100000,0.3100000,0.3100000,-10.8733941,-29.4543180
0.3150000,0.3150000,0.3150000,-11.2007165,-29.2780660
0.3200000,0.3200000,0.3200000,-11.4570077,-28.8939382
0.3250000,0.3250000,0.3250000,-11.7421567,-29.1683462
0.3300000,0.3300000,0.3300000,-12.1357049,-29.7604067
0.3350000,0.3350000,0.3350000,-12.6181566,-30.4208427
0.3400000,0.3400000,0.3400000,-13.0975722,-31.5866625
0.3450000,0.3450000,0.3450000,-13.5083847,-32.2644728
0.3500000,0.3500000,0.3500000,-13.8381907,-32.5541439
0.3550000,0.3550000,0.3550000,-14.1245064,-32.5370682
0.3600000,0.3600000,0.3600000,-14.4519592,-32.2795305
0.3650000,0.3650000,0.3650000,-14.8666307,-31.8354585
0.3700000,0.3700000,0.3700000,-15.3524157,-31.5416249
0.3750000,0.3750000,0.3750000,-16.4325790,-33.4158304
0.3800000,0.3800000,0.3800000,-18.7038346,-37.7882409
0.3850000,0.3850000,0.3850000,-20.8673933,-40.3682554
0.3900000,0.3900000,0.3900000,-22.1692419,-41.6330777
0.3950000,0.3950000,0.3950000,-22.6574407,-41.9399567
0.4000000,0.4000000,0.4000000,-22.5263224,-41.5645164
0.4050000,0.4050000,0.4050000,-21.9561014,-40.9161033
0.4100000,0.4100000,0.4100000,-21.0920515,-39.8921073
0.4150000,0.4150000,0.4150000,-20.0481795,-38.7372274
0.4200000,0.4200000,0.4200000,-18.9133961,-37.4882320
0.4250000,0.4250000,0.4250000,-17.7558295,-36.1021168
0.4300000,0.4300000,0.4300000,-16.6243938,-34.6344059
0.4350000,0.4350000,0.4350000,-15.5478437,-33.1268309
0.4400000,0.4400000,0.4400000,-14.5351768,-31.6104876
0.4450000,0.4450000,0.4450000,-13.5816878,-30.1082730
0.4500000,0.4500000,0.4500000,-12.6798753,-28.6367700
0.4550000,0.4550000,0.4550000,-11.8298675,-27.2077086
0.4600000,0.4600000,0.4600000,-11.0409402,-25.8290980
0.4650000,0.4650000,0.4650000,-10.3212543,-24.5061067
0.4700000,0.4700000,0.4700000,-9.6681526,-23.2417454
0.4750000,0.4750000,0.4750000,-9.0711195,-22.0373978
0.4800000,0.4800000,0.4800000,-8.5201677,-20.8932328
0.4850000,0.4850000,0.4850000,-8.0075349,-19.9585445
0.4900000,0.4900000,0.4900000,-7.5253293,-19.4380669
0.4950000,0.4950000,0.4950000,-7.0657997,-18.8254719
0.5000000,0.5000000,0.5000000,-6.6234716,-18.1570932
0.5050000,0.5050000,0.5050000,-6.1961285,-17.9197505
0.5100000,0.5100000,0.5100000,-5.7841741,-17.5365523
0.5150000,0.5150000,0.5150000,-5.3893822,-17.0568416
0.5200000,0.5200000,0.5200000,-5.0138266,-16.5192984
0.5250000,0.5250000,0.5250000,-4.6592290,-15.9433179
0.5300000,0.5300000,0.5300000,-4.3266753,-15.3479418
0.5350000,0.5350000,0.5350000,-4.0165693,-14.7468392
0.5400000,0.5400000,0.5400000,-3.7287134,-14.1497364
0.5450000,0.5450000,0.5450000,-3.4624398,-13.5634577
0.5500000,0.5500000,0.5500000,-3.2167484,-12.9926887
0.5550000,0.5550000,0.5550000,-2.9904306,-12.4405378
0.5600000,0.5600000,0.5600000,-2.7821679,-11.9089521
0.5650000,0.5650000,0.5650000,-2.5906069,-11.3990262
0.5700000,0.5700000,0.5700000,-2.4144117,-10.9112323
0.5750000,0.5750000,0.5750000,-2.2522992,-10.4455922
0.5800000,0.5800000,0.5800000,-2.1030595,-10.0018059
0.5850000,0.5850000,0.5850000,-1.9655678,-9.5793477
0.5900000,0.5900000,0.5900000,-1.8387878,-9.1970653
0.5950000,0.5950000,0.5950000,-1.7217719,-8.8441545
0.6000000,0.6000000,0.6000000,-1.6136574,-8.5058193
0.6050000,0.6050000,0.6050000,-1.5136617,-8.1818160
0.6100000,0.6100000,0.6100000,-1.4210760,-7.8717978
0.6150000,0.6150000,0.6150000,-1.3352596,-7.5753460
0.6200000,0.6200000,0.6200000,-1.2556332,-7.2919935
0.6250000,0.6250000,0.6250000,-1.1816732,-7.0256980
0.6300000,0.6300000,0.6300000,-1.1129064,-6.7737640
0.6350000,0.6350000,0.6350000,-1.0489043,-6.5328827
0.6400000,0.6400000,0.6400000,-0.9892792,-6.3025721
0.6450000,0.6450000,0.6450000,-0.9336794,-6.0823557
0.6500000,0.6500000,0.6500000,-0.8817858,-5.8717668
0.6550000,0.6550000,0.6550000,-0.8333085,-5.6703520
0.6600000,0.6600000,0.6600000,-0.7879839,-5.4776727
0.6650000,0.6650000,0.6650000,-0.7455716,-5.2933069
0.6700000,0.6700000,0.6700000,-0.7058527,-5.1168498
0.6750000,0.6750000,0.6750000,-0.6686270,-4.9479145
0.6800000,0.6800000,0.6800000,-0.6337117,-4.7861319
0.6850000,0.6850000,0.6850000,-0.6009395,-4.6311503
0.6900000,0.6900000,0.6900000,-0.5701569,-4.4826355
0.6950000,0.6950000,0.6950000,-0.5412231,-4.3434342
0.7000000,0.7000000,0.7000000,-0.5140091,-4.2301495
0.7050000,0.7050000,0.7050000,-0.4883958,-4.1279613
0.7100000,0.7100000,0.7100000,-0.4642739,-4.0289333
0.7150000,0.7150000,0.7150000,-0.4415426,-3.9329483
0.7200000,0.7200000,0.7200000,-0.4201088,-3.8398941
0.7250000,0.7250000,0.7250000,-0.3998869,-3.7496631
0.7300000,0.7300000,0.7300000,-0.3807974,-3.6621523
0.7350000,0.7350000,0.7350000,-0.3627669,-3.5772632
0.7400000,0.7400000,0.7400000,-0.3457276,-3.4949011
0.7450000,0.7450000,0.7450000,-0.3296165,-3.4149756
0.7500000,0.7500000,0.7500000,-0.3143753,-3.3373997
0.7550000,0.7550000,0.7550000,-0.2999497,-3.2620902
0.7600000,0.7600000,0.7600000,-0.2862895,-3.1889672
0.7650000,0.7650000,0.7650000,-0.2733478,-3.1179542
0.7700000,0.7700000,0.7700000,-0.2610812,-3.0489777
0.7750000,0.7750000,0.7750000,-0.2494492,-2.9819671
0.7800000,0.7800000,0.7800000,-0.2384140,-2.9168547
0.7850000,0.7850000,0.7850000,-0.2279404,-2.8535756
0.7900000,0.7900000,0.7900000,-0.2179957,-2.7920673
0.7950000,0.7950000,0.7950000,-0.2085491,-2.7322699
0.8000000,0.8000000,0.8000000,-0.1995721,-2.6741259
0.8050000,0.8050000,0.8050000,-0.1910380,-2.6175798
0.8100000,0.8100000,0.8100000,-0.1829216,-2.5625785
0.8150000,0.8150000,0.8150000,-0.1751996,-2.5090709
0.8200000,0.8200000,0.8200000,-0.1678501,-2.4570078
0.8250000,0.8250000,0.8250000,-0.1608525,-2.4063419
0.8300000,0.8300000,0.8300000,-0.1541876,-2.3570279
0.8350000,0.8350000,0.8350000,-0.1478373,-2.3090218
0.8400000,0.8400000,0.8400000,-0.1417847,-2.2622816
0.8450000,0.8450000,0.8450000,-0.1360137,-2.2167669
0.8500000,0.8500000,0.8500000,-0.1305096,-2.1724385
0.8550000,0.8550000,0.8550000,-0.1252582,-2.1292590
0.8600000,0.8600000,0.8600000,-0.1202463,-2.0871921
0.8650000,0.8650000,0.8650000,-0.1154614,-2.0462030
0.8700000,0.8700000,0.8700000,-0.1108920,-2.0062581
0.8750000,0.8750000,0.8750000,-0.1065269,-1.9673251
0.8800000,0.8800000,0.8800000,-0.1023557,-1.9293728
0.8850000,0.8850000,0.8850000,-0.0983687,-1.8923712
0.8900000,0.8900000,0.8900000,-0.0945567,-1.8562912
0.8950000,0.8950000,0.8950000,-0.0909108,-1.8211049
0.9000000,0.9000000,0.9000000,-0.0874230,-1.7867854
0.9050000,0.9050000,0.9050000,-0.0840854,-1.7533066
0.9100000,0.9100000,0.9100000,-0.0808907,-1.7206435
0.9150000,0.9150000,0.9150000,-0.0778320,-1.6887718
0.9200000,0.9200000,0.9200000,-0.0749027,-1.6576682
0.9250000,0.9250000,0.9250000,-0.0720967,-1.6273100
0.9300000,0.9300000,0.9300000,-0.0694080,-1.5976755
0.9350000,0.9350000,0.9350000,-0.0668311,-1.5687437
0.9400000,0.9400000,0.9400000,-0.0643608,-1.5404942
0.9450000,0.9450000,0.9450000,-0.0619920,-1.5129074
0.9500000,0.9500000,0.9500000,-0.0597202,-1.4859643
0.9550000,0.9550000,0.9550000,-0.0575407,-1.4596465
0.9600000,0.9600000,0.9600000,-0.0554494,-1.4339364
0.9650000,0.9650000,0.9650000,-0.0534423,-1.4088167
0.9700000,0.9700000,0.9700000,-0.0515155,-1.3842710
0.9750000,0.9750000,0.9750000,-0.0496654,-1.3602831
0.9800000,0.9800000,0.9800000,-0.0478885,-1.3368377
0.9850000,0.9850000,0.9850000,-0.0461817,-1.3139196
0.9900000,0.9900000,0.9900000,-0.0445418,-1.2915145
0.9950000,0.9950000,0.9950000,-0.0429659,-1.2696082
1.0000000,1.0000000,1.0000000,-0.0414511,-1.2481871
1.0050000,1.0050000,1.0050000,-0.0399948,-1.2272381
1.0100000,1.0100000,1.0100000,-0.0385945,-1.2067486
1.0150000,1.0150000,1.0150000,-0.0372478,-1.1867060
1.0200000,1.0200000,1.0200000,-0.0359523,-1.1670986
