# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.6050000,0.6050000,0.6050000,-0.2873427,-0.0042004,-1.4336411,-0.2873427,-13.0847169,-28.5632685,-0.0741289,-0.4619657,-5.1101552,-10.7947668,-0.3389044,-0.2140762,-3.4959730
0.6075000,0.6075000,0.6075000,-0.2802898,-0.0041436,-1.4150454,-0.2802898,-12.8723778,-28.1571280,-0.0721716,-0.4515477,-5.0251188,-10.6127750,-0.3305810,-0.2088260,-3.4160897
0.6100000,0.6100000,0.6100000,-0.2734185,-0.0040878,-1.3967682,-0.2734185,-12.6652253,-27.7580990,-0.0702740,-0.4413357,-4.9421375,-10.4343733,-0.3224722,-0.2037109,-3.3377158
0.6125000,0.6125000,0.6125000,-0.2667250,-0.0040328,-1.3788030,-0.2667250,-12.4631059,-27.3660335,-0.0684340,-0.4313304,-4.8611491,-10.2594817,-0.3145733,-0.1987280,-3.2608740
0.6150000,0.6150000,0.6150000,-0.2602055,-0.0039788,-1.3611435,-0.2602055,-12.2658707,-26.9807868,-0.0666498,-0.4215321,-4.7820935,-10.0880225,-0.3068799,-0.1938744,-3.1855806
0.6175000,0.6175000,0.6175000,-0.2538560,-0.0039256,-1.3437832,-0.2538560,-12.0733748,-26.6022176,-0.0649194,-0.4119402,-4.7049122,-9.9199197,-0.2993873,-0.1891472,-3.1118456
0.6200000,0.6200000,0.6200000,-0.2476726,-0.0038732,-1.3267162,-0.2476726,-11.8854779,-26.2301879,-0.0632411,-0.4025539,-4.6295484,-9.7550993,-0.2920909,-0.1845435,-3.0396739
0.6225000,0.6225000,0.6225000,-0.2416514,-0.0038218,-1.3099363,-0.2416514,-11.7020437,-25.8645629,-0.0616130,-0.3933718,-4.5559473,-9.5934889,-0.2849860,-0.1800605,-2.9690654
0.6250000,0.6250000,0.6250000,-0.2357886,-0.0037712,-1.2934378,-0.2357886,-11.5229402,-25.5052109,-0.0600335,-0.3843924,-4.4840558,-9.4350180,-0.2780682,-0.1756952,-2.9000156
0.6275000,0.6275000,0.6275000,-0.2300801,-0.0037215,-1.2772150,-0.2300801,-11.3480393,-25.1520033,-0.0585009,-0.3756135,-4.4138223,-9.2796177,-0.2713327,-0.1714447,-2.8325161
0.6300000,0.6300000,0.6300000,-0.2245223,-0.0036726,-1.2612621,-0.2245223,-11.1772170,-24.8048145,-0.0570137,-0.3670329,-4.3451969,-9.1272208,-0.2647751,-0.1673062,-2.7665555
0.6325000,0.6325000,0.6325000,-0.2191113,-0.0036246,-1.2455738,-0.2191113,-11.0103531,-24.4635216,-0.0555704,-0.3586480,-4.2781316,-8.9777617,-0.2583908,-0.1632769,-2.7021189
0.6350000,0.6350000,0.6350000,-0.2138433,-0.0035774,-1.2301446,-0.2138433,-10.8473311,-24.1280050,-0.0541696,-0.3504562,-4.2125797,-8.8311764,-0.2521755,-0.1593540,-2.6391891
0.6375000,0.6375000,0.6375000,-0.2087147,-0.0035310,-1.2149695,-0.2087147,-10.6880383,-23.7981474,-0.0528097,-0.3424545,-4.1484961,-8.6874023,-0.2461247,-0.1555348,-2.5777469
0.6400000,0.6400000,0.6400000,-0.2037218,-0.0034855,-1.2000432,-0.2037218,-10.5323655,-23.4738347,-0.0514895,-0.3346398,-4.0858372,-8.5463786,-0.2402342,-0.1518164,-2.5177707
0.6425000,0.6425000,0.6425000,-0.1988610,-0.0034407,-1.1853607,-0.1988610,-10.3802070,-23.1549550,-0.0502077,-0.3270091,-4.0245608,-8.4080456,-0.2344997,-0.1481964,-2.4592378
0.6450000,0.6450000,0.6450000,-0.1941289,-0.0033967,-1.1709172,-0.1941289,-10.2314604,-22.8413992,-0.0489630,-0.3195590,-3.9646262,-8.2723453,-0.2289171,-0.1446721,-2.4021238
0.6475000,0.6475000,0.6475000,-0.1895220,-0.0033534,-1.1567079,-0.1895220,-10.0860268,-22.5330608,-0.0477542,-0.3122861,-3.9059941,-8.1392209,-0.2234823,-0.1412409,-2.3464036
0.6500000,0.6500000,0.6500000,-0.1850369,-0.0033110,-1.1427282,-0.1850369,-9.9438103,-22.2298357,-0.0465801,-0.3051871,-3.8486263,-8.0086170,-0.2181914,-0.1379003,-2.2920508
