# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.4975000,0.4975000,0.4975000,-0.7933111,-0.0022381,-4.1689311,-0.7933111,-44.2467724,-56.6015568,-0.4319686,-0.8185196,-19.4066281,-24.7180473,-0.9833546,-0.5306352,-10.1183373,-1.5215660,-53.9465948,-68.2942193,-0.9600062,-1.7554921,-27.6323780,-35.5822339,-1.7936811,-1.1344235,-13.0212682
0.5000000,0.5000000,0.5000000,-0.7927750,-0.0017500,-4.1124007,-0.7927750,-43.6432463,-55.9567768,-0.4228193,-0.8398942,-19.1097572,-24.2817983,-0.9796108,-0.5350032,-10.0589173,-1.5127323,-53.3226353,-67.6423456,-0.9774376,-1.7238706,-27.3073857,-35.1028910,-1.7832675,-1.1278374,-12.7852311
0.5025000,0.5025000,0.5025000,-0.7919210,-0.0013816,-4.0557740,-0.7919210,-43.0502737,-55.2894559,-0.4133288,-0.8587330,-18.8180598,-23.8510880,-0.9753231,-0.5392897,-9.9993119,-1.5068428,-52.7091702,-66.9666931,-0.9941346,-1.6928857,-26.9875865,-34.6277921,-1.7763247,-1.1234464,-12.6106112
0.5050000,0.5050000,0.5050000,-0.7909489,-0.0011257,-3.9991638,-0.7909489,-42.4676515,-54.6043894,-0.4035882,-0.8751106,-18.5314856,-23.4264483,-0.9707485,-0.5435776,-9.9383312,-1.4972860,-52.1059966,-66.2721181,-1.0034823,-1.6901354,-26.6729206,-34.1575728,-1.7650589,-1.1163212,-12.5836158
0.5075000,0.5075000,0.5075000,-0.7900116,-0.0009732,-3.9426747,-0.7900116,-41.8951789,-53.9057383,-0.3936791,-0.8891158,-18.2499798,-23.0083047,-0.9661073,-0.5479021,-9.8748272,-1.4845677,-51.5129137,-65.5628265,-1.0066326,-1.6836682,-26.3633242,-33.6927578,-1.7500660,-1.1068390,-12.5296417
0.5100000,0.5100000,0.5100000,-0.7892105,-0.0009139,-3.8864030,-0.7892105,-41.3326569,-53.1971105,-0.3836727,-0.9008589,-17.9734831,-22.5969911,-0.9615719,-0.5522526,-9.8077803,-1.4691372,-50.9297233,-64.8424593,-1.0045781,-1.6739360,-26.0587303,-33.2337758,-1.7318759,-1.0953345,-12.4519902
0.5125000,0.5125000,0.5125000,-0.7885944,-0.0009362,-3.8304363,-0.7885944,-40.7798895,-52.4816315,-0.3736310,-0.9104775,-17.7019322,-22.1927632,-0.9572619,-0.5565778,-9.7363676,-1.4513933,-50.3562297,-64.1141672,-0.9981740,-1.6613455,-25.7590689,-32.7809731,-1.7109587,-1.0821053,-12.3536311
0.5150000,0.5150000,0.5150000,-0.7881613,-0.0010277,-3.7748530,-0.7881613,-40.2366831,-51.7620061,-0.3636072,-0.9181392,-17.4352595,-21.7958097,-0.9532409,-0.5607932,-9.6600066,-1.4316901,-49.7922398,-63.3806742,-0.9881569,-1.6462625,-25.4642677,-32.3346251,-1.6877318,-1.0674153,-12.2372353
0.5175000,0.5175000,0.5175000,-0.7878626,-0.0011760,-3.7197229,-0.7878626,-39.7028472,-51.0405709,-0.3536463,-0.9240404,-17.1733932,-21.4062624,-0.9495178,-0.5647894,-9.5783692,-1.4103415,-49.2375638,-62.6443329,-0.9751604,-1.6290160,-25.1742528,-31.8949459,-1.6625653,-1.0514986,-12.1052041
0.5200000,0.5200000,0.5200000,-0.7876104,-0.0013687,-3.6651072,-0.7876104,-39.1781941,-50.3193415,-0.3437860,-0.9284007,-16.9162582,-21.0242043,-0.9460502,-0.5684427,-9.4913688,-1.3876257,-48.6920147,-61.9071723,-0.9597297,-1.6099015,-24.8889488,-31.4620971,-1.6357870,-1.0345625,-11.9596949
