# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2100000,0.2100000,0.2100000,1313.8703753
0.2350000,0.2350000,0.2350000,339.2163840
0.2600000,0.2600000,0.2600000,95.5025212
0.2850000,0.2850000,0.2850000,28.2080720
0.3100000,0.3100000,0.3100000,7.8905990
0.3350000,0.3350000,0.3350000,0.9172744
0.3600000,0.3600000,0.3600000,-1.6489583
0.3850000,0.3850000,0.3850000,-2.4863132
0.4100000,0.4100000,0.4100000,-2.3911407
0.4350000,0.4350000,0.4350000,-2.0091250
0.4600000,0.4600000,0.4600000,-1.6262418
0.4850000,0.4850000,0.4850000,-1.4622865
0.5100000,0.5100000,0.5100000,-1.3558142
0.5350000,0.5350000,0.5350000,-1.1449791
0.5600000,0.5600000,0.5600000,-0.8770788
0.5850000,0.5850000,0.5850000,-0.7309312
0.6100000,0.6100000,0.6100000,-0.9860419
0.6350000,0.6350000,0.6350000,-1.1796100
0.6600000,0.6600000,0.6600000,-1.3929620
0.6850000,0.6850000,0.6850000,-1.4725510
0.7100000,0.7100000,0.7100000,-1.2353188
0.7350000,0.7350000,0.7350000,-0.9469678
0.7600000,0.7600000,0.7600000,-0.7113999
0.7850000,0.7850000,0.7850000,-0.5371030
0.8100000,0.8100000,0.8100000,-0.4106903
0.8350000,0.8350000,0.8350000,-0.3184947
0.8600000,0.8600000,0.8600000,-0.2503414
0.8850000,0.8850000,0.8850000,-0.1991916
0.9100000,0.9100000,0.9100000,-0.1602375
0.9350000,0.9350000,0.9350000,-0.1301705
0.9600000,0.9600000,0.9600000,-0.1066799
0.9850000,0.9850000,0.9850000,-0.0881263
1.0100000,1.0100000,1.0100000,-0.0733273
1.0350000,1.0350000,1.0350000,-0.0614177
1.0600000,1.0600000,1.0600000,-0.0517556
1.0850000,1.0850000,1.0850000,-0.0438584
1.1100000,1.1100000,1.1100000,-0.0373598
1.1350000,1.1350000,1.1350000,-0.0319784
1.1600000,1.1600000,1.1600000,-0.0274959
1.1850000,1.1850000,1.1850000,-0.0237420
1.2100000,1.2100000,1.2100000,-0.0205821
1.2350000,1.2350000,1.2350000,-0.0179097
1.2600000,1.2600000,1.2600000,-0.0156393
1.2850000,1.2850000,1.2850000,-0.0137025
1.3100000,1.3100000,1.3100000,-0.0120435
1.3350000,1.3350000,1.3350000,-0.0106172
1.3600000,1.3600000,1.3600000,-0.0093866
1.3850000,1.3850000,1.3850000,-0.0083212
1.4100000,1.4100000,1.4100000,-0.0073958
1.4350000,1.4350000,1.4350000,-0.0065897
1.4600000,1.4600000,1.4600000,-0.0058853
1.4850000,1.4850000,1.4850000,-0.0052681
1.5100000,1.5100000,1.5100000,-0.0047259
1.5350000,1.5350000,1.5350000,-0.0042483
1.5600000,1.5600000,1.5600000,-0.0038266
1.5850000,1.5850000,1.5850000,-0.0034534
