# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.2100000,0.2100000,0.2100000,1195.1241987
0.2350000,0.2350000,0.2350000,434.1796371
0.2600000,0.2600000,0.2600000,157.6837252
0.2850000,0.2850000,0.2850000,58.3536710
0.3100000,0.3100000,0.3100000,23.3440907
0.3350000,0.3350000,0.3350000,10.3118880
0.3600000,0.3600000,0.3600000,4.1683329
0.3850000,0.3850000,0.3850000,-0.1663335
0.4100000,0.4100000,0.4100000,-2.2926089
0.4350000,0.4350000,0.4350000,-2.8613891
0.4600000,0.4600000,0.4600000,-2.8185438
0.4850000,0.4850000,0.4850000,-2.5399687
0.5100000,0.5100000,0.5100000,-2.1634798
0.5350000,0.5350000,0.5350000,-1.7468760
0.5600000,0.5600000,0.5600000,-1.3706372
0.5850000,0.5850000,0.5850000,-1.0660838
0.6100000,0.6100000,0.6100000,-0.8300303
0.6350000,0.6350000,0.6350000,-0.6496307
0.6600000,0.6600000,0.6600000,-0.5119902
0.6850000,0.6850000,0.6850000,-0.4065756
0.7100000,0.7100000,0.7100000,-0.3253410
0.7350000,0.7350000,0.7350000,-0.2622881
0.7600000,0.7600000,0.7600000,-0.2129778
0.7850000,0.7850000,0.7850000,-0.1741238
0.8100000,0.8100000,0.8100000,-0.1432833
0.8350000,0.8350000,0.8350000,-0.1186298
0.8600000,0.8600000,0.8600000,-0.0987883
0.8850000,0.8850000,0.8850000,-0.0827164
0.9100000,0.9100000,0.9100000,-0.0696179
0.9350000,0.9350000,0.9350000,-0.0588804
0.9600000,0.9600000,0.9600000,-0.0500296
0.9850000,0.9850000,0.9850000,-0.0426957
1.0100000,1.0100000,1.0100000,-0.0365884
1.0350000,1.0350000,1.0350000,-0.0314785
1.0600000,1.0600000,1.0600000,-0.0271838
1.0850000,1.0850000,1.0850000,-0.0235588
1.1100000,1.1100000,1.1100000,-0.0204866
1.1350000,1.1350000,1.1350000,-0.0178727
1.1600000,1.1600000,1.1600000,-0.0156406
1.1850000,1.1850000,1.1850000,-0.0137276
1.2100000,1.2100000,1.2100000,-0.0120827
1.2350000,1.2350000,1.2350000,-0.0106636
1.2600000,1.2600000,1.2600000,-0.0094356
1.2850000,1.2850000,1.2850000,-0.0083697
1.3100000,1.3100000,1.3100000,-0.0074420
1.3350000,1.3350000,1.3350000,-0.0066322
1.3600000,1.3600000,1.3600000,-0.0059236
1.3850000,1.3850000,1.3850000,-0.0053019
1.4100000,1.4100000,1.4100000,-0.0047551
1.4350000,1.4350000,1.4350000,-0.0042731
1.4600000,1.4600000,1.4600000,-0.0038472
1.4850000,1.4850000,1.4850000,-0.0034701
1.5100000,1.5100000,1.5100000,-0.0031355
1.5350000,1.5350000,1.5350000,-0.0028380
1.5600000,1.5600000,1.5600000,-0.0025730
1.5850000,1.5850000,1.5850000,-0.0023364
