# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.1700000,0.1700000,0.1700000,1724.4402837
0.1950000,0.1950000,0.1950000,440.4548724
0.2200000,0.2200000,0.2200000,128.4655369
0.2450000,0.2450000,0.2450000,41.6177536
0.2700000,0.2700000,0.2700000,15.6737040
0.2950000,0.2950000,0.2950000,7.6275048
0.3200000,0.3200000,0.3200000,4.7625342
0.3450000,0.3450000,0.3450000,2.4686636
0.3700000,0.3700000,0.3700000,1.1292880
0.3950000,0.3950000,0.3950000,0.1743727
0.4200000,0.4200000,0.4200000,-0.4952480
0.4450000,0.4450000,0.4450000,-0.8159165
0.4700000,0.4700000,0.4700000,-0.9556910
0.4950000,0.4950000,0.4950000,-0.9575304
0.5200000,0.5200000,0.5200000,-0.9041139
0.5450000,0.5450000,0.5450000,-0.8200685
0.5700000,0.5700000,0.5700000,-0.7110015
0.5950000,0.5950000,0.5950000,-0.5764622
0.6200000,0.6200000,0.6200000,-0.4519936
0.6450000,0.6450000,0.6450000,-0.3515993
0.6700000,0.6700000,0.6700000,-0.2742794
0.6950000,0.6950000,0.6950000,-0.2154254
0.7200000,0.7200000,0.7200000,-0.1705774
0.7450000,0.7450000,0.7450000,-0.1361963
0.7700000,0.7700000,0.7700000,-0.1096323
0.7950000,0.7950000,0.7950000,-0.0889361
0.8200000,0.8200000,0.8200000,-0.0726766
0.8450000,0.8450000,0.8450000,-0.0597993
0.8700000,0.8700000,0.8700000,-0.0495220
0.8950000,0.8950000,0.8950000,-0.0412597
0.9200000,0.9200000,0.9200000,-0.0345716
0.9450000,0.9450000,0.9450000,-0.0291224
0.9700000,0.9700000,0.9700000,-0.0246555
0.9950000,0.9950000,0.9950000,-0.0209726
1.0200000,1.0200000,1.0200000,-0.0179196
1.0450000,1.0450000,1.0450000,-0.0153756
1.0700000,1.0700000,1.0700000,-0.0132455
1.0950000,1.0950000,1.0950000,-0.0114537
1.1200000,1.1200000,1.1200000,-0.0099399
1.1450000,1.1450000,1.1450000,-0.0086556
1.1700000,1.1700000,1.1700000,-0.0075618
1.1950000,1.1950000,1.1950000,-0.0066266
1.2200000,1.2200000,1.2200000,-0.0058242
1.2450000,1.2450000,1.2450000,-0.0051334
1.2700000,1.2700000,1.2700000,-0.0045368
1.2950000,1.2950000,1.2950000,-0.0040198
1.3200000,1.3200000,1.3200000,-0.0035705
1.3450000,1.3450000,1.3450000,-0.0031790
1.3700000,1.3700000,1.3700000,-0.0028368
1.3950000,1.3950000,1.3950000,-0.0025370
1.4200000,1.4200000,1.4200000,-0.0022737
1.4450000,1.4450000,1.4450000,-0.0020418
1.4700000,1.4700000,1.4700000,-0.0018371
1.4950000,1.4950000,1.4950000,-0.0016560
1.5200000,1.5200000,1.5200000,-0.0014955
1.5450000,1.5450000,1.5450000,-0.0013529
1.5700000,1.5700000,1.5700000,-0.0012260
1.5950000,1.5950000,1.5950000,-0.0011128
