# r[nm],d[nm],daligned[nm],Ucarbring(d)[kj/mol],UMincarbring(d)[kj/mol]
0.0000000,0.0000000,0.0000000,372048993.9901052,372048993.9901052
0.0050000,0.0050000,0.0050000,207977949.6100142,207977949.6100142
0.0100000,0.0100000,0.0100000,124548574.7307062,124548574.7307062
0.0150000,0.0150000,0.0150000,74668125.2916903,74668125.2916903
0.0200000,0.0200000,0.0200000,52545438.8702514,52545438.8702514
0.0250000,0.0250000,0.0250000,40910438.0090074,40910438.0090074
0.0300000,0.0300000,0.0300000,31863372.3641868,31863372.3641868
0.0350000,0.0350000,0.0350000,26915487.9247998,26915487.9247998
0.0400000,0.0400000,0.0400000,21684451.7895655,21684451.7895655
0.0450000,0.0450000,0.0450000,18192191.0571903,18192191.0571903
0.0500000,0.0500000,0.0500000,15631519.8162218,15631519.8162218
0.0550000,0.0550000,0.0550000,14424042.9801685,14424042.9801685
0.0600000,0.0600000,0.0600000,13437381.8214200,13437381.8214200
0.0650000,0.0650000,0.0650000,9878226.5250550,9878226.5250550
0.0700000,0.0700000,0.0700000,6766715.9070273,6766715.9070273
0.0750000,0.0750000,0.0750000,4708230.9905980,4708230.9905980
0.0800000,0.0800000,0.0800000,3336082.1455630,3336082.1455630
0.0850000,0.0850000,0.0850000,2413053.1686159,2413053.1686159
0.0900000,0.0900000,0.0900000,1785508.1307501,1785508.1307501
0.0950000,0.0950000,0.0950000,1353486.0577778,1353486.0577778
0.1000000,0.1000000,0.1000000,1051478.4803049,1051478.4803049
0.1050000,0.1050000,0.1050000,836194.8225167,836194.8225167
0.1100000,0.1100000,0.1100000,678666.0596006,678666.0596006
0.1150000,0.1150000,0.1150000,537338.5032581,537338.5032581
0.1200000,0.1200000,0.1200000,430911.4033534,430911.4033534
0.1250000,0.1250000,0.1250000,349687.2060937,349687.2060937
0.1300000,0.1300000,0.1300000,287149.8173978,287149.8173978
0.1350000,0.1350000,0.1350000,238862.2200412,238862.2200412
0.1400000,0.1400000,0.1400000,201761.4653588,201761.4653588
0.1450000,0.1450000,0.1450000,173723.8136257,173723.8136257
0.1500000,0.1500000,0.1500000,153316.1372382,153316.1372382
0.1550000,0.1550000,0.1550000,139682.7805651,139682.7805651
0.1600000,0.1600000,0.1600000,132544.4991164,132544.4991164
0.1650000,0.1650000,0.1650000,132311.9332723,132311.9332723
0.1700000,0.1700000,0.1700000,131570.1701818,131570.1701818
0.1750000,0.1750000,0.1750000,103924.6720835,103924.6720835
0.1800000,0.1800000,0.1800000,83268.7372584,83268.7372584
0.1850000,0.1850000,0.1850000,67496.9643742,67496.9643742
0.1900000,0.1900000,0.1900000,55189.3784994,55189.3784994
0.1950000,0.1950000,0.1950000,45390.9078413,45390.9078413
0.2000000,0.2000000,0.2000000,37458.8585438,37458.8585438
0.2050000,0.2050000,0.2050000,30957.1600115,30957.1600115
0.2100000,0.2100000,0.2100000,25583.8455336,25583.8455336
0.2150000,0.2150000,0.2150000,21122.6390176,21122.6390176
0.2200000,0.2200000,0.2200000,17411.8708109,17411.8708109
0.2250000,0.2250000,0.2250000,14294.2857189,14294.2857189
0.2300000,0.2300000,0.2300000,11697.0531695,11697.0531695
0.2350000,0.2350000,0.2350000,9364.7107248,9364.7107248
0.2400000,0.2400000,0.2400000,7522.7355171,7522.7355171
0.2450000,0.2450000,0.2450000,6071.1535741,6071.1535741
0.2500000,0.2500000,0.2500000,4916.2615808,4916.2615808
0.2550000,0.2550000,0.2550000,3989.8352189,3989.8352189
0.2600000,0.2600000,0.2600000,3241.7315938,3241.7315938
0.2650000,0.2650000,0.2650000,2634.6036623,2634.6036623
0.2700000,0.2700000,0.2700000,2140.1853117,2140.1853117
0.2750000,0.2750000,0.2750000,1765.5815111,1736.7091818
0.2800000,0.2800000,0.2800000,1435.9802026,1407.1235609
0.2850000,0.2850000,0.2850000,1165.0993911,1137.8630172
0.2900000,0.2900000,0.2900000,897.1773721,868.3050290
0.2950000,0.2950000,0.2950000,682.7524983,653.8801605
0.3000000,0.3000000,0.3000000,522.6356295,493.7646791
0.3050000,0.3050000,0.3050000,402.1924438,373.3791074
0.3100000,0.3100000,0.3100000,310.5092803,282.2799387
0.3150000,0.3150000,0.3150000,239.4990411,211.9631672
0.3200000,0.3200000,0.3200000,184.5387279,156.3774321
0.3250000,0.3250000,0.3250000,142.3101997,114.1160730
0.3300000,0.3300000,0.3300000,109.8951736,81.8842155
0.3350000,0.3350000,0.3350000,84.9667099,57.2446354
0.3400000,0.3400000,0.3400000,65.7307432,38.3830468
0.3450000,0.3450000,0.3450000,50.8171119,23.9405268
0.3500000,0.3500000,0.3500000,39.1994106,12.8931264
0.3550000,0.3550000,0.3550000,30.1161613,4.4648450
0.3600000,0.3600000,0.3600000,22.9927356,-1.9356643
0.3650000,0.3650000,0.3650000,17.3867046,-6.7614111
0.3700000,0.3700000,0.3700000,12.9587549,-10.3611629
0.3750000,0.3750000,0.3750000,9.4553140,-13.0046923
0.3800000,0.3800000,0.3800000,6.6906099,-14.9015819
0.3850000,0.3850000,0.3850000,4.5249463,-16.2153101
0.3900000,0.3900000,0.3900000,2.8448225,-17.0738617
0.3950000,0.3950000,0.3950000,1.5516725,-17.5777633
0.4000000,0.4000000,0.4000000,0.5602143,-17.8116248
0.4050000,0.4050000,0.4050000,-0.1981380,-17.8384631
0.4100000,0.4100000,0.4100000,-0.7731984,-17.7342484
0.4150000,0.4150000,0.4150000,-1.1993994,-17.6425008
0.4200000,0.4200000,0.4200000,-1.5033827,-17.4862623
0.4250000,0.4250000,0.4250000,-1.7104035,-17.2367735
0.4300000,0.4300000,0.4300000,-1.8455311,-16.8981283
0.4350000,0.4350000,0.4350000,-1.9309608,-16.4926420
0.4400000,0.4400000,0.4400000,-1.9841075,-16.0529835
0.4450000,0.4450000,0.4450000,-2.0193183,-15.7715210
0.4500000,0.4500000,0.4500000,-2.0519801,-15.4188382
0.4550000,0.4550000,0.4550000,-2.1006624,-15.0138103
0.4600000,0.4600000,0.4600000,-2.1829749,-14.6091547
0.4650000,0.4650000,0.4650000,-2.3069547,-14.2444307
0.4700000,0.4700000,0.4700000,-2.4659011,-13.8383902
0.4750000,0.4750000,0.4750000,-2.6415114,-14.4176718
0.4800000,0.4800000,0.4800000,-2.8124218,-14.7565789
0.4850000,0.4850000,0.4850000,-2.9621087,-14.8880562
0.4900000,0.4900000,0.4900000,-3.0827157,-14.8581913
0.4950000,0.4950000,0.4950000,-3.1749101,-14.7038216
0.5000000,0.5000000,0.5000000,-3.2450318,-14.4544172
0.5050000,0.5050000,0.5050000,-3.3009144,-14.1335622
0.5100000,0.5100000,0.5100000,-3.3483108,-13.7601238
0.5150000,0.5150000,0.5150000,-3.3895758,-13.3491807
0.5200000,0.5200000,0.5200000,-3.4246769,-12.9127617
0.5250000,0.5250000,0.5250000,-3.4532526,-12.6482433
0.5300000,0.5300000,0.5300000,-3.4762911,-12.6758913
0.5350000,0.5350000,0.5350000,-3.4966351,-12.6306503
0.5400000,0.5400000,0.5400000,-3.5183442,-12.4849170
0.5450000,0.5450000,0.5450000,-3.5455991,-12.2551171
0.5500000,0.5500000,0.5500000,-3.5817466,-11.9631734
