# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.0000000,0.0000000,0.0000000,571213759.0682290,571213759.0682290
0.0050000,0.0050000,0.0050000,247279548.0454738,247279548.0454738
0.0100000,0.0100000,0.0100000,115829189.2423875,115829189.2423875
0.0150000,0.0150000,0.0150000,60770095.2438803,60770095.2438803
0.0200000,0.0200000,0.0200000,33635622.6871509,33635622.6871509
0.0250000,0.0250000,0.0250000,19177303.7898590,19177303.7898590
0.0300000,0.0300000,0.0300000,11253118.6195987,11253118.6195987
0.0350000,0.0350000,0.0350000,6786873.7546801,6786873.7546801
0.0400000,0.0400000,0.0400000,4139833.3298704,4139833.3298704
0.0450000,0.0450000,0.0450000,2569263.5849983,2569263.5849983
0.0500000,0.0500000,0.0500000,1659968.2274721,1659968.2274721
0.0550000,0.0550000,0.0550000,1115021.3616517,1115021.3616517
0.0600000,0.0600000,0.0600000,772343.5986892,772343.5986892
0.0650000,0.0650000,0.0650000,558586.3259344,558586.3259344
0.0700000,0.0700000,0.0700000,376867.4476852,376867.4476852
0.0750000,0.0750000,0.0750000,259120.9018522,259120.9018522
0.0800000,0.0800000,0.0800000,183291.0852440,183291.0852440
0.0850000,0.0850000,0.0850000,133477.1337672,133477.1337672
0.0900000,0.0900000,0.0900000,101429.7200957,101429.7200957
0.0950000,0.0950000,0.0950000,80407.3447850,80407.3447850
0.1000000,0.1000000,0.1000000,64965.8574851,64965.8574851
0.1050000,0.1050000,0.1050000,46284.8755005,46284.8755005
0.1100000,0.1100000,0.1100000,33878.5160525,33878.5160525
0.1150000,0.1150000,0.1150000,25250.2408788,25250.2408788
0.1200000,0.1200000,0.1200000,19041.6885454,19041.6885454
0.1250000,0.1250000,0.1250000,14674.9007905,14674.9007905
0.1300000,0.1300000,0.1300000,11498.0564024,11498.0564024
0.1350000,0.1350000,0.1350000,9190.9352959,9190.9352959
0.1400000,0.1400000,0.1400000,7473.2213646,7473.2213646
0.1450000,0.1450000,0.1450000,6153.7255972,6153.7255972
0.1500000,0.1500000,0.1500000,4612.5060086,4612.5060086
0.1550000,0.1550000,0.1550000,3446.5941443,3446.5941443
0.1600000,0.1600000,0.1600000,2600.4034593,2600.4034593
0.1650000,0.1650000,0.1650000,1979.4263422,1979.4263422
0.1700000,0.1700000,0.1700000,1544.2013462,1518.6137898
0.1750000,0.1750000,0.1750000,1198.4111755,1172.8238615
0.1800000,0.1800000,0.1800000,936.0609247,910.4747474
0.1850000,0.1850000,0.1850000,734.8743684,709.2916827
0.1900000,0.1900000,0.1900000,579.0087747,553.4339714
0.1950000,0.1950000,0.1950000,457.1001226,431.5395554
0.2000000,0.2000000,0.2000000,360.9204985,335.3847293
0.2050000,0.2050000,0.2050000,282.9741862,258.9595719
0.2100000,0.2100000,0.2100000,212.5889953,190.8931469
0.2150000,0.2150000,0.2150000,156.1369401,134.3536717
0.2200000,0.2200000,0.2200000,111.9765851,90.1977454
0.2250000,0.2250000,0.2250000,77.4284295,55.6976815
0.2300000,0.2300000,0.2300000,50.4072131,28.7538665
0.2350000,0.2350000,0.2350000,29.2968716,7.7422702
0.2400000,0.2400000,0.2400000,12.8242963,-8.5989827
0.2450000,0.2450000,0.2450000,-0.0544977,-21.2545111
0.2500000,0.2500000,0.2500000,-10.1954908,-31.0551373
0.2550000,0.2550000,0.2550000,-18.2041768,-40.2237576
0.2600000,0.2600000,0.2600000,-24.4461878,-47.2452744
0.2650000,0.2650000,0.2650000,-29.1923808,-52.3357536
0.2700000,0.2700000,0.2700000,-32.7306800,-55.9228389
0.2750000,0.2750000,0.2750000,-35.3866683,-58.3396804
0.2800000,0.2800000,0.2800000,-37.4519193,-59.8465658
0.2850000,0.2850000,0.2850000,-39.0820874,-60.6473684
0.2900000,0.2900000,0.2900000,-40.3538937,-62.2288516
0.2950000,0.2950000,0.2950000,-41.4237291,-63.3103536
0.3000000,0.3000000,0.3000000,-42.4788950,-63.7577427
0.3050000,0.3050000,0.3050000,-43.5261881,-63.7174175
0.3100000,0.3100000,0.3100000,-44.4767153,-63.3045014
0.3150000,0.3150000,0.3150000,-45.4325619,-63.7846855
0.3200000,0.3200000,0.3200000,-46.8239168,-66.6117403
0.3250000,0.3250000,0.3250000,-48.7847277,-69.8017572
0.3300000,0.3300000,0.3300000,-50.7186012,-71.7503513
0.3350000,0.3350000,0.3350000,-52.1868055,-74.0560685
0.3400000,0.3400000,0.3400000,-53.1669195,-75.3806960
0.3450000,0.3450000,0.3450000,-53.9757760,-75.9167729
