# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.0000000,0.0000000,0.0000000,325329691023792734208.0000000,325329691023792734208.0000000
0.0050000,0.0050000,0.0050000,453119207129696576.0000000,453119207129696576.0000000
0.0100000,0.0100000,0.0100000,6571967132269486.0000000,6571967132269486.0000000
0.0150000,0.0150000,0.0150000,288647667387542.4375000,288647667387542.4375000
0.0200000,0.0200000,0.0200000,24218204801798.9882812,24218204801798.9882812
0.0250000,0.0250000,0.0250000,3108347867864.1396484,3108347867864.1396484
0.0300000,0.0300000,0.0300000,538743128848.5048828,538743128848.5048828
0.0350000,0.0350000,0.0350000,116775573740.2763062,116775573740.2763062
0.0400000,0.0400000,0.0400000,30091846506.2193069,30091846506.2193069
0.0450000,0.0450000,0.0450000,8900977670.2011623,8900977670.2011623
0.0500000,0.0500000,0.0500000,2947747193.1975160,2947747193.1975160
0.0550000,0.0550000,0.0550000,1074775424.4488735,1074775424.4488735
0.0600000,0.0600000,0.0600000,424780615.7257429,424780615.7257429
0.0650000,0.0650000,0.0650000,178844824.2298887,178844824.2298887
0.0700000,0.0700000,0.0700000,80030638.1184743,80030638.1184743
0.0750000,0.0750000,0.0750000,37745014.0811232,37745014.0811232
0.0800000,0.0800000,0.0800000,18595044.2808861,18595044.2808861
0.0850000,0.0850000,0.0850000,9545805.5120163,9545805.5120163
0.0900000,0.0900000,0.0900000,5075227.6439384,5075227.6439384
0.0950000,0.0950000,0.0950000,2792836.0177737,2792836.0177737
0.1000000,0.1000000,0.1000000,1588182.7933155,1588182.7933155
0.1050000,0.1050000,0.1050000,931786.2266266,931786.2266266
0.1100000,0.1100000,0.1100000,563327.1531547,563327.1531547
0.1150000,0.1150000,0.1150000,350606.2909650,350606.2909650
0.1200000,0.1200000,0.1200000,224464.9834510,224464.9834510
0.1250000,0.1250000,0.1250000,147717.0744591,147717.0744591
0.1300000,0.1300000,0.1300000,99849.2483866,99849.2483866
0.1350000,0.1350000,0.1350000,69269.0517516,69269.0517516
0.1400000,0.1400000,0.1400000,49272.9617201,49272.9617201
0.1450000,0.1450000,0.1450000,35897.9863594,35897.9863594
0.1500000,0.1500000,0.1500000,26750.8815610,26750.8815610
0.1550000,0.1550000,0.1550000,20356.5309826,20356.5309826
0.1600000,0.1600000,0.1600000,15787.9225681,15787.9225681
0.1650000,0.1650000,0.1650000,12451.8936030,12451.8936030
0.1700000,0.1700000,0.1700000,9962.6424094,9962.6424094
0.1750000,0.1750000,0.1750000,8065.5718448,8065.5718448
0.1800000,0.1800000,0.1800000,6590.5073851,6590.5073851
0.1850000,0.1850000,0.1850000,5422.3746066,5422.3746066
0.1900000,0.1900000,0.1900000,4482.4611215,4482.4611215
0.1950000,0.1950000,0.1950000,3716.2353689,3716.2353689
0.2000000,0.2000000,0.2000000,3085.3214176,3085.3214176
0.2050000,0.2050000,0.2050000,2562.1679826,2562.1679826
0.2100000,0.2100000,0.2100000,2126.4983226,2126.4983226
0.2150000,0.2150000,0.2150000,1785.7372215,1762.9534113
0.2200000,0.2200000,0.2200000,1481.8564662,1459.5391809
0.2250000,0.2250000,0.2250000,1227.8760974,1206.6138325
0.2300000,0.2300000,0.2300000,1015.4121172,994.8683350
0.2350000,0.2350000,0.2350000,836.5853703,815.3578989
0.2400000,0.2400000,0.2400000,687.2014674,666.1362392
0.2450000,0.2450000,0.2450000,564.0145920,542.8945640
0.2500000,0.2500000,0.2500000,463.0502839,441.3404169
0.2550000,0.2550000,0.2550000,380.6662758,358.0408004
0.2600000,0.2600000,0.2600000,313.7241065,290.6066886
0.2650000,0.2650000,0.2650000,259.4516002,236.2418526
0.2700000,0.2700000,0.2700000,215.1894965,192.5864594
0.2750000,0.2750000,0.2750000,178.5529372,157.6623531
0.2800000,0.2800000,0.2800000,147.9142567,128.7086063
0.2850000,0.2850000,0.2850000,119.7523947,97.6690144
0.2900000,0.2900000,0.2900000,93.2420985,69.6742717
0.2950000,0.2950000,0.2950000,71.2962539,47.3629904
0.3000000,0.3000000,0.3000000,53.5714492,29.6538892
0.3050000,0.3050000,0.3050000,38.2562164,15.6604809
0.3100000,0.3100000,0.3100000,23.6338203,4.6590526
