# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.1975000,0.1975000,0.1975000,1599.0024453
0.2225000,0.2225000,0.2225000,602.9019572
0.2475000,0.2475000,0.2475000,220.8477972
0.2725000,0.2725000,0.2725000,82.4704306
0.2975000,0.2975000,0.2975000,32.6692996
0.3225000,0.3225000,0.3225000,14.6522330
0.3475000,0.3475000,0.3475000,8.1266609
0.3725000,0.3725000,0.3725000,5.0734848
0.3975000,0.3975000,0.3975000,2.7785067
0.4225000,0.4225000,0.4225000,1.2154717
0.4475000,0.4475000,0.4475000,0.1392937
0.4725000,0.4725000,0.4725000,-0.8083729
0.4975000,0.4975000,0.4975000,-1.1868878
0.5225000,0.5225000,0.5225000,-1.1097648
0.5475000,0.5475000,0.5475000,-0.9075776
0.5725000,0.5725000,0.5725000,-0.7094351
0.5975000,0.5975000,0.5975000,-0.5471618
0.6225000,0.6225000,0.6225000,-0.4217717
0.6475000,0.6475000,0.6475000,-0.3267314
0.6725000,0.6725000,0.6725000,-0.2549625
0.6975000,0.6975000,0.6975000,-0.2005949
0.7225000,0.7225000,0.7225000,-0.1591486
0.7475000,0.7475000,0.7475000,-0.1273085
0.7725000,0.7725000,0.7725000,-0.1026466
0.7975000,0.7975000,0.7975000,-0.0833862
0.8225000,0.8225000,0.8225000,-0.0682223
0.8475000,0.8475000,0.8475000,-0.0561903
0.8725000,0.8725000,0.8725000,-0.0465724
0.8975000,0.8975000,0.8975000,-0.0388298
0.9225000,0.9225000,0.9225000,-0.0325551
0.9475000,0.9475000,0.9475000,-0.0274378
0.9725000,0.9725000,0.9725000,-0.0232394
0.9975000,0.9975000,0.9975000,-0.0197754
1.0225000,1.0225000,1.0225000,-0.0169021
1.0475000,1.0475000,1.0475000,-0.0145067
1.0725000,1.0725000,1.0725000,-0.0125000
1.0975000,1.0975000,1.0975000,-0.0108114
1.1225000,1.1225000,1.1225000,-0.0093842
1.1475000,1.1475000,1.1475000,-0.0081731
1.1725000,1.1725000,1.1725000,-0.0071413
1.1975000,1.1975000,1.1975000,-0.0062589
1.2225000,1.2225000,1.2225000,-0.0055017
1.2475000,1.2475000,1.2475000,-0.0048497
1.2725000,1.2725000,1.2725000,-0.0042865
1.2975000,1.2975000,1.2975000,-0.0037984
1.3225000,1.3225000,1.3225000,-0.0033741
1.3475000,1.3475000,1.3475000,-0.0030044
1.3725000,1.3725000,1.3725000,-0.0026812
1.3975000,1.3975000,1.3975000,-0.0023980
1.4225000,1.4225000,1.4225000,-0.0021492
1.4475000,1.4475000,1.4475000,-0.0019301
1.4725000,1.4725000,1.4725000,-0.0017368
1.4975000,1.4975000,1.4975000,-0.0015657
1.5225000,1.5225000,1.5225000,-0.0014140
1.5475000,1.5475000,1.5475000,-0.0012792
1.5725000,1.5725000,1.5725000,-0.0011593
1.5975000,1.5975000,1.5975000,-0.0010522
