# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol]
0.1975000,0.1975000,0.1975000,1764.1484663,-0.5687665,inf
0.2000000,0.2000000,0.2000000,1653.3742451,-0.5658551,inf
0.2025000,0.2025000,0.2025000,1550.0028043,-0.5626542,inf
0.2050000,0.2050000,0.2050000,1453.3933482,-0.5591730,inf
0.2075000,0.2075000,0.2075000,1362.9652701,-0.5539989,inf
0.2100000,0.2100000,0.2100000,1254.9610821,-0.2093478,inf
0.2125000,0.2125000,0.2125000,1145.8830056,-0.2033533,inf
0.2150000,0.2150000,0.2150000,1047.9980999,-0.1974738,inf
0.2175000,0.2175000,0.2175000,960.0635185,-0.1916838,inf
0.2200000,0.2200000,0.2200000,880.9708938,-0.1859874,inf
0.2225000,0.2225000,0.2225000,809.7330247,-0.1803883,inf
0.2250000,0.2250000,0.2250000,745.4716138,-0.1748899,inf
0.2275000,0.2275000,0.2275000,687.4061582,-0.1694950,inf
0.2300000,0.2300000,0.2300000,634.8438900,-0.1642062,inf
0.2325000,0.2325000,0.2325000,587.1706686,-0.1590256,inf
0.2350000,0.2350000,0.2350000,543.8427389,-0.1539551,inf
0.2375000,0.2375000,0.2375000,504.3792728,-0.1489961,inf
0.2400000,0.2400000,0.2400000,468.3556241,-0.1441499,inf
0.2425000,0.2425000,0.2425000,435.3972298,-0.1394173,inf
0.2450000,0.2450000,0.2450000,405.1739558,-0.1348069,inf
0.2475000,0.2475000,0.2475000,377.3597826,-0.1322468,inf
0.2500000,0.2500000,0.2500000,349.5508981,-0.2048340,inf
0.2525000,0.2525000,0.2525000,317.6466945,-0.2489941,inf
0.2550000,0.2550000,0.2550000,288.0030729,-0.2433757,1585.3282787
0.2575000,0.2575000,0.2575000,261.4077974,-0.2361992,1321.1974505
0.2600000,0.2600000,0.2600000,237.5418297,-0.2291286,1104.9060742
0.2625000,0.2625000,0.2625000,216.0979959,-0.2222269,926.9891274
0.2650000,0.2650000,0.2650000,196.8054498,-0.2154965,780.0164691
0.2675000,0.2675000,0.2675000,179.4260758,-0.2089358,658.1210434
0.2700000,0.2700000,0.2700000,163.7504390,-0.2025426,556.6441933
0.2725000,0.2725000,0.2725000,149.5941885,-0.1963147,471.8671674
0.2750000,0.2750000,0.2750000,136.7949065,-0.1902496,400.8065328
0.2775000,0.2775000,0.2775000,125.2093372,-0.1843456,341.0573042
0.2800000,0.2800000,0.2800000,114.7108018,-0.1786084,290.6719401
0.2825000,0.2825000,0.2825000,105.1860618,-0.1730886,248.0664707
0.2850000,0.2850000,0.2850000,96.5296155,-0.1680127,211.9472781
0.2875000,0.2875000,0.2875000,88.6329692,-0.1640637,181.2536857
0.2900000,0.2900000,0.2900000,81.3721097,-0.1625890,155.1127194
0.2925000,0.2925000,0.2925000,74.6113359,-0.1649462,132.8032901
0.2950000,0.2950000,0.2950000,68.2438243,-0.1707061,113.7277047
0.2975000,0.2975000,0.2975000,62.2393831,-0.1771486,97.3889070
0.3000000,0.3000000,0.3000000,56.6336130,-0.1816114,83.3722208
0.3025000,0.3025000,0.3025000,51.4715192,-0.1832524,71.3306429
0.3050000,0.3050000,0.3050000,46.7715209,-0.1825252,60.9729515
0.3075000,0.3075000,0.3075000,42.5235196,-0.1801979,52.0540501
0.3100000,0.3100000,0.3100000,38.6997077,-0.1769065,44.3670657
0.3125000,0.3125000,0.3125000,35.2644279,-0.1730804,37.7367187
0.3150000,0.3150000,0.3150000,32.1802628,-0.1689807,32.0133045
0.3175000,0.3175000,0.3175000,29.4111878,-0.1647514,27.0664134
0.3200000,0.3200000,0.3200000,26.9239396,-0.1604575,22.7777750
0.3225000,0.3225000,0.3225000,24.6883968,-0.1561135,19.0341816
0.3250000,0.3250000,0.3250000,22.6774705,-0.1517054,15.7243729
0.3275000,0.3275000,0.3275000,20.8668009,-0.1472086,12.7454656
0.3300000,0.3300000,0.3300000,19.2344229,-0.1426033,10.0190211
0.3325000,0.3325000,0.3325000,17.7604661,-0.1378869,7.5041921
0.3350000,0.3350000,0.3350000,16.4268956,-0.1330807,5.1933872
0.3375000,0.3375000,0.3375000,15.2172739,-0.1282314,3.0938956
0.3400000,0.3400000,0.3400000,14.1165224,-0.1234080,1.2113719
0.3425000,0.3425000,0.3425000,13.1106724,-0.1186967,-0.4568340
0.3450000,0.3450000,0.3450000,12.1866152,-0.1141961,-1.9211689
0.3475000,0.3475000,0.3475000,11.3319036,-0.1100141,-3.1969738
0.3500000,0.3500000,0.3500000,10.5347020,-0.1062646,-4.3017747
0.3525000,0.3525000,0.3525000,9.7840047,-0.1030609,-5.2534566
0.3550000,0.3550000,0.3550000,9.0701660,-0.1005008,-6.0692250
0.3575000,0.3575000,0.3575000,8.3856289,-0.0986454,-6.7651031
0.3600000,0.3600000,0.3600000,7.7255658,-0.0974995,-7.3557492
0.3625000,0.3625000,0.3625000,7.0881092,-0.0970025,-7.8544493
0.3650000,0.3650000,0.3650000,6.4740022,-0.0970390,-8.2731898
0.3675000,0.3675000,0.3675000,5.8857678,-0.0974617,-8.6227488
0.3700000,0.3700000,0.3700000,5.3266887,-0.0981198,-8.9127703
0.3725000,0.3725000,0.3725000,4.7999042,-0.0988791,-9.1518081
0.3750000,0.3750000,0.3750000,4.3078049,-0.0996331,-9.3473434
0.3775000,0.3775000,0.3775000,3.8517513,-0.1003037,-9.5057967
0.3800000,0.3800000,0.3800000,3.4320436,-0.1008375,-9.6325574
0.3825000,0.3825000,0.3825000,3.0480393,-0.1011994,-9.7320524
0.3850000,0.3850000,0.3850000,2.6983361,-0.1013665,-9.8078592
0.3875000,0.3875000,0.3875000,2.3809657,-0.1013231,-9.8628543
0.3900000,0.3900000,0.3900000,2.0935782,-0.1010566,-9.8993743
0.3925000,0.3925000,0.3925000,1.8336083,-0.1005555,-9.9193651
0.3950000,0.3950000,0.3950000,1.5984221,-0.0998095,-9.9245032
0.3975000,0.3975000,0.3975000,1.3854399,-0.0988102,-9.9162826
0.4000000,0.4000000,0.4000000,1.1922319,-0.0975541,-9.8960696
0.4025000,0.4025000,0.4025000,1.0165830,-0.0960449,-9.8651351
0.4050000,0.4050000,0.4050000,0.8565258,-0.0942959,-9.8246721
0.4075000,0.4075000,0.4075000,0.7103472,-0.0923312,-9.7758092
0.4100000,0.4100000,0.4100000,0.5765732,-0.0901850,-9.7196225
0.4125000,0.4125000,0.4125000,0.4539392,-0.0879007,-9.6571490
0.4150000,0.4150000,0.4150000,0.3413551,-0.0855271,-9.5893982
0.4175000,0.4175000,0.4175000,0.2378703,-0.0831153,-9.5173664
0.4200000,0.4200000,0.4200000,0.1426478,-0.0807146,-9.4420545
0.4225000,0.4225000,0.4225000,0.0549486,-0.0783690,-9.3644918
0.4250000,0.4250000,0.4250000,-0.0258732,-0.0761140,-9.2857593
0.4275000,0.4275000,0.4275000,-0.1003694,-0.0739751,-9.2069969
0.4300000,0.4300000,0.4300000,-0.1689983,-0.0719661,-9.1293840
0.4325000,0.4325000,0.4325000,-0.2321311,-0.0700896,-9.0540869
0.4350000,0.4350000,0.4350000,-0.2900663,-0.0683378,-8.9821818
0.4375000,0.4375000,0.4375000,-0.3430498,-0.0666949,-8.9145675
0.4400000,0.4400000,0.4400000,-0.3912971,-0.0651391,-8.8518857
0.4425000,0.4425000,0.4425000,-0.4350123,-0.0636457,-8.7944645
0.4450000,0.4450000,0.4450000,-0.4744015,-0.0621902,-8.7422928
0.4475000,0.4475000,0.4475000,-0.5096798,-0.0607504,-8.6950305
0.4500000,0.4500000,0.4500000,-0.5410729,-0.0593085,-8.6520493
0.4525000,0.4525000,0.4525000,-0.5688165,-0.0578517,-8.6125001
0.4550000,0.4550000,0.4550000,-0.5931553,-0.0563729,-8.5753944
0.4575000,0.4575000,0.4575000,-0.6143432,-0.0548703,-8.5396894
0.4600000,0.4600000,0.4600000,-0.6326457,-0.0533457,-8.5043669
0.4625000,0.4625000,0.4625000,-0.6483424,-0.0518035,-8.4684952
0.4650000,0.4650000,0.4650000,-0.6617302,-0.0502479,-8.4312715
0.4675000,0.4675000,0.4675000,-0.6731226,-0.0486812,-8.3920390
0.4700000,0.4700000,0.4700000,-0.6828467,-0.0471012,-8.3502860
0.4725000,0.4725000,0.4725000,-0.6912360,-0.0454998,-8.3056312
0.4750000,0.4750000,0.4750000,-0.6986212,-0.0438625,-8.2578057
0.4775000,0.4775000,0.4775000,-0.7053193,-0.0421687,-8.2066362
0.4800000,0.4800000,0.4800000,-0.7116234,-0.0403938,-8.1520345
0.4825000,0.4825000,0.4825000,-0.7177944,-0.0385127,-8.0939884
0.4850000,0.4850000,0.4850000,-0.7240565,-0.0365024,-8.0325541
0.4875000,0.4875000,0.4875000,-0.7305973,-0.0343458,-7.9678460
0.4900000,0.4900000,0.4900000,-0.7375735,-0.0320334,-7.9000248
0.4925000,0.4925000,0.4925000,-0.7451199,-0.0295641,-7.8292862
0.4950000,0.4950000,0.4950000,-0.7533560,-0.0269450,-7.7558500
0.4975000,0.4975000,0.4975000,-0.7623894,-0.0241905,-7.6799542
0.5000000,0.5000000,0.5000000,-0.7723116,-0.0213210,-7.6018502
0.5025000,0.5025000,0.5025000,-0.7831875,-0.0183628,-7.5218006
0.5050000,0.5050000,0.5050000,-0.7950421,-0.0153468,-7.4400771
0.5075000,0.5075000,0.5075000,-0.8078476,-0.0123080,-7.3569562
0.5100000,0.5100000,0.5100000,-0.8215152,-0.0092844,-7.2727140
0.5125000,0.5125000,0.5125000,-0.8358943,-0.0063154,-7.1876179
0.5150000,0.5150000,0.5150000,-0.8507795,-0.0034397,-7.1019204
0.5175000,0.5175000,0.5175000,-0.8659249,-0.0006927,-7.0158540
0.5200000,0.5200000,0.5200000,-0.8810619,0.0018950,-6.9296304
0.5225000,0.5225000,0.5225000,-0.8959181,0.0042991,-6.8434427
0.5250000,0.5250000,0.5250000,-0.9102334,0.0065020,-6.7574701
0.5275000,0.5275000,0.5275000,-0.9237725,0.0084928,-6.6718820
0.5300000,0.5300000,0.5300000,-0.9363337,0.0102655,-6.5868397
0.5325000,0.5325000,0.5325000,-0.9477536,0.0118186,-6.5024944
0.5350000,0.5350000,0.5350000,-0.9579087,0.0131533,-6.4189806
0.5375000,0.5375000,0.5375000,-0.9667138,0.0142728,-6.3364089
0.5400000,0.5400000,0.5400000,-0.9741182,0.0151822,-6.2548577
0.5425000,0.5425000,0.5425000,-0.9800999,0.0158880,-6.1743694
0.5450000,0.5450000,0.5450000,-0.9846600,0.0163988,-6.0949508
0.5475000,0.5475000,0.5475000,-0.9878171,0.0167250,-6.0165780
0.5500000,0.5500000,0.5500000,-0.9896039,0.0168789,-5.9392057
0.5525000,0.5525000,0.5525000,-0.9900650,0.0168746,-5.8627775
0.5550000,0.5550000,0.5550000,-0.9892555,0.0167272,-5.7872349
0.5575000,0.5575000,0.5575000,-0.9872391,0.0164529,-5.7125241
0.5600000,0.5600000,0.5600000,-0.9840869,0.0160676,-5.6385988
0.5625000,0.5625000,0.5625000,-0.9798755,0.0155869,-5.5654213
0.5650000,0.5650000,0.5650000,-0.9746846,0.0150258,-5.4929605
0.5675000,0.5675000,0.5675000,-0.9685953,0.0143976,-5.4211905
0.5700000,0.5700000,0.5700000,-0.9616885,0.0137145,-5.3500890
0.5725000,0.5725000,0.5725000,-0.9540438,0.0129869,-5.2796367
0.5750000,0.5750000,0.5750000,-0.9457378,0.0122237,-5.2098167
0.5775000,0.5775000,0.5775000,-0.9368432,0.0114323,-5.1406159
0.5800000,0.5800000,0.5800000,-0.9274273,0.0106195,-5.0720248
0.5825000,0.5825000,0.5825000,-0.9175503,0.0097910,-5.0040389
0.5850000,0.5850000,0.5850000,-0.9072647,0.0089528,-4.9366587
0.5875000,0.5875000,0.5875000,-0.8966140,0.0081106,-4.8698897
0.5900000,0.5900000,0.5900000,-0.8856332,0.0072707,-4.8037423
0.5925000,0.5925000,0.5925000,-0.8743494,0.0064395,-4.7382308
0.5950000,0.5950000,0.5950000,-0.8627826,0.0056234,-4.6733733
0.5975000,0.5975000,0.5975000,-0.8509482,0.0048290,-4.6091899
0.6000000,0.6000000,0.6000000,-0.8388579,0.0040624,-4.5457023
0.6025000,0.6025000,0.6025000,-0.8265222,0.0033292,-4.4829328
0.6050000,0.6050000,0.6050000,-0.8139518,0.0026341,-4.4209036
0.6075000,0.6075000,0.6075000,-0.8011586,0.0019812,-4.3596358
0.6100000,0.6100000,0.6100000,-0.7881575,0.0013730,-4.2991493
0.6125000,0.6125000,0.6125000,-0.7749667,0.0008112,-4.2394618
0.6150000,0.6150000,0.6150000,-0.7616090,0.0002960,-4.1805893
0.6175000,0.6175000,0.6175000,-0.7481130,-0.0001738,-4.1225452
0.6200000,0.6200000,0.6200000,-0.7345131,-0.0006009,-4.0653405
0.6225000,0.6225000,0.6225000,-0.7208497,-0.0009890,-4.0089840
0.6250000,0.6250000,0.6250000,-0.7071678,-0.0013431,-3.9534819
0.6275000,0.6275000,0.6275000,-0.6935152,-0.0016687,-3.8988383
0.6300000,0.6300000,0.6300000,-0.6799391,-0.0019711,-3.8450550
0.6325000,0.6325000,0.6325000,-0.6664829,-0.0022552,-3.7921320
0.6350000,0.6350000,0.6350000,-0.6531839,-0.0025247,-3.7400673
0.6375000,0.6375000,0.6375000,-0.6400712,-0.0027821,-3.6888573
0.6400000,0.6400000,0.6400000,-0.6271646,-0.0030287,-3.6384968
0.6425000,0.6425000,0.6425000,-0.6144754,-0.0032646,-3.5889795
0.6450000,0.6450000,0.6450000,-0.6020071,-0.0034888,-3.5402978
0.6475000,0.6475000,0.6475000,-0.5897573,-0.0037000,-3.4924429
0.6500000,0.6500000,0.6500000,-0.5777196,-0.0038965,-3.4454052
0.6525000,0.6525000,0.6525000,-0.5658848,-0.0040765,-3.3991746
0.6550000,0.6550000,0.6550000,-0.5542432,-0.0042385,-3.3537401
0.6575000,0.6575000,0.6575000,-0.5427852,-0.0043814,-3.3090901
0.6600000,0.6600000,0.6600000,-0.5315025,-0.0045046,-3.2652127
0.6625000,0.6625000,0.6625000,-0.5203882,-0.0046077,-3.2220958
0.6650000,0.6650000,0.6650000,-0.5094373,-0.0046909,-3.1797266
0.6675000,0.6675000,0.6675000,-0.4986467,-0.0047547,-3.1380926
0.6700000,0.6700000,0.6700000,-0.4880148,-0.0047999,-3.0971807
0.6725000,0.6725000,0.6725000,-0.4775413,-0.0048277,-3.0569781
0.6750000,0.6750000,0.6750000,-0.4672273,-0.0048393,-3.0174718
0.6775000,0.6775000,0.6775000,-0.4570744,-0.0048360,-2.9786487
0.6800000,0.6800000,0.6800000,-0.4470850,-0.0048192,-2.9404959
0.6825000,0.6825000,0.6825000,-0.4372616,-0.0047903,-2.9030006
0.6850000,0.6850000,0.6850000,-0.4276067,-0.0047508,-2.8661499
0.6875000,0.6875000,0.6875000,-0.4181231,-0.0047020,-2.8299312
0.6900000,0.6900000,0.6900000,-0.4088129,-0.0046450,-2.7943319
0.6925000,0.6925000,0.6925000,-0.3996783,-0.0045812,-2.7593399
0.6950000,0.6950000,0.6950000,-0.3907207,-0.0045115,-2.7249427
0.6975000,0.6975000,0.6975000,-0.3819415,-0.0044370,-2.6911286
0.7000000,0.7000000,0.7000000,-0.3733414,-0.0043586,-2.6578857
0.7025000,0.7025000,0.7025000,-0.3649207,-0.0042770,-2.6252023
0.7050000,0.7050000,0.7050000,-0.3566793,-0.0041931,-2.5930672
0.7075000,0.7075000,0.7075000,-0.3486167,-0.0041073,-2.5614690
0.7100000,0.7100000,0.7100000,-0.3407321,-0.0040203,-2.5303970
0.7125000,0.7125000,0.7125000,-0.3330240,-0.0039325,-2.4998402
0.7150000,0.7150000,0.7150000,-0.3254911,-0.0038444,-2.4697883
0.7175000,0.7175000,0.7175000,-0.3181314,-0.0037564,-2.4402309
0.7200000,0.7200000,0.7200000,-0.3109428,-0.0036687,-2.4111579
0.7225000,0.7225000,0.7225000,-0.3039229,-0.0035816,-2.3825594
0.7250000,0.7250000,0.7250000,-0.2970692,-0.0034954,-2.3544257
0.7275000,0.7275000,0.7275000,-0.2903791,-0.0034101,-2.3267475
0.7300000,0.7300000,0.7300000,-0.2838497,-0.0033261,-2.2995155
0.7325000,0.7325000,0.7325000,-0.2774780,-0.0032433,-2.2727206
0.7350000,0.7350000,0.7350000,-0.2712611,-0.0031620,-2.2463540
0.7375000,0.7375000,0.7375000,-0.2651958,-0.0030821,-2.2204071
0.7400000,0.7400000,0.7400000,-0.2592789,-0.0030038,-2.1948714
0.7425000,0.7425000,0.7425000,-0.2535073,-0.0029271,-2.1697387
0.7450000,0.7450000,0.7450000,-0.2478778,-0.0028520,-2.1450010
0.7475000,0.7475000,0.7475000,-0.2423871,-0.0027786,-2.1206503
0.7500000,0.7500000,0.7500000,-0.2370320,-0.0027068,-2.0966791
0.7525000,0.7525000,0.7525000,-0.2318094,-0.0026367,-2.0730797
0.7550000,0.7550000,0.7550000,-0.2267161,-0.0025682,-2.0498449
0.7575000,0.7575000,0.7575000,-0.2217488,-0.0025014,-2.0269674
0.7600000,0.7600000,0.7600000,-0.2169046,-0.0024362,-2.0044403
0.7625000,0.7625000,0.7625000,-0.2121804,-0.0023726,-1.9822567
0.7650000,0.7650000,0.7650000,-0.2075730,-0.0023106,-1.9604100
0.7675000,0.7675000,0.7675000,-0.2030796,-0.0022502,-1.9388937
0.7700000,0.7700000,0.7700000,-0.1986973,-0.0021913,-1.9177013
0.7725000,0.7725000,0.7725000,-0.1944231,-0.0021339,-1.8968266
0.7750000,0.7750000,0.7750000,-0.1902542,-0.0020779,-1.8762635
0.7775000,0.7775000,0.7775000,-0.1861880,-0.0020234,-1.8560061
0.7800000,0.7800000,0.7800000,-0.1822218,-0.0019703,-1.8360486
0.7825000,0.7825000,0.7825000,-0.1783528,-0.0019186,-1.8163854
0.7850000,0.7850000,0.7850000,-0.1745785,-0.0018682,-1.7970107
0.7875000,0.7875000,0.7875000,-0.1708965,-0.0018190,-1.7779193
0.7900000,0.7900000,0.7900000,-0.1673043,-0.0017712,-1.7591059
0.7925000,0.7925000,0.7925000,-0.1637994,-0.0017245,-1.7405652
0.7950000,0.7950000,0.7950000,-0.1603796,-0.0016791,-1.7222921
0.7975000,0.7975000,0.7975000,-0.1570427,-0.0016348,-1.7042819
0.8000000,0.8000000,0.8000000,-0.1537863,-0.0015917,-1.6865295
