# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.1800000,0.1800000,0.1800000,inf,nan,330.9123846,3795.1063094,1913.5351359,15597.0115945,249.2559202,10615.9228690,3529.1278874,4061.0847314,4473.8185779,2829.4913089,77881.1153792
0.1825000,0.1825000,0.1825000,inf,nan,283.9917918,3239.3605311,1571.5639430,13410.4853277,212.8086409,9076.2557476,2974.7877529,3503.9333094,3818.6838900,2415.1477513,66584.2811887
0.1850000,0.1850000,0.1850000,inf,nan,243.9497428,2771.1365485,1271.2200962,11566.1353986,182.1627113,7777.9437278,2507.9909108,3034.2821861,3266.7232909,2066.0572169,57058.4279598
0.1875000,0.1875000,0.1875000,inf,nan,209.7059571,2375.6528505,1018.1382758,10006.3142212,156.3290512,6680.3202545,2113.9530833,2637.3526178,2800.5117619,1786.4565151,49005.1487018
0.1900000,0.1900000,0.1900000,inf,nan,191.9219505,2040.7892025,804.3288115,8683.7400586,134.5007912,5750.0313458,1795.8087922,2301.0269269,2405.7615000,1536.7944564,42179.6962587
0.1925000,0.1925000,0.1925000,1771.8362953,-3.7302482,166.0922625,1771.8362953,622.5365918,7559.5212233,116.0168662,4959.6417429,1513.0723861,2015.3409061,2070.7235251,1324.8966032,36380.7551127
0.1950000,0.1950000,0.1950000,1530.0591185,-3.7088918,143.7644509,1530.0591185,466.4977520,6601.5771719,100.3328316,4286.5210600,1272.7437187,1787.3354925,1800.9663171,1144.6266384,31442.2678546
0.1975000,0.1975000,0.1975000,1323.9028288,-3.6881952,124.4852221,1323.9028288,333.1229792,5783.3728737,86.9980502,3711.9509378,1067.7258810,1579.7016250,1557.9562889,990.8780506,27226.8834117
0.2000000,0.2000000,0.2000000,1147.6525289,-3.6714785,107.8532346,1147.6525289,219.7175318,5082.9012356,75.6379139,3220.4071924,891.6062079,1402.0602215,1350.2499768,859.3508514,23620.6894164
0.2025000,0.2025000,0.2025000,996.4309798,-3.6649349,93.5110152,996.4309798,123.3275068,4481.8625562,65.9399483,2798.9809621,739.8586342,1249.7166141,1172.1144445,746.4400843,20528.9645469
0.2050000,0.2050000,0.2050000,866.1928601,-3.6671013,81.1420812,866.1928601,41.2935654,3965.0009525,57.6429123,2435.0202122,609.6005015,1118.7459046,1018.6773414,649.2480810,17859.3180536
0.2075000,0.2075000,0.2075000,753.8445588,-3.6660905,70.4689919,753.8445588,-28.6957874,3519.5662189,50.5281827,2117.5601876,497.9677741,1005.8670970,886.2219410,565.4988088,15530.3984733
0.2100000,0.2100000,0.2100000,656.9494593,-3.6567329,61.2509166,656.9494593,-88.6347063,3131.8802535,44.4128171,1844.4297614,402.2425105,908.3514085,771.9418500,493.3118578,13526.7237084
0.2125000,0.2125000,0.2125000,573.3809489,-3.6412289,53.2804228,573.3809489,-140.1414667,2794.4914829,39.1437964,1624.2453638,320.0587722,823.9365245,673.3796785,431.0568224,11799.6120210
0.2150000,0.2150000,0.2150000,501.2510279,-3.6223365,46.3797446,501.2510279,-184.4265402,2502.6718600,34.5931136,1420.9336682,249.4031008,750.7354277,588.3185928,377.3130687,10308.1602572
0.2175000,0.2175000,0.2175000,438.9173492,-3.6017152,40.3969161,438.9173492,-222.4373209,2249.7660433,30.6535548,1245.0454134,188.5660516,687.1555295,514.8199417,330.8550443,9017.9239048
0.2200000,0.2200000,0.2200000,384.9712781,-3.5802693,35.2020948,384.9712781,-255.0154807,2030.1572292,27.2351382,1092.6204631,136.0936946,631.8404628,451.2203759,290.6339723,7899.8337859
0.2225000,0.2225000,0.2225000,338.2117329,-3.5585257,30.6842931,338.2117329,-282.9825431,1854.0422686,24.2621879,960.3085022,90.7511325,583.6306633,396.1025455,255.7563328,6929.3047755
0.2250000,0.2250000,0.2250000,297.6165704,-3.5368202,26.7486131,297.6165704,-307.6084407,1687.8031974,21.6709576,845.2698219,51.4981802,541.5342908,348.2606735,225.4625977,6085.5007420
0.2275000,0.2275000,0.2275000,262.3163704,-3.5153652,23.3139463,262.3163704,-331.1003037,1542.3616807,19.4076744,745.0926639,17.4686772,504.7033756,306.6688098,199.1077674,5350.7269002
0.2300000,0.2300000,0.2300000,231.5716972,-3.4942688,20.3110248,231.5716972,-352.8789835,1415.1106705,17.4268714,657.7245215,-12.0560015,472.4132244,270.4535932,176.1440339,4709.9263332
0.2325000,0.2325000,0.2325000,204.7535463,-3.4735468,17.6807167,204.7535463,-371.7555010,1303.5690895,15.6899383,581.4149316,-37.6786817,444.0444640,238.8712905,156.1055471,4150.2618833
0.2350000,0.2350000,0.2350000,181.3264253,-3.4531476,15.3725237,181.3264253,-387.9530920,1205.6170981,14.1638795,514.6677610,-59.9147529,419.0674488,211.2883122,138.5952477,3660.7681701
0.2375000,0.2375000,0.2375000,160.8336822,-3.4329870,13.3432795,160.8336822,-402.1985090,1119.4398717,12.8202985,456.2014691,-79.2117016,397.0288070,187.1644449,123.2737204,3232.0613465
0.2400000,0.2400000,0.2400000,142.8849023,-3.4129820,11.5560477,142.8849023,-415.1607486,1043.4805036,11.6346106,404.9161647,-95.9621563,377.5398891,166.0383223,109.8499331,2856.0965003
0.2425000,0.2425000,0.2425000,127.1452738,-3.3930724,9.9791876,127.1452738,-426.8052861,976.4004712,10.5854450,359.8664328,-110.5190163,360.2668823,147.5149233,98.0736157,2525.9644579
0.2450000,0.2450000,0.2450000,113.3267686,-3.3732283,8.5855466,113.3267686,-436.8807244,917.0464217,9.6541773,320.2389080,-123.2246364,344.9223760,131.2549966,87.7289796,2235.7212453
0.2475000,0.2475000,0.2475000,101.1808912,-3.3534464,7.3517560,101.1808912,-445.4073651,864.4223235,8.8245380,285.3335518,-134.4506690,331.2581926,116.9662708,78.6295004,1980.2446732
0.2500000,0.2500000,0.2500000,90.4927038,-3.3337442,6.2576301,90.4927038,-452.5903931,817.6662727,8.0822767,254.5476850,-144.5777717,319.0593368,104.3962235,70.6135647,1770.3708556
0.2525000,0.2525000,0.2525000,81.0758520,-3.3141550,5.2856708,81.0758520,-458.7284763,776.0314174,7.4148953,227.3620686,-153.8406020,308.1389571,93.3261241,63.5408610,1571.7627518
0.2550000,0.2550000,0.2550000,72.7683901,-3.2947279,4.4206675,72.7683901,-464.2783316,738.8704936,6.8114764,203.3286545,-162.2504098,298.3342381,83.5660752,57.2894397,1396.3680398
0.2575000,0.2575000,0.2575000,65.4292871,-3.2755281,3.6493678,65.4292871,-469.8435478,705.6233202,6.2626139,182.0598833,-169.7615260,289.5031444,74.9508413,51.7533638,1241.3165293
0.2600000,0.2600000,0.2600000,58.9355502,-3.2566354,2.9601949,58.9355502,-475.4831095,675.8063636,5.7604145,163.2195116,-176.4057793,281.5218974,67.3363359,46.8408230,1104.1153597
0.2625000,0.2625000,0.2625000,53.1799101,-3.2381367,2.3430011,53.1799101,-481.0131084,649.0033882,5.2985051,146.5149141,-182.2830075,274.2830033,60.5967010,42.4725474,982.5960015
0.2650000,0.2650000,0.2650000,48.0689791,-3.2201140,1.7888562,48.0689791,-487.6888640,624.8564927,4.8719753,131.6907208,-187.5065611,267.6935899,54.6219372,38.5803574,874.8689546
0.2675000,0.2675000,0.2675000,43.5217417,-3.2026300,1.2898783,43.5217417,-495.7972187,603.0574008,4.4772128,118.5235743,-192.1642949,261.6738045,49.3160191,35.1057479,779.2850474
0.2700000,0.2700000,0.2700000,39.4682172,-3.1857176,0.8391083,39.4682172,-503.4493724,583.3393531,4.1116376,106.8177760,-196.3121672,256.1551128,44.5953776,31.9984930,694.4025652
0.2725000,0.2725000,0.2725000,35.8481664,-3.1693760,0.4304216,35.8481664,-510.0072271,565.4700403,3.7733797,96.4016082,-199.9909302,251.0784925,40.3875984,29.2153272,618.9595896
0.2750000,0.2750000,0.2750000,32.6097913,-3.1535750,0.0584629,32.6097913,-515.4151639,549.2457731,3.4609623,87.1241707,-203.2456287,246.3926600,36.6301933,26.7187799,551.8508591
0.2775000,0.2775000,0.2775000,29.7084595,-3.1382637,-0.2814071,29.7084595,-519.7271721,534.4867803,3.1730452,78.8526312,-206.1372523,242.0525459,33.2693614,24.4762134,492.1082665
0.2800000,0.2800000,0.2800000,27.1055282,-3.1233788,-0.5931629,27.1055282,-523.0311760,521.0333549,2.9082567,71.4698418,-208.7425931,238.0181979,30.2587456,22.4590650,438.8840040
0.2825000,0.2825000,0.2825000,24.7673383,-3.1088513,-0.8801644,24.7673383,-525.4271281,508.7425701,2.6651176,64.8723129,-211.1419455,234.2541776,27.5582464,20.6422541,391.4355226
0.2850000,0.2850000,0.2850000,22.6644070,-3.0946091,-1.1452118,22.6644070,-527.0154173,497.4854168,2.4420360,58.9685418,-213.4132363,230.7293728,25.1329732,19.0037015,349.1118661
0.2875000,0.2875000,0.2875000,20.7708009,-3.0805782,-1.3906165,20.7708009,-527.8909478,487.1444113,2.2373442,53.6776762,-215.6657143,227.4170137,22.9523821,17.5239173,311.3413303
0.2900000,0.2900000,0.2900000,19.0636430,-3.0666856,-1.6182969,19.0636430,-528.1406509,477.6119345,2.0493485,48.9284526,-218.0845083,224.2946297,20.9896012,16.1856381,277.6205852
0.2925000,0.2925000,0.2925000,17.5227043,-3.0528635,-1.8298952,17.5227043,-527.8428202,468.7896698,1.8763752,44.6583158,-220.8177723,221.3437342,19.2209088,14.9735121,247.5053414
0.2950000,0.2950000,0.2950000,16.1300482,-3.0390559,-2.0268985,16.1300482,-527.0673183,460.5893449,1.7168093,40.8126140,-223.7449012,218.5491701,17.6253126,13.8738402,220.6024876
0.2975000,0.2975000,0.2975000,14.8697176,-3.0252239,-2.2107319,14.8697176,-525.8761593,452.9344094,1.5691249,37.3437865,-226.5741857,215.8982077,16.1841915,12.8743691,196.5635050
0.3000000,0.3000000,0.3000000,13.7274682,-3.0113495,-2.3828008,13.7274682,-524.3242225,445.7615307,1.4319135,34.2105144,-229.0960626,213.3795785,14.8809799,11.9641244,175.0789247
0.3025000,0.3025000,0.3025000,12.6905516,-2.9974347,-2.5444703,12.6905516,-522.4599844,439.0205494,1.3039074,31.3768515,-231.2268331,210.9826207,13.7008931,11.1332645,155.8736214
0.3050000,0.3050000,0.3050000,11.7475407,-2.9834988,-2.6969936,11.7475407,-520.3262190,432.6722941,1.1840011,28.8113921,-232.9545779,208.6966433,12.6306998,10.3729420,138.7027780
0.3075000,0.3075000,0.3075000,10.8881815,-2.9695745,-2.8414179,10.8881815,-517.9606516,426.6849262,1.0712691,26.4865281,-234.2983624,206.5105438,11.6585373,9.6751753,123.3484003
0.3100000,0.3100000,0.3100000,10.1032562,-2.9557039,-2.9785036,10.1032562,-515.3965758,421.0301828,0.9649803,24.3778294,-235.2888584,204.4126844,10.7737590,9.0327447,109.6162843
0.3125000,0.3125000,0.3125000,9.3844523,-2.9419358,-3.1086888,9.3844523,-512.6634540,415.6806473,0.8645970,22.4635531,-235.9599837,202.3910471,9.9667962,8.4391289,97.3333580
0.3150000,0.3150000,0.3150000,8.7242459,-2.9283224,-3.2321112,8.7242459,-509.7875206,410.6085051,0.7697545,20.7242593,-236.3453169,200.4337011,9.2290258,7.8884897,86.3453244
0.3175000,0.3175000,0.3175000,8.1158189,-2.9149149,-3.3486795,8.1158189,-506.7924087,405.7857306,0.6802152,19.1425087,-236.4765762,198.5295905,8.5526474,7.3756951,76.5145495
0.3200000,0.3200000,0.3200000,7.5530215,-2.9017561,-3.4581706,7.5530215,-503.6999579,401.1853612,0.5958060,17.7026142,-236.3830355,196.6695326,7.9305851,6.8963538,67.7181527
0.3225000,0.3225000,0.3225000,7.0303806,-2.8888732,-3.5603233,7.0303806,-500.5319017,396.7832849,0.5163519,16.3904326,-236.0913918,194.8471568,7.3564318,6.4468321,59.8462826
0.3250000,0.3250000,0.3250000,6.5431355,-2.8762698,-3.6549077,6.5431355,-497.3141703,392.5597755,0.4416220,15.1931896,-235.6258611,193.0594253,6.8244413,6.0242256,52.8005807
0.3275000,0.3275000,0.3275000,6.0872712,-2.8639228,-3.7417613,6.0872712,-494.0859585,388.5000486,0.3712981,14.0993363,-235.0083872,191.3064673,6.3295584,5.6262811,46.4928516
0.3300000,0.3300000,0.3300000,5.6595202,-2.8517836,-3.8207957,5.6595202,-490.9120475,384.5935342,0.3049763,13.0984298,-234.2588902,189.5907242,5.8674593,5.2512745,40.8439561
0.3325000,0.3325000,0.3325000,5.2573141,-2.8397849,-3.8919874,5.2573141,-487.8843182,380.8321636,0.2421997,12.1810315,-233.3955125,187.9156593,5.4345724,4.8978685,35.7829260
0.3350000,0.3350000,0.3350000,4.8786846,-2.8278511,-3.9553703,4.8786846,-485.0861490,377.2083416,0.1825146,11.3386110,-232.4348639,186.2844022,5.0280542,4.5649739,31.2462697
0.3375000,0.3375000,0.3375000,4.5221308,-2.8159095,-4.0110401,4.5221308,-482.5281377,373.7132371,0.1255363,10.5634508,-231.3923313,184.6986375,4.6457116,4.2516323,27.1774119
0.3400000,0.3400000,0.3400000,4.1864757,-2.8038993,-4.0591692,4.1864757,-480.1319231,370.3357449,0.0710052,9.8485539,-230.2825538,183.1579280,4.2858813,3.9569302,23.5261903
0.3425000,0.3425000,0.3425000,3.8707343,-2.7917778,-4.1000226,3.8707343,-477.7879980,367.0622396,0.0188227,9.1875626,-229.1201057,181.6595562,3.9472873,3.6799435,20.2483433
0.3450000,0.3450000,0.3450000,3.5740091,-2.7795219,-4.1339619,3.5740091,-475.4115957,363.8771578,-0.0309433,8.5747000,-227.9202428,180.1988920,3.6289007,3.4197102,17.3049448
0.3475000,0.3475000,0.3475000,3.2954160,-2.7671271,-4.1614312,3.2954160,-472.9558617,360.7644232,-0.0780835,8.0047407,-226.6993097,178.7702149,3.3298204,3.1752231,14.6617846
0.3500000,0.3500000,0.3500000,3.0340410,-2.7546042,-4.1829251,3.0340410,-470.4025346,357.7095861,-0.1223004,7.4730079,-225.4742467,177.3678005,3.0491850,2.9454383,12.2887216
0.3525000,0.3525000,0.3525000,2.7889214,-2.7419759,-4.1989520,2.7889214,-467.7513086,354.7021887,-0.1632780,6.9753861,-224.2608075,175.9869783,2.7861153,2.7292965,10.1590576
0.3550000,0.3550000,0.3550000,2.5590465,-2.7292728,-4.2100073,2.5590465,-465.0149976,351.7375008,-0.2007527,6.5083326,-223.0707748,174.6248395,2.5396851,2.5257511,8.2489719
0.3575000,0.3575000,0.3575000,2.3433726,-2.7165302,-4.2165657,2.3433726,-462.2219893,348.8168036,-0.2345727,6.0688719,-221.9093681,173.2803960,2.3089135,2.3338028,6.5370477
0.3600000,0.3600000,0.3600000,2.1408495,-2.7037838,-4.2190926,2.1408495,-459.4251911,345.9460186,-0.2647394,5.6545630,-220.7743617,171.9542114,2.0927752,2.1525342,5.0038969
0.3625000,0.3625000,0.3625000,1.9504541,-2.6910669,-4.2180637,1.9504541,-456.7080954,343.1332569,-0.2914305,5.2634385,-219.6575614,170.6477087,1.8902229,1.9811390,3.6318771
0.3650000,0.3650000,0.3650000,1.7712274,-2.6784070,-4.2139766,1.7712274,-454.1618164,340.3861921,-0.3150018,4.8939217,-218.5478766,169.3624135,1.7002203,1.8189405,2.4048825
