# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.9225000,0.9225000,0.9225000,-0.0335041,1.0788016,-0.5986049,-0.0335041,146.1890668,-157.7805894,-0.0079869,-0.0572177,73.7950242,-77.4702684,-0.0394974,-0.0249781,-0.4240296,-0.0542369,141.8836096,-164.4214553,-0.0128307,-0.0926485,70.9237432,-82.2043299,-0.0639366,-0.0404370,-0.6849888
0.9250000,0.9250000,0.9250000,-0.0329313,1.0759140,-0.5935562,-0.0329313,145.8194090,-157.3012008,-0.0078503,-0.0562413,73.6061067,-77.2409800,-0.0388222,-0.0245511,-0.4167661,-0.0531814,141.5319126,-163.9235914,-0.0125802,-0.0908547,70.7481890,-81.9555093,-0.0626923,-0.0396501,-0.6717247
0.9275000,0.9275000,0.9275000,-0.0323700,1.0730417,-0.5885647,-0.0323700,145.4515316,-156.8248461,-0.0077164,-0.0552844,73.4181072,-77.0131481,-0.0381604,-0.0241327,-0.4096487,-0.0521500,141.1818956,-163.4287975,-0.0123356,-0.0891014,70.5734692,-81.7082216,-0.0614764,-0.0388811,-0.6587607
0.9300000,0.9300000,0.9300000,-0.0318200,1.0701847,-0.5836297,-0.0318200,145.0854230,-156.3514961,-0.0075853,-0.0543466,73.2310194,-76.7867581,-0.0375119,-0.0237226,-0.4026740,-0.0511420,140.8335471,-162.9370448,-0.0120965,-0.0873877,70.3995782,-81.4624523,-0.0602882,-0.0381296,-0.6460890
0.9325000,0.9325000,0.9325000,-0.0312808,1.0673428,-0.5787503,-0.0312808,144.7210715,-155.8811223,-0.0074567,-0.0534273,73.0448371,-76.5617957,-0.0368763,-0.0233207,-0.3958387,-0.0501570,140.4868558,-162.4483050,-0.0118629,-0.0857124,70.2265106,-81.2181873,-0.0591270,-0.0373952,-0.6337023
0.9350000,0.9350000,0.9350000,-0.0307524,1.0645158,-0.5739258,-0.0307524,144.3584656,-155.4136964,-0.0073308,-0.0525262,72.8595544,-76.3382469,-0.0362533,-0.0229268,-0.3891396,-0.0491943,140.1418104,-161.9625498,-0.0116347,-0.0840748,70.0542606,-80.9754125,-0.0579921,-0.0366774,-0.6215933
0.9375000,0.9375000,0.9375000,-0.0302344,1.0617037,-0.5691553,-0.0302344,143.9975938,-154.9491906,-0.0072073,-0.0516429,72.6751651,-76.1160976,-0.0356426,-0.0225406,-0.3825736,-0.0482533,139.7983997,-161.4797516,-0.0114116,-0.0824737,69.8828229,-80.7341141,-0.0568828,-0.0359758,-0.6097548
0.9400000,0.9400000,0.9400000,-0.0297267,1.0589064,-0.5644381,-0.0297267,143.6384447,-154.4875774,-0.0070862,-0.0507769,72.4916633,-75.8953341,-0.0350440,-0.0221621,-0.3761377,-0.0473334,139.4566128,-160.9998829,-0.0111936,-0.0809083,69.7121921,-80.4942785,-0.0557984,-0.0352900,-0.5981801
0.9425000,0.9425000,0.9425000,-0.0292289,1.0561237,-0.5597735,-0.0292289,143.2810072,-154.0288294,-0.0069676,-0.0499279,72.3090429,-75.6759428,-0.0344572,-0.0217910,-0.3698288,-0.0464341,139.1164386,-160.5229167,-0.0109805,-0.0793776,69.5423628,-80.2558923,-0.0547383,-0.0346196,-0.5868625
0.9450000,0.9450000,0.9450000,-0.0287409,1.0533555,-0.5551606,-0.0287409,142.9252698,-153.5729199,-0.0068512,-0.0490955,72.1272981,-75.4579104,-0.0338819,-0.0214272,-0.3636441,-0.0455550,138.7778662,-160.0488262,-0.0107722,-0.0778809,69.3733295,-80.0189420,-0.0537019,-0.0339641,-0.5757955
0.9475000,0.9475000,0.9475000,-0.0282624,1.0506018,-0.5505989,-0.0282624,142.5712216,-153.1198224,-0.0067372,-0.0482794,71.9464231,-75.2412234,-0.0333178,-0.0210706,-0.3575808,-0.0446953,138.4408848,-159.5775852,-0.0105686,-0.0764171,69.2050872,-79.7834145,-0.0526886,-0.0333232,-0.5649727
0.9500000,0.9500000,0.9500000,-0.0277933,1.0478623,-0.5460875,-0.0277933,142.2188515,-152.6695106,-0.0066253,-0.0474790,71.7664120,-75.0258690,-0.0327647,-0.0207208,-0.3516362,-0.0438548,138.1054838,-159.1091675,-0.0103695,-0.0749856,69.0376304,-79.5492969,-0.0516978,-0.0326965,-0.5543882
0.9525000,0.9525000,0.9525000,-0.0273333,1.0451371,-0.5416258,-0.0273333,141.8681484,-152.2219588,-0.0065157,-0.0466943,71.5872590,-74.8118342,-0.0322224,-0.0203779,-0.3458075,-0.0430329,137.7716525,-158.6435474,-0.0101748,-0.0735855,68.8709539,-79.3165763,-0.0507288,-0.0320837,-0.5440358
0.9550000,0.9550000,0.9550000,-0.0268822,1.0424259,-0.5372130,-0.0268822,141.5191015,-151.7771414,-0.0064082,-0.0459246,71.4089584,-74.5991063,-0.0316906,-0.0200416,-0.3400922,-0.0422290,137.4393804,-158.1806995,-0.0099845,-0.0722160,68.7050527,-79.0852400,-0.0497812,-0.0314844,-0.5339099
0.9575000,0.9575000,0.9575000,-0.0264398,1.0397286,-0.5328486,-0.0264398,141.1716999,-151.3350333,-0.0063027,-0.0451698,71.2315046,-74.3876727,-0.0311690,-0.0197118,-0.3344877,-0.0414429,137.1086571,-157.7205987,-0.0097983,-0.0708763,68.5399216,-78.8552756,-0.0488545,-0.0308983,-0.5240048
0.9600000,0.9600000,0.9600000,-0.0260059,1.0370453,-0.5285318,-0.0260059,140.8259329,-150.8956094,-0.0061993,-0.0444296,71.0548919,-74.1775210,-0.0306576,-0.0193884,-0.3289915,-0.0406739,136.7794721,-157.2632201,-0.0096163,-0.0695658,68.3755554,-78.6266706,-0.0479480,-0.0303250,-0.5143150
0.9625000,0.9625000,0.9625000,-0.0255804,1.0343757,-0.5242620,-0.0255804,140.4817898,-150.4588452,-0.0060979,-0.0437035,70.8791146,-73.9686390,-0.0301559,-0.0190712,-0.3236013,-0.0399218,136.4518154,-156.8085393,-0.0094383,-0.0682837,68.2119492,-78.3994129,-0.0470613,-0.0297642,-0.5048352
0.9650000,0.9650000,0.9650000,-0.0251631,1.0317197,-0.5200386,-0.0251631,140.1392600,-150.0247164,-0.0059984,-0.0429913,70.7041673,-73.7610147,-0.0296639,-0.0187600,-0.3183147,-0.0391860,136.1256766,-156.3565321,-0.0092641,-0.0670292,68.0490980,-78.1734904,-0.0461939,-0.0292156,-0.4955602
0.9675000,0.9675000,0.9675000,-0.0247537,1.0290773,-0.5158608,-0.0247537,139.7983330,-149.5931991,-0.0059009,-0.0422926,70.5300445,-73.5546360,-0.0291813,-0.0184548,-0.3131295,-0.0384661,135.8010457,-155.9071746,-0.0090938,-0.0658018,67.8869967,-77.9488912,-0.0453453,-0.0286789,-0.4864849
0.9700000,0.9700000,0.9700000,-0.0243521,1.0264484,-0.5117281,-0.0243521,139.4589983,-149.1642695,-0.0058052,-0.0416073,70.3567407,-73.3494912,-0.0287079,-0.0181555,-0.3080433,-0.0377618,135.4779126,-155.4604431,-0.0089271,-0.0646007,67.7256405,-77.7256034,-0.0445151,-0.0281538,-0.4776045
0.9725000,0.9725000,0.9725000,-0.0239582,1.0238327,-0.5076399,-0.0239582,139.1212456,-148.7379042,-0.0057113,-0.0409349,70.1842504,-73.1455687,-0.0282434,-0.0178618,-0.3030540,-0.0370727,135.1562676,-155.0163143,-0.0087641,-0.0634254,67.5650245,-77.5036155,-0.0437028,-0.0276400,-0.4689143
0.9750000,0.9750000,0.9750000,-0.0235717,1.0212303,-0.5035956,-0.0235717,138.7850645,-148.3140800,-0.0056192,-0.0402752,70.0125683,-72.9428570,-0.0277878,-0.0175736,-0.2981595,-0.0363984,134.8361006,-154.5747652,-0.0086045,-0.0622751,67.4051438,-77.2829160,-0.0429079,-0.0271373,-0.4604095
0.9775000,0.9775000,0.9775000,-0.0231925,1.0186411,-0.4995945,-0.0231925,138.4504449,-147.8927742,-0.0055288,-0.0396280,69.8416890,-72.7413447,-0.0273408,-0.0172910,-0.2933576,-0.0357385,134.5174019,-154.1357729,-0.0084485,-0.0611493,67.2459936,-77.0634934,-0.0421300,-0.0266453,-0.4520856
0.9800000,0.9800000,0.9800000,-0.0228204,1.0160649,-0.4956362,-0.0228204,138.1173765,-147.4739641,-0.0054401,-0.0389929,69.6716073,-72.5410208,-0.0269022,-0.0170136,-0.2886465,-0.0350927,134.2001619,-153.6993150,-0.0082957,-0.0600473,67.0875692,-76.8453367,-0.0413687,-0.0261638,-0.4439383
0.9825000,0.9825000,0.9825000,-0.0224554,1.0135016,-0.4917199,-0.0224554,137.7858493,-147.0576275,-0.0053532,-0.0383698,69.5023179,-72.3418740,-0.0264718,-0.0167414,-0.2840241,-0.0344607,133.8843710,-153.2653692,-0.0081462,-0.0589687,66.9298658,-76.6284346,-0.0406236,-0.0256926,-0.4359633
0.9850000,0.9850000,0.9850000,-0.0220972,1.0109512,-0.4878452,-0.0220972,137.4558534,-146.6437422,-0.0052678,-0.0377583,69.3338156,-72.1438936,-0.0260495,-0.0164744,-0.2794885,-0.0338420,133.5700196,-152.8339135,-0.0079999,-0.0579128,66.7728787,-76.4127762,-0.0398943,-0.0252314,-0.4281564
