# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.8675000,0.8675000,0.8675000,-0.0195460,1.1521572,-0.3157149,-0.0195460,155.7960362,-165.2710758,-0.0048664,-0.0331148,78.6122975,-81.5927268,-0.0230417,-0.0145726,-0.2449776,-0.0251271,151.6895552,-170.9039252,-0.0063305,-0.0423101,75.8297464,-85.4488352,-0.0296208,-0.0187338,-0.3128750
0.8700000,0.8700000,0.8700000,-0.0192058,1.1488502,-0.3129625,-0.0192058,155.3710297,-164.7609612,-0.0047816,-0.0325396,78.3959240,-81.3451363,-0.0226407,-0.0143189,-0.2407193,-0.0246682,151.2732159,-170.3780481,-0.0062144,-0.0415406,75.6218510,-85.1859510,-0.0290798,-0.0183917,-0.3071841
0.8725000,0.8725000,0.8725000,-0.0188725,1.1455621,-0.3102420,-0.0188725,154.9483240,-164.2540384,-0.0046985,-0.0319760,78.1807110,-81.0990963,-0.0222478,-0.0140704,-0.2365470,-0.0242190,150.8591710,-169.8554016,-0.0061007,-0.0407873,75.4150971,-84.9246810,-0.0285503,-0.0180568,-0.3016131
0.8750000,0.8750000,0.8750000,-0.0185459,1.1422927,-0.3075531,-0.0185459,154.5279004,-163.7502777,-0.0046172,-0.0314238,77.9666492,-80.8545919,-0.0218628,-0.0138270,-0.2324586,-0.0237793,150.4474018,-169.3359560,-0.0059895,-0.0400498,75.2094753,-84.6650103,-0.0280320,-0.0177290,-0.2961591
0.8775000,0.8775000,0.8775000,-0.0182259,1.1390419,-0.3048953,-0.0182259,154.1097401,-163.2496497,-0.0045374,-0.0308826,77.7537295,-80.6116086,-0.0214856,-0.0135884,-0.2284524,-0.0233489,150.0378892,-168.8196819,-0.0058806,-0.0393278,75.0049763,-84.4069244,-0.0275246,-0.0174081,-0.2908193
0.8800000,0.8800000,0.8800000,-0.0179123,1.1358096,-0.3022681,-0.0179123,153.6938246,-162.7521257,-0.0044593,-0.0303522,77.5419428,-80.3701319,-0.0211159,-0.0133546,-0.2245264,-0.0229276,149.6306148,-168.3065504,-0.0057741,-0.0386208,74.8015909,-84.1504088,-0.0270279,-0.0170940,-0.2855910
0.8825000,0.8825000,0.8825000,-0.0176050,1.1325955,-0.2996710,-0.0176050,153.2801357,-162.2576768,-0.0043827,-0.0298324,77.3312802,-80.1301477,-0.0207536,-0.0131255,-0.2206787,-0.0225151,149.2255600,-167.7965327,-0.0056698,-0.0379286,74.5993102,-83.8954491,-0.0265417,-0.0167864,-0.2804717
0.8850000,0.8850000,0.8850000,-0.0173038,1.1293996,-0.2971037,-0.0173038,152.8686554,-161.7662750,-0.0043077,-0.0293230,77.1217329,-79.8916419,-0.0203986,-0.0129010,-0.2169077,-0.0221112,148.8227069,-167.2896007,-0.0055677,-0.0372507,74.3981250,-83.6420312,-0.0260656,-0.0164853,-0.2754587
0.8875000,0.8875000,0.8875000,-0.0170087,1.1262216,-0.2945658,-0.0170087,152.4593658,-161.2778923,-0.0042341,-0.0288236,76.9132921,-79.6546006,-0.0200506,-0.0126809,-0.2132116,-0.0217157,148.4220372,-166.7857263,-0.0054677,-0.0365869,74.1980266,-83.3901413,-0.0255994,-0.0161905,-0.2705496
0.8900000,0.8900000,0.8900000,-0.0167193,1.1230614,-0.2920567,-0.0167193,152.0522491,-160.7925011,-0.0041620,-0.0283342,76.7059492,-79.4190101,-0.0197095,-0.0124652,-0.2095886,-0.0213285,148.0235334,-166.2848820,-0.0053698,-0.0359368,73.9990062,-83.1397654,-0.0251429,-0.0159017,-0.2657419
0.8925000,0.8925000,0.8925000,-0.0164357,1.1199190,-0.2895761,-0.0164357,151.6472879,-160.3100742,-0.0040914,-0.0278544,76.4996955,-79.1848568,-0.0193752,-0.0122538,-0.2060373,-0.0209493,147.6271776,-165.7870404,-0.0052740,-0.0353001,73.8010551,-82.8908900,-0.0246958,-0.0156190,-0.2610332
0.8950000,0.8950000,0.8950000,-0.0161578,1.1167940,-0.2871236,-0.0161578,151.2444650,-159.8305848,-0.0040221,-0.0273840,76.2945227,-78.9521275,-0.0190475,-0.0120465,-0.2025558,-0.0205779,147.2329526,-165.2921747,-0.0051801,-0.0346764,73.6041646,-82.6435017,-0.0242580,-0.0153421,-0.2564213
0.8975000,0.8975000,0.8975000,-0.0158852,1.1136864,-0.2846988,-0.0158852,150.8437631,-159.3540061,-0.0039543,-0.0269228,76.0904223,-78.7208089,-0.0187262,-0.0118433,-0.1991428,-0.0202142,146.8408411,-164.8002582,-0.0050882,-0.0340656,73.4083263,-82.3975871,-0.0238293,-0.0150710,-0.2519038
0.9000000,0.9000000,0.9000000,-0.0156181,1.1105960,-0.2823013,-0.0156181,150.4451654,-158.8803119,-0.0038877,-0.0264707,75.8873860,-78.4908879,-0.0184113,-0.0116441,-0.1957965,-0.0198579,146.4508261,-164.3112646,-0.0049983,-0.0334672,73.2135318,-82.1531331,-0.0234093,-0.0148053,-0.2474787
0.9025000,0.9025000,0.9025000,-0.0153561,1.1075227,-0.2799307,-0.0153561,150.0486552,-158.4094763,-0.0038225,-0.0260274,75.6854056,-78.2623518,-0.0181025,-0.0114488,-0.1925157,-0.0195090,146.0628907,-163.8251679,-0.0049101,-0.0328810,73.0197728,-81.9101266,-0.0229979,-0.0145452,-0.2431438
0.9050000,0.9050000,0.9050000,-0.0150993,1.1044664,-0.2775866,-0.0150993,149.6542158,-157.9414736,-0.0037585,-0.0255927,75.4844731,-78.0351876,-0.0177997,-0.0112574,-0.1892987,-0.0191672,145.6770182,-163.3419423,-0.0048238,-0.0323067,72.8270409,-81.6685550,-0.0225950,-0.0142903,-0.2388969
