# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0350000,0.0350000,0.0350000,inf,nan,4524490.0593582,2731720.8971437,1739939.1116798,11177943.7871500,161472.4590908,7860617.9558318,2731547.7707571,2731894.0235302,3220258.5916805,2036670.3608873,57641305.9618606,2731720.8971437,1739939.1116798,11177943.7871500,161472.4590908,7860617.9558318,2731547.7707571,2731894.0235302,3220258.5916805,2036670.3608873,57641305.9618606
0.0375000,0.0375000,0.0375000,inf,nan,3941367.7663328,2499181.5578258,1591828.5333546,10225893.4740134,147729.2283102,7191120.9685906,2499010.5127879,2499352.6028637,2946132.1953400,1863297.6050453,52731980.6110645,2499181.5578258,1591828.5333546,10225893.4740134,147729.2283102,7191120.9685906,2499010.5127879,2499352.6028637,2946132.1953400,1863297.6050453,52731980.6110645
0.0400000,0.0400000,0.0400000,inf,nan,3839965.7095036,2279820.5330273,1452286.6952190,9325105.0115708,134877.1333888,6557787.4606388,2279648.9848476,2279992.0812070,2687540.9075090,1699750.1145209,48088033.2927097,2279820.5330273,1452286.6952190,9325105.0115708,134877.1333888,6557787.4606388,2279648.9848476,2279992.0812070,2687540.9075090,1699750.1145209,48088033.2927097
0.0425000,0.0425000,0.0425000,inf,nan,2877289.5733642,2117884.2469833,1349430.7291919,8657788.7651805,125487.3446445,6088708.0908453,2117712.3585460,2118056.1354205,2496644.1299563,1579016.3915103,44648656.7237582,2117884.2469833,1349430.7291919,8657788.7651805,125487.3446445,6088708.0908453,2117712.3585460,2118056.1354205,2496644.1299563,1579016.3915103,44648656.7237582
0.0450000,0.0450000,0.0450000,inf,nan,2435624.2540250,1909089.1933935,1215659.6992303,7814956.8035706,112656.1261054,5495494.8401082,1908926.6175369,1909251.7692501,2250508.4189743,1423346.4994687,40297831.5233251,1909089.1933935,1215659.6992303,7814956.8035706,112656.1261054,5495494.8401082,1908926.6175369,1909251.7692501,2250508.4189743,1423346.4994687,40297831.5233251
0.0475000,0.0475000,0.0475000,inf,nan,2392658.4148880,1691653.2195041,1077355.3951134,6921905.3565007,99924.3348438,4867609.4805834,1691490.9441678,1691815.4948405,1994186.4558522,1261234.2559103,35693844.9596772,1691653.2195041,1077355.3951134,6921905.3565007,99924.3348438,4867609.4805834,1691490.9441678,1691815.4948405,1994186.4558522,1261234.2559103,35693844.9596772
0.0500000,0.0500000,0.0500000,inf,nan,2631565.3226446,1524204.8666980,970852.8358206,6234086.8381818,90124.1432122,4384022.4589771,1524043.0856265,1524366.6477695,1796791.8401173,1136390.9391951,32147935.0372542,1524204.8666980,970852.8358206,6234086.8381818,90124.1432122,4384022.4589771,1524043.0856265,1524366.6477695,1796791.8401173,1136390.9391951,32147935.0372542
0.0525000,0.0525000,0.0525000,inf,nan,3076627.8079677,1365878.7307608,869917.6691927,5587282.6897553,80714.8470543,3929115.3652356,1365717.4559666,1366040.0055550,1610150.8475940,1018348.8109695,28812062.8530043,1365878.7307608,869917.6691927,5587282.6897553,80714.8470543,3929115.3652356,1365717.4559666,1366040.0055550,1610150.8475940,1018348.8109695,28812062.8530043
0.0550000,0.0550000,0.0550000,inf,nan,3794008.9533950,1235557.9262593,787006.7335735,5052333.9257479,73074.2656210,3552991.3840791,1235397.4598324,1235718.3926861,1456523.6264494,921186.4250857,26054100.6478467,1235557.9262593,787006.7335735,5052333.9257479,73074.2656210,3552991.3840791,1235397.4598324,1235718.3926861,1456523.6264494,921186.4250857,26054100.6478467
0.0575000,0.0575000,0.0575000,inf,nan,5238775.6834230,1132258.8639297,721289.5542803,4628287.4429297,67019.9375324,3254844.1550667,1132099.3672641,1132418.3605954,1334750.6834935,844170.4536612,23867910.8301080,1132258.8639297,721289.5542803,4628287.4429297,67019.9375324,3254844.1550667,1132099.3672641,1132418.3605954,1334750.6834935,844170.4536612,23867910.8301080
