# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
0.0000000,0.0000000,0.0000000,1501264.7049668
0.0050000,0.0050000,0.0050000,1004521.3958384
0.0100000,0.0100000,0.0100000,683557.5290607
0.0150000,0.0150000,0.0150000,472819.3487793
0.0200000,0.0200000,0.0200000,332464.5185096
0.0250000,0.0250000,0.0250000,237774.7183967
0.0300000,0.0300000,0.0300000,173127.8869622
0.0350000,0.0350000,0.0350000,128490.2932711
0.0400000,0.0400000,0.0400000,97328.9081059
0.0450000,0.0450000,0.0450000,75341.6705184
0.0500000,0.0500000,0.0500000,59669.3084026
0.0550000,0.0550000,0.0550000,48396.9603270
0.0600000,0.0600000,0.0600000,40233.8479400
0.0650000,0.0650000,0.0650000,33988.1546248
0.0700000,0.0700000,0.0700000,28331.2142611
0.0750000,0.0750000,0.0750000,23884.8048138
0.0800000,0.0800000,0.0800000,20335.4041581
0.0850000,0.0850000,0.0850000,17461.1210326
0.0900000,0.0900000,0.0900000,15102.7506484
0.0950000,0.0950000,0.0950000,13144.2535455
0.1000000,0.1000000,0.1000000,11499.6270543
0.1050000,0.1050000,0.1050000,10104.0899068
0.1100000,0.1100000,0.1100000,8908.1524575
0.1150000,0.1150000,0.1150000,7873.5970146
0.1200000,0.1200000,0.1200000,6970.7083284
0.1250000,0.1250000,0.1250000,6176.3146853
0.1300000,0.1300000,0.1300000,5472.3530158
0.1350000,0.1350000,0.1350000,4844.7760956
0.1400000,0.1400000,0.1400000,4282.6899008
0.1450000,0.1450000,0.1450000,3777.6544384
0.1500000,0.1500000,0.1500000,3323.1093093
0.1550000,0.1550000,0.1550000,2913.9014547
0.1600000,0.1600000,0.1600000,2545.9011205
0.1650000,0.1650000,0.1650000,2215.6960552
0.1700000,0.1700000,0.1700000,1920.3553971
0.1750000,0.1750000,0.1750000,1669.4998312
0.1800000,0.1800000,0.1800000,1436.2000540
0.1850000,0.1850000,0.1850000,1230.3683048
0.1900000,0.1900000,0.1900000,1049.7360629
0.1950000,0.1950000,0.1950000,892.0828573
0.2000000,0.2000000,0.2000000,755.2387537
0.2050000,0.2050000,0.2050000,637.0983153
0.2100000,0.2100000,0.2100000,535.6401031
0.2150000,0.2150000,0.2150000,448.9471205
0.2200000,0.2200000,0.2200000,375.2249669
0.2250000,0.2250000,0.2250000,312.8157347
0.2300000,0.2300000,0.2300000,260.2067534
0.2350000,0.2350000,0.2350000,216.0341108
0.2400000,0.2400000,0.2400000,179.0814440
0.2450000,0.2450000,0.2450000,148.2748175
0.2500000,0.2500000,0.2500000,122.6746410
0.2550000,0.2550000,0.2550000,101.4655724
0.2600000,0.2600000,0.2600000,83.9452540
0.2650000,0.2650000,0.2650000,69.5125887
0.2700000,0.2700000,0.2700000,57.6561062
0.2750000,0.2750000,0.2750000,47.9428146
