# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol],UMinwater(d)[kj/mol]
0.0000000,0.0000000,0.0000000,7872770089.8455391,7872770089.8455391
0.0050000,0.0050000,0.0050000,2597597148.2079620,2597597148.2079620
0.0100000,0.0100000,0.0100000,940860450.1939921,940860450.1939921
0.0150000,0.0150000,0.0150000,368896252.4783802,368896252.4783802
0.0200000,0.0200000,0.0200000,154921280.9024573,154921280.9024573
0.0250000,0.0250000,0.0250000,69156336.5493558,69156336.5493558
0.0300000,0.0300000,0.0300000,32660531.4748353,32660531.4748353
0.0350000,0.0350000,0.0350000,16294157.2750979,16294157.2750979
0.0400000,0.0400000,0.0400000,8604518.7989933,8604518.7989933
0.0450000,0.0450000,0.0450000,4834845.9005314,4834845.9005314
0.0500000,0.0500000,0.0500000,2897171.5417605,2897171.5417605
0.0550000,0.0550000,0.0550000,1725054.6084229,1725054.6084229
0.0600000,0.0600000,0.0600000,1076536.8327221,1076536.8327221
0.0650000,0.0650000,0.0650000,703931.5749274,703931.5749274
0.0700000,0.0700000,0.0700000,481614.2847210,481614.2847210
0.0750000,0.0750000,0.0750000,344007.6932350,344007.6932350
0.0800000,0.0800000,0.0800000,245400.2966747,245400.2966747
0.0850000,0.0850000,0.0850000,179870.6691713,179870.6691713
0.0900000,0.0900000,0.0900000,130884.1619999,130884.1619999
0.0950000,0.0950000,0.0950000,95260.2895452,95260.2895452
0.1000000,0.1000000,0.1000000,70713.1373192,70713.1373192
0.1050000,0.1050000,0.1050000,53410.6230915,53410.6230915
0.1100000,0.1100000,0.1100000,40253.2402747,40253.2402747
0.1150000,0.1150000,0.1150000,29518.9420148,29518.9420148
0.1200000,0.1200000,0.1200000,21892.4628773,21892.4628773
0.1250000,0.1250000,0.1250000,16397.2850769,16397.2850769
0.1300000,0.1300000,0.1300000,12387.6895553,12387.6895553
0.1350000,0.1350000,0.1350000,9429.1066864,9429.1066864
0.1400000,0.1400000,0.1400000,7224.2106808,7224.2106808
0.1450000,0.1450000,0.1450000,5566.4416986,5566.4416986
0.1500000,0.1500000,0.1500000,4310.2601082,4310.2601082
0.1550000,0.1550000,0.1550000,3304.1262440,3304.1262440
0.1600000,0.1600000,0.1600000,2508.4243551,2508.4243551
0.1650000,0.1650000,0.1650000,1913.5434583,1913.5434583
0.1700000,0.1700000,0.1700000,1492.2708160,1465.8691960
0.1750000,0.1750000,0.1750000,1153.1636181,1126.9537897
0.1800000,0.1800000,0.1800000,895.0613371,868.9764266
0.1850000,0.1850000,0.1850000,697.6237297,671.6370944
0.1900000,0.1900000,0.1900000,545.7926903,520.0081934
0.1950000,0.1950000,0.1950000,428.2641560,403.0334245
0.2000000,0.2000000,0.2000000,336.7378018,312.1542325
