# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol],UMinwaterUCD(d)[kj/mol]
0.0000000,0.0000000,0.0000000,117560.1718372,117560.1718372
0.0050000,0.0050000,0.0050000,99971.5317418,99971.5317418
0.0100000,0.0100000,0.0100000,86282.1657695,86282.1657695
0.0150000,0.0150000,0.0150000,75001.6401487,75001.6401487
0.0200000,0.0200000,0.0200000,64678.9918580,64678.9918580
0.0250000,0.0250000,0.0250000,55951.1534575,55951.1534575
0.0300000,0.0300000,0.0300000,48638.6716493,48638.6716493
0.0350000,0.0350000,0.0350000,42581.7456459,42581.7456459
0.0400000,0.0400000,0.0400000,37640.0918008,37640.0918008
0.0450000,0.0450000,0.0450000,33656.9189868,33656.9189868
0.0500000,0.0500000,0.0500000,29541.2256653,29541.2256653
0.0550000,0.0550000,0.0550000,26192.5454342,26192.5454342
0.0600000,0.0600000,0.0600000,23502.5351727,23502.5351727
0.0650000,0.0650000,0.0650000,21367.0648600,21367.0648600
0.0700000,0.0700000,0.0700000,19688.7037740,19688.7037740
0.0750000,0.0750000,0.0750000,18378.1234324,18378.1234324
0.0800000,0.0800000,0.0800000,17354.8048985,17354.8048985
0.0850000,0.0850000,0.0850000,16442.8798108,16442.8798108
0.0900000,0.0900000,0.0900000,15362.7904303,15362.7904303
0.0950000,0.0950000,0.0950000,14518.3945830,14518.3945830
0.1000000,0.1000000,0.1000000,13841.9718743,13841.9718743
0.1050000,0.1050000,0.1050000,13278.3932211,13278.3932211
0.1100000,0.1100000,0.1100000,12783.8219340,12783.8219340
0.1150000,0.1150000,0.1150000,12324.4343520,12324.4343520
0.1200000,0.1200000,0.1200000,11875.1870694,11875.1870694
0.1250000,0.1250000,0.1250000,11254.1938590,11254.1938590
0.1300000,0.1300000,0.1300000,10613.9806172,10613.9806172
0.1350000,0.1350000,0.1350000,9989.5141842,9989.5141842
0.1400000,0.1400000,0.1400000,9369.6479269,9369.6479269
0.1450000,0.1450000,0.1450000,8748.6565883,8748.6565883
0.1500000,0.1500000,0.1500000,8125.1551983,8125.1551983
0.1550000,0.1550000,0.1550000,7501.0499985,7501.0499985
0.1600000,0.1600000,0.1600000,6643.8148804,6643.8148804
0.1650000,0.1650000,0.1650000,5736.9058940,5736.9058940
0.1700000,0.1700000,0.1700000,4966.1393128,4966.1393128
0.1750000,0.1750000,0.1750000,4309.7883880,4309.7883880
0.1800000,0.1800000,0.1800000,3749.7533537,3749.7533537
0.1850000,0.1850000,0.1850000,3270.9266350,3270.9266350
0.1900000,0.1900000,0.1900000,2860.6646908,2860.6646908
0.1950000,0.1950000,0.1950000,2508.3546760,2508.3546760
0.2000000,0.2000000,0.2000000,2177.7710016,2177.7710016
0.2050000,0.2050000,0.2050000,1851.0763473,1851.0763473
0.2100000,0.2100000,0.2100000,1600.7512644,1575.1636786
0.2150000,0.2150000,0.2150000,1366.7066292,1341.1190445
0.2200000,0.2200000,0.2200000,1167.5317861,1141.9442058
0.2250000,0.2250000,0.2250000,997.6225600,972.0349974
0.2300000,0.2300000,0.2300000,852.4116865,826.8241978
0.2350000,0.2350000,0.2350000,728.1246426,702.5374540
0.2400000,0.2400000,0.2400000,621.6109970,596.0250120
0.2450000,0.2450000,0.2450000,530.2082740,504.6428651
0.2500000,0.2500000,0.2500000,450.8853536,426.1652973
0.2550000,0.2550000,0.2550000,379.0089690,354.0730068
0.2600000,0.2600000,0.2600000,316.4179106,291.3250392
0.2650000,0.2650000,0.2650000,261.2055036,236.5901507
0.2700000,0.2700000,0.2700000,211.8521470,186.5068219
0.2750000,0.2750000,0.2750000,170.4145449,145.1186031
0.2800000,0.2800000,0.2800000,136.1292028,111.0391897
0.2850000,0.2850000,0.2850000,107.8331316,83.0826352
0.2900000,0.2900000,0.2900000,84.5030305,60.2394153
0.2950000,0.2950000,0.2950000,65.2758446,41.6540079
0.3000000,0.3000000,0.3000000,49.4346034,26.6042950
0.3050000,0.3050000,0.3050000,36.3967820,14.4829431
0.3100000,0.3100000,0.3100000,25.6996975,4.7807982
0.3150000,0.3150000,0.3150000,16.9722935,-2.9277528
0.3200000,0.3200000,0.3200000,9.8817497,-9.3099575
0.3250000,0.3250000,0.3250000,4.0139822,-14.3084558
