# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UC6A(d)[kJ/mol],UC8A(d)[kJ/mol],UC10A(d)[kJ/mol]
1.2025000,1.2025000,1.2025000,-0.0063159,0.0018309,-0.2711993,-0.0063159,-6.7822484,-5.3431470,-0.0013918,-0.0110982,-0.0524263,-0.1797904,-0.4943317
1.2050000,1.2050000,1.2050000,-0.0062360,0.0018194,-0.2694869,-0.0062360,-6.7330829,-5.3091697,-0.0013742,-0.0109579,-0.0517648,-0.1775379,-0.4882559
1.2075000,1.2075000,1.2075000,-0.0061573,0.0018081,-0.2677891,-0.0061573,-6.6843181,-5.2754427,-0.0013569,-0.0108196,-0.0511130,-0.1753181,-0.4822652
1.2100000,1.2100000,1.2100000,-0.0060797,0.0017969,-0.2661055,-0.0060797,-6.6359504,-5.2419640,-0.0013398,-0.0106834,-0.0504707,-0.1731305,-0.4763583
1.2125000,1.2125000,1.2125000,-0.0060033,0.0017858,-0.2644360,-0.0060033,-6.5879762,-5.2087315,-0.0013229,-0.0105492,-0.0498379,-0.1709745,-0.4705339
1.2150000,1.2150000,1.2150000,-0.0059281,0.0017748,-0.2627806,-0.0059281,-6.5403921,-5.1757433,-0.0013063,-0.0104169,-0.0492143,-0.1688497,-0.4647907
1.2175000,1.2175000,1.2175000,-0.0058539,0.0017638,-0.2611390,-0.0058539,-6.4931946,-5.1429972,-0.0012900,-0.0102866,-0.0485998,-0.1667554,-0.4591275
1.2200000,1.2200000,1.2200000,-0.0057808,0.0017530,-0.2595111,-0.0057808,-6.4463802,-5.1104913,-0.0012739,-0.0101582,-0.0479943,-0.1646912,-0.4535430
1.2225000,1.2225000,1.2225000,-0.0057088,0.0017422,-0.2578967,-0.0057088,-6.3999456,-5.0782236,-0.0012580,-0.0100316,-0.0473975,-0.1626567,-0.4480362
1.2250000,1.2250000,1.2250000,-0.0056378,0.0017315,-0.2562958,-0.0056378,-6.3538873,-5.0461921,-0.0012424,-0.0099069,-0.0468094,-0.1606513,-0.4426056
1.2275000,1.2275000,1.2275000,-0.0055679,0.0017209,-0.2547081,-0.0055679,-6.3082022,-5.0143950,-0.0012270,-0.0097840,-0.0462298,-0.1586745,-0.4372503
1.2300000,1.2300000,1.2300000,-0.0054989,0.0017104,-0.2531336,-0.0054989,-6.2628868,-4.9828302,-0.0012118,-0.0096629,-0.0456585,-0.1567260,-0.4319691
1.2325000,1.2325000,1.2325000,-0.0054310,0.0017000,-0.2515721,-0.0054310,-6.2179380,-4.9514959,-0.0011968,-0.0095436,-0.0450955,-0.1548052,-0.4267608
1.2350000,1.2350000,1.2350000,-0.0053640,0.0016897,-0.2500234,-0.0053640,-6.1733524,-4.9203902,-0.0011820,-0.0094259,-0.0445406,-0.1529117,-0.4216243
1.2375000,1.2375000,1.2375000,-0.0052980,0.0016794,-0.2484875,-0.0052980,-6.1291270,-4.8895112,-0.0011675,-0.0093100,-0.0439936,-0.1510451,-0.4165585
1.2400000,1.2400000,1.2400000,-0.0052330,0.0016693,-0.2469642,-0.0052330,-6.0852585,-4.8588570,-0.0011532,-0.0091957,-0.0434545,-0.1492049,-0.4115624
1.2425000,1.2425000,1.2425000,-0.0051689,0.0016592,-0.2454534,-0.0051689,-6.0417438,-4.8284259,-0.0011390,-0.0090830,-0.0429230,-0.1473907,-0.4066349
1.2450000,1.2450000,1.2450000,-0.0051057,0.0016492,-0.2439549,-0.0051057,-5.9985798,-4.7982159,-0.0011251,-0.0089720,-0.0423992,-0.1456021,-0.4017749
1.2475000,1.2475000,1.2475000,-0.0050434,0.0016393,-0.2424686,-0.0050434,-5.9557634,-4.7682254,-0.0011114,-0.0088626,-0.0418828,-0.1438387,-0.3969815
1.2500000,1.2500000,1.2500000,-0.0049820,0.0016294,-0.2409944,-0.0049820,-5.9132917,-4.7384525,-0.0010978,-0.0087547,-0.0413737,-0.1421001,-0.3922536
1.2525000,1.2525000,1.2525000,-0.0049215,0.0016197,-0.2395322,-0.0049215,-5.8711616,-4.7088954,-0.0010845,-0.0086483,-0.0408718,-0.1403859,-0.3875902
1.2550000,1.2550000,1.2550000,-0.0048618,0.0016100,-0.2380819,-0.0048618,-5.8293701,-4.6795524,-0.0010713,-0.0085435,-0.0403771,-0.1386956,-0.3829903
