# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol],UCMin(d)[kJ/mol],UKMin(d)[kJ/mol],UClMin(d)[kJ/mol],UC2AMin(d)[kJ/mol],UC4AMin(d)[kJ/mol],UCPlusMin(d)[kJ/mol],UCMinusMin(d)[kJ/mol],UCMoreLJMin(d)[kJ/mol],UCLessLJMin(d)[kJ/mol],UCEps20Min(d)[kJ/mol]
0.0000000,0.0000000,0.0000000,inf,nan,5945426.8689071,9498766221.4047947,6186267366.5984898,36931934774.8011017,653741670.7818509,26055278926.3798943,9498766842.2289066,9498765600.5806828,11197514199.5022926,7081929800.5008631,191198849453.5816650,9498766221.4047947,6186267366.5984898,36931934774.8011017,653741670.7818509,26055278926.3798943,9498766842.2289066,9498765600.5806828,11197514199.5022926,7081929800.5008631,191198849453.5816650
0.0025000,0.0025000,0.0025000,inf,nan,3871776.4067421,5467243959.7338438,3560652723.6368346,21257096215.3753471,376272904.9703980,14996764892.0457191,5467244539.4154692,5467243380.0522184,6444999323.5236139,4076175476.1158080,110049259253.5720062,5467243959.7338438,3560652723.6368346,21257096215.3753471,376272904.9703980,14996764892.0457191,5467244539.4154692,5467243380.0522184,6444999323.5236139,4076175476.1158080,110049259253.5720062
0.0050000,0.0050000,0.0050000,inf,nan,2574881.4459936,3222801192.8332915,2098912443.5924416,12530537677.1128769,221800528.3276944,8840225246.8044224,3222801735.1242175,3222800650.5423656,3799163099.4774256,2402801719.3627038,64871339203.5742264,3222801192.8332915,2098912443.5924416,12530537677.1128769,221800528.3276944,8840225246.8044224,3222801735.1242175,3222800650.5423656,3799163099.4774256,2402801719.3627038,64871339203.5742264
0.0075000,0.0075000,0.0075000,inf,nan,1747571.5987539,1942142364.6065156,1264857235.0142663,7551234740.1024504,133660711.1155929,5327354329.8292656,1942142872.7904642,1942141856.4225671,2289472779.7522507,1447989724.9948285,39093189830.3112488,1942142364.6065156,1264857235.0142663,7551234740.1024504,133660711.1155929,5327354329.8292656,1942142872.7904642,1942141856.4225671,2289472779.7522507,1447989724.9948285,39093189830.3112488
0.0100000,0.0100000,0.0100000,inf,nan,1210863.1133503,1194715915.6575124,778081007.0720717,4645175508.6329374,82220542.0287514,3277145696.1279702,1194716392.6205254,1194715438.6944995,1408377479.5720680,890736128.1469998,24048349219.6473579,1194715915.6575124,778081007.0720717,4645175508.6329374,82220542.0287514,3277145696.1279702,1194716392.6205254,1194715438.6944995,1408377479.5720680,890736128.1469998,24048349219.6473579
0.0125000,0.0125000,0.0125000,inf,nan,858129.3136206,749360347.6570393,488034833.7966624,2913588916.4503770,51570270.2229772,2055521178.0802062,749360795.9448639,749359899.3692147,883375055.0176938,558695440.4064933,15083824763.5073261,749360347.6570393,488034833.7966624,2913588916.4503770,51570270.2229772,2055521178.0802062,749360795.9448639,749359899.3692147,883375055.0176938,558695440.4064933,15083824763.5073261
0.0150000,0.0150000,0.0150000,inf,nan,624647.7290024,478916559.3286676,311903629.2456557,1862071714.4951692,32958170.3725649,1313681946.7209618,478916981.1938596,478916137.4634755,564565423.3888955,357062525.2172414,9640060806.4269905,478916559.3286676,311903629.2456557,1862071714.4951692,32958170.3725649,1313681946.7209618,478916981.1938596,478916137.4634755,564565423.3888955,357062525.2172414,9640060806.4269905
0.0175000,0.0175000,0.0175000,inf,nan,470587.2407034,311847655.8580642,203097482.2381251,1212483326.4648056,21460740.0931206,855401333.4696221,311848053.2988881,311847258.4172404,367618117.2543638,232502111.9333269,6277106775.5569286,311847655.8580642,203097482.2381251,1212483326.4648056,21460740.0931206,855401333.4696221,311848053.2988881,311847258.4172404,367618117.2543638,232502111.9333269,6277106775.5569286
0.0200000,0.0200000,0.0200000,inf,nan,371315.2657201,207062848.3663137,134855168.1962191,805059606.1613537,14249938.6962552,567966607.6734220,207063223.1590477,207062473.5735797,244093720.2503638,154378423.7070231,4167854105.6154966,207062848.3663137,134855168.1962191,805059606.1613537,14249938.6962552,567966607.6734220,207063223.1590477,207062473.5735797,244093720.2503638,154378423.7070231,4167854105.6154966
0.0225000,0.0225000,0.0225000,inf,nan,311808.0435116,140500354.7050700,91505970.0590265,546246309.0064659,9669748.3804747,385375769.2760180,140500708.4309703,140500000.9791698,165627269.9184777,104751883.1155761,2827966929.2421603,140500354.7050700,91505970.0590265,546246309.0064659,9669748.3804747,385375769.2760180,140500708.4309703,140500000.9791698,165627269.9184777,104751883.1155761,2827966929.2421603
0.0250000,0.0250000,0.0250000,inf,nan,283441.3069890,97816582.7583873,63708349.9156528,380274167.6359741,6733004.5001556,268283916.6661831,97816916.8262957,97816248.6904789,115309983.3024258,72928436.8383300,1968724506.5693710,97816582.7583873,63708349.9156528,380274167.6359741,6733004.5001556,268283916.6661831,97816916.8262957,97816248.6904789,115309983.3024258,72928436.8383300,1968724506.5693710
0.0275000,0.0275000,0.0275000,inf,nan,282234.7606644,70319114.0380540,45801216.5290828,273346067.6819472,4841482.2139878,192847383.8580680,70319429.7034314,70318798.3726766,82894900.1990576,52427338.2082735,1415157268.9711745,70319114.0380540,45801216.5290828,273346067.6819472,4841482.2139878,192847383.8580680,70319429.7034314,70318798.3726766,82894900.1990576,52427338.2082735,1415157268.9711745
0.0300000,0.0300000,0.0300000,inf,nan,308069.7208000,52659787.9426345,34301496.6323049,204667609.2605628,3627122.7579289,144395849.6132402,52660086.3236429,52659489.5616261,62077401.3683667,39261195.9096984,1059611488.0723907,52659787.9426345,34301496.6323049,204667609.2605628,3627122.7579289,144395849.6132402,52660086.3236429,52659489.5616261,62077401.3683667,39261195.9096984,1059611488.0723907
0.0325000,0.0325000,0.0325000,inf,nan,323243.1490120,41501912.5018805,27036127.0084809,161265138.4177129,2860304.1273654,113776486.2029579,41502194.5930177,41501630.4107432,48924064.8431897,30942295.4596496,834921906.7111611,41501912.5018805,27036127.0084809,161265138.4177129,2860304.1273654,113776486.2029579,41502194.5930177,41501630.4107432,48924064.8431897,30942295.4596496,834921906.7111611
0.0350000,0.0350000,0.0350000,inf,nan,329561.5940714,34736658.6402730,22631713.9123618,134939044.1075912,2392077.3831536,95204526.3824412,34736925.3239683,34736391.9565776,40948921.0810576,25898371.6685253,698638768.2130988,34736658.6402730,22631713.9123618,134939044.1075912,2392077.3831536,95204526.3824412,34736925.3239683,34736391.9565776,40948921.0810576,25898371.6685253,698638768.2130988
0.0375000,0.0375000,0.0375000,inf,nan,378458.1795362,25735517.4825354,16761636.9153900,100052278.8264470,1770939.8261506,70587161.0613946,25735758.8853196,25735276.0797511,30338026.6157988,19187452.7641469,517983501.0508067,25735517.4825354,16761636.9153900,100052278.8264470,1770939.8261506,70587161.0613946,25735758.8853196,25735276.0797511,30338026.6157988,19187452.7641469,517983501.0508067
0.0400000,0.0400000,0.0400000,inf,nan,488928.5567152,19391114.8529554,12629836.5035847,75383050.4067561,1334461.2857878,53183199.3724661,19391340.2142321,19390889.4916787,22858998.6161419,14457300.1315291,390269859.8547165,19391114.8529554,12629836.5035847,75383050.4067561,1334461.2857878,53183199.3724661,19391340.2142321,19390889.4916787,22858998.6161419,14457300.1315291,390269859.8547165
0.0425000,0.0425000,0.0425000,inf,nan,706049.5020013,14888730.9078798,9697656.0216521,57876138.8666588,1024724.5249535,40832197.5505951,14888940.8954882,14888520.9202713,17551413.7170644,11100488.7003691,299635821.6341806,14888730.9078798,9697656.0216521,57876138.8666588,1024724.5249535,40832197.5505951,14888940.8954882,14888520.9202713,17551413.7170644,11100488.7003691,299635821.6341806
0.0450000,0.0450000,0.0450000,inf,nan,1136791.2167003,11659743.7403144,7594770.8890343,45320679.0194027,802597.9051088,31974402.7983791,11659938.9654281,11659548.5152007,13744958.3505403,8693074.9463717,234635609.3121946,11659743.7403144,7594770.8890343,45320679.0194027,802597.9051088,31974402.7983791,11659938.9654281,11659548.5152007,13744958.3505403,8693074.9463717,234635609.3121946
0.0475000,0.0475000,0.0475000,inf,nan,2053285.1706417,9316870.7657529,6068957.2930347,36210867.8282936,641429.8739947,25547479.8217345,9317051.7876823,9316689.7438235,10983088.7783463,6946315.2566821,187473594.9684314,9316870.7657529,6068957.2930347,36210867.8282936,641429.8739947,25547479.8217345,9317051.7876823,9316689.7438235,10983088.7783463,6946315.2566821,187473594.9684314
