# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],Uslab(d)[kJ/mol]
0.1825000,0.1825000,0.1825000,1812.3994038,-0.5298878,1694.6566873
0.1850000,0.1850000,0.1850000,1587.0193059,-0.5170912,1418.3585077
0.1875000,0.1875000,0.1875000,1391.0977225,-0.5046483,1191.3139808
0.1900000,0.1900000,0.1900000,1220.5770150,-0.4925486,1003.9124746
0.1925000,0.1925000,0.1925000,1071.9879383,-0.4807822,848.5845080
0.1950000,0.1950000,0.1950000,942.3599763,-0.4693396,719.3334331
0.1975000,0.1975000,0.1975000,829.1459443,-0.4582120,611.3823495
0.2000000,0.2000000,0.2000000,730.1585045,-0.4473912,520.9060457
0.2025000,0.2025000,0.2025000,643.5166608,-0.4368699,444.8261383
0.2050000,0.2050000,0.2050000,567.6006270,-0.4266413,380.6367945
0.2075000,0.2075000,0.2075000,501.0137329,-0.4166991,324.3105079
0.2100000,0.2100000,0.2100000,442.5502330,-0.4070372,270.5469492
0.2125000,0.2125000,0.2125000,391.1680545,-0.3976491,225.2393273
0.2150000,0.2150000,0.2150000,345.9656656,-0.3885277,187.7911113
0.2175000,0.2175000,0.2175000,306.1623722,-0.3796652,156.7432505
0.2200000,0.2200000,0.2200000,271.0814762,-0.3710529,130.9082434
0.2225000,0.2225000,0.2225000,240.1358341,-0.3626816,109.3367243
0.2250000,0.2250000,0.2250000,212.8154523,-0.3545417,91.2671427
0.2275000,0.2275000,0.2275000,188.6768242,-0.3466236,76.0858369
0.2300000,0.2300000,0.2300000,167.3337727,-0.3389181,63.2960797
0.2325000,0.2325000,0.2325000,148.4495928,-0.3314166,52.4940318
0.2350000,0.2350000,0.2350000,131.7303196,-0.3241110,43.3499768
0.2375000,0.2375000,0.2375000,116.9189628,-0.3169940,35.5936072
0.2400000,0.2400000,0.2400000,103.7905682,-0.3100589,29.0024351
0.2425000,0.2425000,0.2425000,92.1479846,-0.3032997,23.3926215
0.2450000,0.2450000,0.2450000,81.8182297,-0.2967108,18.6116909
0.2475000,0.2475000,0.2475000,72.6493630,-0.2902871,14.5327213
0.2500000,0.2500000,0.2500000,64.5077913,-0.2840238,11.0496914
0.2525000,0.2525000,0.2525000,57.2759405,-0.2779165,8.0737407
0.2550000,0.2550000,0.2550000,50.8502412,-0.2719609,5.5301469
0.2575000,0.2575000,0.2575000,45.1393811,-0.2661529,3.3558761
0.2600000,0.2600000,0.2600000,40.0627876,-0.2604886,1.4975882
0.2625000,0.2625000,0.2625000,35.5493077,-0.2549641,-0.0899852
0.2650000,0.2650000,0.2650000,31.5360580,-0.2495758,-1.4453633
0.2675000,0.2675000,0.2675000,27.9674217,-0.2443202,-2.6013923
0.2700000,0.2700000,0.2700000,24.7941719,-0.2391937,-3.5861246
0.2725000,0.2725000,0.2725000,21.9727046,-0.2341928,-4.4235391
0.2750000,0.2750000,0.2750000,19.4643647,-0.2293142,-5.1341344
0.2775000,0.2775000,0.2775000,17.2348512,-0.2245541,-5.7354207
0.2800000,0.2800000,0.2800000,15.2536894,-0.2199088,-6.2423359
0.2825000,0.2825000,0.2825000,13.4937586,-0.2153736,-6.6676041
0.2850000,0.2850000,0.2850000,11.9308682,-0.2109432,-7.0220538
0.2875000,0.2875000,0.2875000,10.5433795,-0.2066109,-7.3149040
0.2900000,0.2900000,0.2900000,9.3118700,-0.2023688,-7.5540233
0.2925000,0.2925000,0.2925000,8.2188472,-0.1982075,-7.7461596
0.2950000,0.2950000,0.2950000,7.2485130,-0.1941172,-7.8971397
0.2975000,0.2975000,0.2975000,6.3865826,-0.1900882,-8.0120336
0.3000000,0.3000000,0.3000000,5.6201565,-0.1861120,-8.0952856
0.3025000,0.3025000,0.3025000,4.9376376,-0.1821829,-8.1508161
0.3050000,0.3050000,0.3050000,4.3286802,-0.1782979,-8.1821058
0.3075000,0.3075000,0.3075000,3.7841542,-0.1744581,-8.1922728
0.3100000,0.3100000,0.3100000,3.2961070,-0.1706674,-8.1841477
0.3125000,0.3125000,0.3125000,2.8577088,-0.1669327,-8.1603453
0.3150000,0.3150000,0.3150000,2.4631728,-0.1632619,-8.1233242
0.3175000,0.3175000,0.3175000,2.1076500,-0.1596631,-8.0754283
0.3200000,0.3200000,0.3200000,1.7871032,-0.1561429,-8.0189043
0.3225000,0.3225000,0.3225000,1.4981693,-0.1527061,-7.9559000
0.3250000,0.3250000,0.3250000,1.2380221,-0.1493541,-7.8884406
0.3275000,0.3275000,0.3275000,1.0042435,-0.1460848,-7.8183852
0.3300000,0.3300000,0.3300000,0.7947115,-0.1428918,-7.7473631
0.3325000,0.3325000,0.3325000,0.6075093,-0.1397649,-7.6767033
0.3350000,0.3350000,0.3350000,0.4408573,-0.1366896,-7.6073775
0.3375000,0.3375000,0.3375000,0.2930661,-0.1336483,-7.5399796
0.3400000,0.3400000,0.3400000,0.1625086,-0.1306213,-7.4747504
0.3425000,0.3425000,0.3425000,0.0476081,-0.1275884,-7.4116419
0.3450000,0.3450000,0.3450000,-0.0531611,-0.1245315,-7.3504001
0.3475000,0.3475000,0.3475000,-0.1412654,-0.1214364,-7.2906482
0.3500000,0.3500000,0.3500000,-0.2180991,-0.1182946,-7.2319605
0.3525000,0.3525000,0.3525000,-0.2849713,-0.1151049,-7.1739253
0.3550000,0.3550000,0.3550000,-0.3430977,-0.1118725,-7.1161987
0.3575000,0.3575000,0.3575000,-0.3935964,-0.1086085,-7.0585435
0.3600000,0.3600000,0.3600000,-0.4374895,-0.1053277,-7.0008453
0.3625000,0.3625000,0.3625000,-0.4757075,-0.1020466,-6.9431013
0.3650000,0.3650000,0.3650000,-0.5090939,-0.0987811,-6.8853847
0.3675000,0.3675000,0.3675000,-0.5384082,-0.0955448,-6.8277974
0.3700000,0.3700000,0.3700000,-0.5643281,-0.0923469,-6.7704290
0.3725000,0.3725000,0.3725000,-0.5874490,-0.0891910,-6.7133303
0.3750000,0.3750000,0.3750000,-0.6082836,-0.0860739,-6.6565034
0.3775000,0.3775000,0.3775000,-0.6272608,-0.0829868,-6.5999030
0.3800000,0.3800000,0.3800000,-0.6447256,-0.0799159,-6.5434406
0.3825000,0.3825000,0.3825000,-0.6609420,-0.0768455,-6.4869948
0.3850000,0.3850000,0.3850000,-0.6760977,-0.0737606,-6.4304295
0.3875000,0.3875000,0.3875000,-0.6903140,-0.0706498,-6.3736229
0.3900000,0.3900000,0.3900000,-0.7036565,-0.0675070,-6.3165016
0.3925000,0.3925000,0.3925000,-0.7161492,-0.0643336,-6.2590639
0.3950000,0.3950000,0.3950000,-0.7277881,-0.0611388,-6.2013808
0.3975000,0.3975000,0.3975000,-0.7385544,-0.0579394,-6.1435735
