# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
0.0000000,0.0000000,0.0000000,377603915095018048.0000000
0.0050000,0.0050000,0.0050000,7062185241528022.0000000
0.0100000,0.0100000,0.0100000,357381050248947.6875000
0.0150000,0.0150000,0.0150000,32818053362184.1953125
0.0200000,0.0200000,0.0200000,4482798433206.4384766
0.0250000,0.0250000,0.0250000,813181637891.8825684
0.0300000,0.0300000,0.0300000,182498385099.6590271
0.0350000,0.0350000,0.0350000,48333799704.5225220
0.0400000,0.0400000,0.0400000,14615109954.6488323
0.0450000,0.0450000,0.0450000,4925695188.6868248
0.0500000,0.0500000,0.0500000,1817268963.5961945
0.0550000,0.0550000,0.0550000,723861890.4545870
0.0600000,0.0600000,0.0600000,307974686.6951535
0.0650000,0.0650000,0.0650000,138800852.1493360
0.0700000,0.0700000,0.0700000,65860472.2399614
0.0750000,0.0750000,0.0750000,32775404.8860064
0.0800000,0.0800000,0.0800000,17089413.2013910
0.0850000,0.0850000,0.0850000,9361173.7165571
0.0900000,0.0900000,0.0900000,5224053.1790560
0.0950000,0.0950000,0.0950000,3018029.5862000
0.1000000,0.1000000,0.1000000,1806211.8718162
0.1050000,0.1050000,0.1050000,1117938.5471008
0.1100000,0.1100000,0.1100000,719323.5996240
0.1150000,0.1150000,0.1150000,481369.9584703
0.1200000,0.1200000,0.1200000,334702.6936361
0.1250000,0.1250000,0.1250000,232552.4641276
0.1300000,0.1300000,0.1300000,153816.9297744
0.1350000,0.1350000,0.1350000,103847.2419460
0.1400000,0.1400000,0.1400000,71492.5168040
0.1450000,0.1450000,0.1450000,50136.6976221
0.1500000,0.1500000,0.1500000,35778.7861901
0.1550000,0.1550000,0.1550000,25954.4178411
0.1600000,0.1600000,0.1600000,19118.5368007
0.1650000,0.1650000,0.1650000,14285.6773862
0.1700000,0.1700000,0.1700000,10816.7722906
0.1750000,0.1750000,0.1750000,8290.7258850
0.1800000,0.1800000,0.1800000,6425.8143280
0.1850000,0.1850000,0.1850000,5030.8264802
0.1900000,0.1900000,0.1900000,3974.2214977
0.1950000,0.1950000,0.1950000,3164.3607595
0.2000000,0.2000000,0.2000000,2536.6464025
0.2050000,0.2050000,0.2050000,2045.0307679
0.2100000,0.2100000,0.2100000,1668.2194925
0.2150000,0.2150000,0.2150000,1358.2743327
0.2200000,0.2200000,0.2200000,1108.6641991
0.2250000,0.2250000,0.2250000,858.4877308
0.2300000,0.2300000,0.2300000,665.4747556
0.2350000,0.2350000,0.2350000,517.9992266
0.2400000,0.2400000,0.2400000,404.7810974
0.2450000,0.2450000,0.2450000,317.4884132
0.2500000,0.2500000,0.2500000,249.9235595
0.2550000,0.2550000,0.2550000,197.4464559
0.2600000,0.2600000,0.2600000,156.5621044
0.2650000,0.2650000,0.2650000,124.6231657
0.2700000,0.2700000,0.2700000,99.6135016
0.2750000,0.2750000,0.2750000,79.9887613
0.2800000,0.2800000,0.2800000,64.5579433
0.2850000,0.2850000,0.2850000,52.3963648
0.2900000,0.2900000,0.2900000,42.7830449
0.2950000,0.2950000,0.2950000,35.1542897
0.3000000,0.3000000,0.3000000,29.0665163
0.3050000,0.3050000,0.3050000,24.1678765
0.3100000,0.3100000,0.3100000,20.1816627
0.3150000,0.3150000,0.3150000,16.8981671
0.3200000,0.3200000,0.3200000,14.1653919
0.3250000,0.3250000,0.3250000,11.8743367
0.3300000,0.3300000,0.3300000,9.9437512
0.3350000,0.3350000,0.3350000,8.3093517
0.3400000,0.3400000,0.3400000,6.9177471
0.3450000,0.3450000,0.3450000,5.7241326
0.3500000,0.3500000,0.3500000,4.6929691
0.3550000,0.3550000,0.3550000,3.7991291
0.3600000,0.3600000,0.3600000,3.0264813
0.3650000,0.3650000,0.3650000,2.3638206
0.3700000,0.3700000,0.3700000,1.8008134
0.3750000,0.3750000,0.3750000,1.3261660
