# r[nm],d[nm],daligned[nm],Ucline(d)[kj/mol]
0.0000000,0.0000000,0.0000000,23897951.8024667
0.0050000,0.0050000,0.0050000,22946820.4050991
0.0100000,0.0100000,0.0100000,22146065.4266456
0.0150000,0.0150000,0.0150000,21006172.6301781
0.0200000,0.0200000,0.0200000,19727602.5004364
0.0250000,0.0250000,0.0250000,18298164.0367102
0.0300000,0.0300000,0.0300000,16745397.9919372
0.0350000,0.0350000,0.0350000,15141397.7584829
0.0400000,0.0400000,0.0400000,13479554.6595743
0.0450000,0.0450000,0.0450000,11816123.1068937
0.0500000,0.0500000,0.0500000,10226191.0908130
0.0550000,0.0550000,0.0550000,8739479.4997051
0.0600000,0.0600000,0.0600000,7378002.5662469
0.0650000,0.0650000,0.0650000,6155785.4652628
0.0700000,0.0700000,0.0700000,5079120.9515638
0.0750000,0.0750000,0.0750000,4147386.8360757
0.0800000,0.0800000,0.0800000,3354304.8672446
0.0850000,0.0850000,0.0850000,2668603.3118538
0.0900000,0.0900000,0.0900000,2101256.9145812
0.0950000,0.0950000,0.0950000,1643425.4859758
0.1000000,0.1000000,0.1000000,1278021.5953206
0.1050000,0.1050000,0.1050000,989156.6478441
0.1100000,0.1100000,0.1100000,762652.5230293
0.1150000,0.1150000,0.1150000,586259.9313309
0.1200000,0.1200000,0.1200000,449667.5461694
0.1250000,0.1250000,0.1250000,344377.2875365
0.1300000,0.1300000,0.1300000,263506.0704409
0.1350000,0.1350000,0.1350000,201557.9104944
0.1400000,0.1400000,0.1400000,154195.4866100
0.1450000,0.1450000,0.1450000,118028.4333769
0.1500000,0.1500000,0.1500000,90427.0120834
0.1550000,0.1550000,0.1550000,69364.0293050
0.1600000,0.1600000,0.1600000,53284.3355362
0.1650000,0.1650000,0.1650000,40999.3216546
0.1700000,0.1700000,0.1700000,31603.0018481
0.1750000,0.1750000,0.1750000,24406.1139066
0.1800000,0.1800000,0.1800000,18884.8865217
0.1850000,0.1850000,0.1850000,14641.5225746
0.1900000,0.1900000,0.1900000,11373.9060080
0.1950000,0.1950000,0.1950000,8852.4886264
0.2000000,0.2000000,0.2000000,6902.7171647
0.2050000,0.2050000,0.2050000,5388.9005933
0.2100000,0.2100000,0.2100000,4212.5166221
0.2150000,0.2150000,0.2150000,3297.7509694
0.2200000,0.2200000,0.2200000,2584.8416118
0.2250000,0.2250000,0.2250000,2028.0435795
0.2300000,0.2300000,0.2300000,1607.3522398
0.2350000,0.2350000,0.2350000,1265.5636004
0.2400000,0.2400000,0.2400000,997.0017160
0.2450000,0.2450000,0.2450000,785.6043792
0.2500000,0.2500000,0.2500000,618.9346343
0.2550000,0.2550000,0.2550000,487.3384447
0.2600000,0.2600000,0.2600000,383.3024197
0.2650000,0.2650000,0.2650000,300.9646775
0.2700000,0.2700000,0.2700000,235.7421873
0.2750000,0.2750000,0.2750000,184.0451577
0.2800000,0.2800000,0.2800000,143.0561277
0.2850000,0.2850000,0.2850000,110.5581116
0.2900000,0.2900000,0.2900000,84.8010643
0.2950000,0.2950000,0.2950000,64.3986609
0.3000000,0.3000000,0.3000000,48.2490933
0.3050000,0.3050000,0.3050000,35.4753257
0.3100000,0.3100000,0.3100000,25.3811286
0.3150000,0.3150000,0.3150000,17.4182135
0.3200000,0.3200000,0.3200000,11.1587622
0.3250000,0.3250000,0.3250000,6.2696994
0.3300000,0.3300000,0.3300000,2.4890593
0.3350000,0.3350000,0.3350000,-0.3937108
0.3400000,0.3400000,0.3400000,-2.5532956
0.3450000,0.3450000,0.3450000,-4.1409177
0.3500000,0.3500000,0.3500000,-5.2937689
0.3550000,0.3550000,0.3550000,-6.1388529
0.3600000,0.3600000,0.3600000,-6.7859038
0.3650000,0.3650000,0.3650000,-7.3105101
0.3700000,0.3700000,0.3700000,-7.7447596
0.3750000,0.3750000,0.3750000,-8.0904599
0.3800000,0.3800000,0.3800000,-8.3436868
0.3850000,0.3850000,0.3850000,-8.5104933
0.3900000,0.3900000,0.3900000,-8.6086170
0.3950000,0.3950000,0.3950000,-8.6606143
0.4000000,0.4000000,0.4000000,-8.6851785
0.4050000,0.4050000,0.4050000,-8.6926752
0.4100000,0.4100000,0.4100000,-8.6870166
0.4150000,0.4150000,0.4150000,-8.6700487
0.4200000,0.4200000,0.4200000,-8.6437709
0.4250000,0.4250000,0.4250000,-8.6100192
0.4300000,0.4300000,0.4300000,-8.5698093
0.4350000,0.4350000,0.4350000,-8.5232665
0.4400000,0.4400000,0.4400000,-8.4694521
0.4450000,0.4450000,0.4450000,-8.4057344
0.4500000,0.4500000,0.4500000,-8.3275446
0.4550000,0.4550000,0.4550000,-8.2294260
0.4600000,0.4600000,0.4600000,-8.1070616
0.4650000,0.4650000,0.4650000,-7.9589753
0.4700000,0.4700000,0.4700000,-7.7869534
0.4750000,0.4750000,0.4750000,-7.5952657
0.4800000,0.4800000,0.4800000,-7.3891856
0.4850000,0.4850000,0.4850000,-7.1734292
0.4900000,0.4900000,0.4900000,-6.9512187
0.4950000,0.4950000,0.4950000,-6.7242152
0.5000000,0.5000000,0.5000000,-6.4930211
0.5050000,0.5050000,0.5050000,-6.2578519
0.5100000,0.5100000,0.5100000,-6.0191029
0.5150000,0.5150000,0.5150000,-5.7776522
0.5200000,0.5200000,0.5200000,-5.5348840
0.5250000,0.5250000,0.5250000,-5.2925244
0.5300000,0.5300000,0.5300000,-5.0524159
0.5350000,0.5350000,0.5350000,-4.8163169
0.5400000,0.5400000,0.5400000,-4.5857672
0.5450000,0.5450000,0.5450000,-4.3620195
0.5500000,0.5500000,0.5500000,-4.1460232
0.5550000,0.5550000,0.5550000,-3.9384423
0.5600000,0.5600000,0.5600000,-3.7396895
0.5650000,0.5650000,0.5650000,-3.5499689
0.5700000,0.5700000,0.5700000,-3.3693170
0.5750000,0.5750000,0.5750000,-3.1976410
0.5800000,0.5800000,0.5800000,-3.0347513
0.5850000,0.5850000,0.5850000,-2.8803884
0.5900000,0.5900000,0.5900000,-2.7342446
0.5950000,0.5950000,0.5950000,-2.5959813
0.6000000,0.6000000,0.6000000,-2.4652420
0.6050000,0.6050000,0.6050000,-2.3416623
0.6100000,0.6100000,0.6100000,-2.2248776
0.6150000,0.6150000,0.6150000,-2.1145283
0.6200000,0.6200000,0.6200000,-2.0102638
0.6250000,0.6250000,0.6250000,-1.9117453
0.6300000,0.6300000,0.6300000,-1.8186474
0.6350000,0.6350000,0.6350000,-1.7306591
0.6400000,0.6400000,0.6400000,-1.6474849
0.6450000,0.6450000,0.6450000,-1.5688441
0.6500000,0.6500000,0.6500000,-1.4944715
0.6550000,0.6550000,0.6550000,-1.4241167
0.6600000,0.6600000,0.6600000,-1.3575436
0.6650000,0.6650000,0.6650000,-1.2945300
0.6700000,0.6700000,0.6700000,-1.2348670
0.6750000,0.6750000,0.6750000,-1.1783583
0.6800000,0.6800000,0.6800000,-1.1248194
0.6850000,0.6850000,0.6850000,-1.0740774
0.6900000,0.6900000,0.6900000,-1.0259699
0.6950000,0.6950000,0.6950000,-0.9803444
0.7000000,0.7000000,0.7000000,-0.9370580
0.7050000,0.7050000,0.7050000,-0.8959766
0.7100000,0.7100000,0.7100000,-0.8569744
0.7150000,0.7150000,0.7150000,-0.8199334
0.7200000,0.7200000,0.7200000,-0.7847429
0.7250000,0.7250000,0.7250000,-0.7512989
0.7300000,0.7300000,0.7300000,-0.7195038
0.7350000,0.7350000,0.7350000,-0.6892662
0.7400000,0.7400000,0.7400000,-0.6604999
0.7450000,0.7450000,0.7450000,-0.6331242
0.7500000,0.7500000,0.7500000,-0.6070632
0.7550000,0.7550000,0.7550000,-0.5822456
0.7600000,0.7600000,0.7600000,-0.5586043
0.7650000,0.7650000,0.7650000,-0.5360762
0.7700000,0.7700000,0.7700000,-0.5146021
0.7750000,0.7750000,0.7750000,-0.4941260
0.7800000,0.7800000,0.7800000,-0.4745955
0.7850000,0.7850000,0.7850000,-0.4559611
