# r[nm],d[nm],daligned[nm],U(d)[kj/mol],V(d)[e/nm],USlab(d)[kJ/mol],UC(d)[kJ/mol],UK(d)[kJ/mol],UCl(d)[kJ/mol],UC2A(d)[kJ/mol],UC4A(d)[kJ/mol],UCPlus(d)[kJ/mol],UCMinus(d)[kJ/mol],UCMoreLJ(d)[kJ/mol],UCLessLJ(d)[kJ/mol],UCEps20(d)[kJ/mol]
0.8800000,0.8800000,0.8800000,-0.0336328,-0.0009569,-0.5267012,-0.0336328,-5.1591109,-4.2732112,-0.0079925,-0.0574923,-1.4913879,-1.3064306,-0.0396489,-0.0250742,-0.4259184
0.8825000,0.8825000,0.8825000,-0.0330343,-0.0009498,-0.5220606,-0.0330343,-5.1041252,-4.2295032,-0.0078500,-0.0564720,-1.4733398,-1.2918913,-0.0389433,-0.0246280,-0.4183354
0.8850000,0.8850000,0.8850000,-0.0324482,-0.0009427,-0.5174748,-0.0324482,-5.0498317,-4.1863702,-0.0077104,-0.0554728,-1.4555604,-1.2775562,-0.0382524,-0.0241911,-0.4109102
0.8875000,0.8875000,0.8875000,-0.0318743,-0.0009357,-0.5129431,-0.0318743,-4.9962205,-4.1438025,-0.0075738,-0.0544942,-1.4380449,-1.2634220,-0.0375758,-0.0237633,-0.4036392
0.8900000,0.8900000,0.8900000,-0.0313123,-0.0009288,-0.5084647,-0.0313123,-4.9432817,-4.1017906,-0.0074400,-0.0535357,-1.4207890,-1.2494850,-0.0369132,-0.0233443,-0.3965187
0.8925000,0.8925000,0.8925000,-0.0307618,-0.0009219,-0.5040387,-0.0307618,-4.8910060,-4.0603252,-0.0073090,-0.0525969,-1.4037879,-1.2357420,-0.0362642,-0.0229339,-0.3895451
0.8950000,0.8950000,0.8950000,-0.0302226,-0.0009151,-0.4996644,-0.0302226,-4.8393837,-4.0193974,-0.0071806,-0.0516772,-1.3870374,-1.2221894,-0.0356286,-0.0225320,-0.3827149
0.8975000,0.8975000,0.8975000,-0.0296945,-0.0009083,-0.4953410,-0.0296945,-4.7884057,-3.9789983,-0.0070550,-0.0507763,-1.3705331,-1.2088242,-0.0350060,-0.0221383,-0.3760248
0.9000000,0.9000000,0.9000000,-0.0291772,-0.0009016,-0.4910678,-0.0291772,-4.7380628,-3.9391191,-0.0069319,-0.0498938,-1.3542708,-1.1956430,-0.0343961,-0.0217526,-0.3694715
0.9025000,0.9025000,0.9025000,-0.0286704,-0.0008949,-0.4868441,-0.0286704,-4.6883461,-3.8997514,-0.0068113,-0.0490291,-1.3382464,-1.1826428,-0.0337986,-0.0213748,-0.3630518
