# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
0.0000000,0.0000000,0.0000000,402392.8319396
0.0050000,0.0050000,0.0050000,302199.3373006
0.0100000,0.0100000,0.0100000,239134.4833610
0.0150000,0.0150000,0.0150000,199804.1883217
0.0200000,0.0200000,0.0200000,176684.8668846
0.0250000,0.0250000,0.0250000,166246.8284028
0.0300000,0.0300000,0.0300000,155640.3263428
0.0350000,0.0350000,0.0350000,148780.2866242
0.0400000,0.0400000,0.0400000,145743.7171819
0.0450000,0.0450000,0.0450000,130527.1739596
0.0500000,0.0500000,0.0500000,116130.4835509
0.0550000,0.0550000,0.0550000,103345.1465259
0.0600000,0.0600000,0.0600000,90509.8742542
0.0650000,0.0650000,0.0650000,78752.3461661
0.0700000,0.0700000,0.0700000,68424.9170321
0.0750000,0.0750000,0.0750000,59421.6901304
0.0800000,0.0800000,0.0800000,51625.9116371
0.0850000,0.0850000,0.0850000,44908.6966798
0.0900000,0.0900000,0.0900000,39140.9424502
0.0950000,0.0950000,0.0950000,34216.5888181
0.1000000,0.1000000,0.1000000,30022.5059772
0.1050000,0.1050000,0.1050000,26454.6885374
0.1100000,0.1100000,0.1100000,23419.3586746
0.1150000,0.1150000,0.1150000,20833.2469291
0.1200000,0.1200000,0.1200000,18623.3089212
0.1250000,0.1250000,0.1250000,16726.1101920
0.1300000,0.1300000,0.1300000,15087.0593692
0.1350000,0.1350000,0.1350000,13659.6105431
0.1400000,0.1400000,0.1400000,12404.5013218
0.1450000,0.1450000,0.1450000,11289.0502571
0.1500000,0.1500000,0.1500000,10286.5087749
0.1550000,0.1550000,0.1550000,9375.4480733
0.1600000,0.1600000,0.1600000,8283.9698896
0.1650000,0.1650000,0.1650000,7029.8043205
0.1700000,0.1700000,0.1700000,5941.2683918
0.1750000,0.1750000,0.1750000,5002.8845015
0.1800000,0.1800000,0.1800000,4198.8859357
0.1850000,0.1850000,0.1850000,3513.7889080
0.1900000,0.1900000,0.1900000,2932.8298051
0.1950000,0.1950000,0.1950000,2442.2679568
0.2000000,0.2000000,0.2000000,2029.5681008
0.2050000,0.2050000,0.2050000,1695.8793697
0.2100000,0.2100000,0.2100000,1406.4596141
0.2150000,0.2150000,0.2150000,1165.0024942
0.2200000,0.2200000,0.2200000,963.9719713
0.2250000,0.2250000,0.2250000,796.8949332
0.2300000,0.2300000,0.2300000,658.2491260
0.2350000,0.2350000,0.2350000,543.3502337
0.2400000,0.2400000,0.2400000,448.2435151
0.2450000,0.2450000,0.2450000,369.6032889
0.2500000,0.2500000,0.2500000,304.6419880
0.2550000,0.2550000,0.2550000,251.0294057
0.2600000,0.2600000,0.2600000,206.8220216
0.2650000,0.2650000,0.2650000,170.4018083
0.2700000,0.2700000,0.2700000,140.4224455
0.2750000,0.2750000,0.2750000,115.7515470
0.2800000,0.2800000,0.2800000,95.3941167
0.2850000,0.2850000,0.2850000,78.4711109
0.2900000,0.2900000,0.2900000,64.3411464
0.2950000,0.2950000,0.2950000,52.6259118
0.3000000,0.3000000,0.3000000,43.0341412
0.3050000,0.3050000,0.3050000,35.2600853
0.3100000,0.3100000,0.3100000,28.9964800
0.3150000,0.3150000,0.3150000,23.9635876
0.3200000,0.3200000,0.3200000,19.9234394
