# r[nm],d[nm],daligned[nm],UwaterUCD(d)[kj/mol]
0.0000000,0.0000000,0.0000000,3540337.2879704
0.0050000,0.0050000,0.0050000,2702661.8877302
0.0100000,0.0100000,0.0100000,2254977.7224625
0.0150000,0.0150000,0.0150000,2059055.7455779
0.0200000,0.0200000,0.0200000,1905722.3570176
0.0250000,0.0250000,0.0250000,1791539.6420275
0.0300000,0.0300000,0.0300000,1551068.3220666
0.0350000,0.0350000,0.0350000,1338401.2387953
0.0400000,0.0400000,0.0400000,1153932.6781494
0.0450000,0.0450000,0.0450000,994057.6102596
0.0500000,0.0500000,0.0500000,855274.1060283
0.0550000,0.0550000,0.0550000,734414.3551159
0.0600000,0.0600000,0.0600000,628782.2719870
0.0650000,0.0650000,0.0650000,536197.3900565
0.0700000,0.0700000,0.0700000,433664.4505238
0.0750000,0.0750000,0.0750000,336403.7515538
0.0800000,0.0800000,0.0800000,259493.0597776
0.0850000,0.0850000,0.0850000,199277.7425213
0.0900000,0.0900000,0.0900000,152516.6116867
0.0950000,0.0950000,0.0950000,116441.2780856
0.1000000,0.1000000,0.1000000,88753.6571418
0.1050000,0.1050000,0.1050000,67574.0874888
0.1100000,0.1100000,0.1100000,51424.5334207
0.1150000,0.1150000,0.1150000,39140.8124860
0.1200000,0.1200000,0.1200000,29809.2268783
0.1250000,0.1250000,0.1250000,22724.4445508
0.1300000,0.1300000,0.1300000,17345.5911465
0.1350000,0.1350000,0.1350000,13260.0106935
0.1400000,0.1400000,0.1400000,10154.0632981
0.1450000,0.1450000,0.1450000,7790.0127164
0.1500000,0.1500000,0.1500000,5987.9827477
0.1550000,0.1550000,0.1550000,4612.0180386
0.1600000,0.1600000,0.1600000,3559.4020181
0.1650000,0.1650000,0.1650000,2752.5208415
0.1700000,0.1700000,0.1700000,2132.6948309
0.1750000,0.1750000,0.1750000,1659.2705558
0.1800000,0.1800000,0.1800000,1291.0928472
0.1850000,0.1850000,0.1850000,1006.3804517
0.1900000,0.1900000,0.1900000,785.7216471
0.1950000,0.1950000,0.1950000,614.3313205
0.2000000,0.2000000,0.2000000,480.9251008
0.2050000,0.2050000,0.2050000,376.8718091
0.2100000,0.2100000,0.2100000,295.5547725
0.2150000,0.2150000,0.2150000,231.8899045
0.2200000,0.2200000,0.2200000,181.9615168
0.2250000,0.2250000,0.2250000,142.7466246
0.2300000,0.2300000,0.2300000,111.9058499
0.2350000,0.2350000,0.2350000,87.6245165
0.2400000,0.2400000,0.2400000,68.4916317
0.2450000,0.2450000,0.2450000,53.4075202
0.2500000,0.2500000,0.2500000,41.5131660
0.2550000,0.2550000,0.2550000,32.1360366
0.2600000,0.2600000,0.2600000,24.7484462
0.2650000,0.2650000,0.2650000,18.9354799
0.2700000,0.2700000,0.2700000,14.3702071
0.2750000,0.2750000,0.2750000,10.7943892
0.2800000,0.2800000,0.2800000,8.0031467
0.2850000,0.2850000,0.2850000,5.8323378
0.2900000,0.2900000,0.2900000,4.1482291
0.2950000,0.2950000,0.2950000,2.8402078
0.3000000,0.3000000,0.3000000,1.8174245
0.3050000,0.3050000,0.3050000,1.0085493
0.3100000,0.3100000,0.3100000,0.3618417
0.3150000,0.3150000,0.3150000,-0.1570883
0.3200000,0.3200000,0.3200000,-0.5700221
0.3250000,0.3250000,0.3250000,-0.8915128
0.3300000,0.3300000,0.3300000,-1.1331437
0.3350000,0.3350000,0.3350000,-1.3061225
0.3400000,0.3400000,0.3400000,-1.4223458
0.3450000,0.3450000,0.3450000,-1.4941671
0.3500000,0.3500000,0.3500000,-1.5333052
