# r[nm],d[nm],daligned[nm],UWater(d)[kj/mol]
0.0000000,0.0000000,0.0000000,4174529.2906681
0.0050000,0.0050000,0.0050000,3216160.4067550
0.0100000,0.0100000,0.0100000,2742008.5308684
0.0150000,0.0150000,0.0150000,2563180.6216386
0.0200000,0.0200000,0.0200000,2368604.3236292
0.0250000,0.0250000,0.0250000,2156123.3671280
0.0300000,0.0300000,0.0300000,1876978.3959902
0.0350000,0.0350000,0.0350000,1633472.5662588
0.0400000,0.0400000,0.0400000,1421221.1747928
0.0450000,0.0450000,0.0450000,1235800.0306769
0.0500000,0.0500000,0.0500000,1073087.0784498
0.0550000,0.0550000,0.0550000,929508.4358559
0.0600000,0.0600000,0.0600000,794715.2621784
0.0650000,0.0650000,0.0650000,623267.6249978
0.0700000,0.0700000,0.0700000,484856.6306488
0.0750000,0.0750000,0.0750000,374676.3021036
0.0800000,0.0800000,0.0800000,287987.5311677
0.0850000,0.0850000,0.0850000,220433.6856865
0.0900000,0.0900000,0.0900000,168199.4019964
0.0950000,0.0950000,0.0950000,128060.2147496
0.1000000,0.1000000,0.1000000,97363.7766608
0.1050000,0.1050000,0.1050000,73973.6301893
0.1100000,0.1100000,0.1100000,56196.9186592
0.1150000,0.1150000,0.1150000,42709.5116391
0.1200000,0.1200000,0.1200000,32486.1551287
0.1250000,0.1250000,0.1250000,24739.2710360
0.1300000,0.1300000,0.1300000,18867.5335546
0.1350000,0.1350000,0.1350000,14413.9251934
0.1400000,0.1400000,0.1400000,11032.2646925
0.1450000,0.1450000,0.1450000,8460.9311392
0.1500000,0.1500000,0.1500000,6502.4934017
0.1550000,0.1550000,0.1550000,5008.0676059
0.1600000,0.1600000,0.1600000,3865.3920153
0.1650000,0.1650000,0.1650000,2989.7852267
0.1700000,0.1700000,0.1700000,2317.3178902
0.1750000,0.1750000,0.1750000,1805.1509297
0.1800000,0.1800000,0.1800000,1405.7491496
0.1850000,0.1850000,0.1850000,1096.8606178
0.1900000,0.1900000,0.1900000,857.4157300
0.1950000,0.1950000,0.1950000,671.3703646
0.2000000,0.2000000,0.2000000,526.4782636
0.2050000,0.2050000,0.2050000,413.3732249
0.2100000,0.2100000,0.2100000,324.8814803
