# r[nm],d[nm],daligned[nm],Uwater(d)[kj/mol]
0.1580432,0.1580432,0.3685385,-13.7405327
0.1680432,0.1680432,0.3785385,-12.8926287
0.1780432,0.1780432,0.3885385,-12.1315315
0.1880432,0.1880432,0.3985385,-11.4581314
0.1980432,0.1980432,0.4085385,-10.8750612
0.2080432,0.2080432,0.4185385,-10.3958528
0.2180432,0.2180432,0.4285385,-10.0411879
0.2280432,0.2280432,0.4385385,-9.8006394
0.2380432,0.2380432,0.4485385,-9.6192989
0.2480432,0.2480432,0.4585385,-9.4465157
0.2580432,0.2580432,0.4685385,-9.2589773
0.2680432,0.2680432,0.4785385,-9.0485892
0.2780432,0.2780432,0.4885385,-8.7999980
0.2880432,0.2880432,0.4985385,-8.4862373
0.2980432,0.2980432,0.5085385,-8.0783446
0.3080432,0.3080432,0.5185385,-7.5735880
0.3180432,0.3180432,0.5285385,-7.0046206
0.3280432,0.3280432,0.5385385,-6.4166016
0.3380432,0.3380432,0.5485385,-5.8463683
0.3480432,0.3480432,0.5585385,-5.3161569
0.3580432,0.3580432,0.5685385,-4.8357623
0.3680432,0.3680432,0.5785385,-4.4068360
0.3780432,0.3780432,0.5885385,-4.0265808
0.3880432,0.3880432,0.5985385,-3.6902269
0.3980432,0.3980432,0.6085385,-3.3924659
0.4080432,0.4080432,0.6185385,-3.1281842
0.4180432,0.4180432,0.6285385,-2.8927799
0.4280432,0.4280432,0.6385385,-2.6822565
0.4380432,0.4380432,0.6485385,-2.4932074
0.4480432,0.4480432,0.6585385,-2.3227554
0.4580432,0.4580432,0.6685385,-2.1684779
0.4680432,0.4680432,0.6785385,-2.0283342
0.4780432,0.4780432,0.6885385,-1.9006012
0.4880432,0.4880432,0.6985385,-1.7838175
0.4980432,0.4980432,0.7085385,-1.6767386
0.5080432,0.5080432,0.7185385,-1.5782986
0.5180432,0.5180432,0.7285385,-1.4875803
0.5280432,0.5280432,0.7385385,-1.4037901
0.5380432,0.5380432,0.7485385,-1.3262380
0.5480432,0.5480432,0.7585385,-1.2543212
0.5580432,0.5580432,0.7685385,-1.1875106
0.5680432,0.5680432,0.7785385,-1.1253399
0.5780432,0.5780432,0.7885385,-1.0673965
0.5880432,0.5880432,0.7985385,-1.0133137
0.5980432,0.5980432,0.8085385,-0.9627647
0.6080432,0.6080432,0.8185385,-0.9154574
0.6180432,0.6180432,0.8285385,-0.8711293
0.6280432,0.6280432,0.8385385,-0.8295447
0.6380432,0.6380432,0.8485385,-0.7904907
0.6480432,0.6480432,0.8585385,-0.7537748
0.6580432,0.6580432,0.8685385,-0.7192225
0.6680432,0.6680432,0.8785385,-0.6866752
0.6780432,0.6780432,0.8885385,-0.6559886
0.6880432,0.6880432,0.8985385,-0.6270311
0.6980432,0.6980432,0.9085385,-0.5996822
0.7080432,0.7080432,0.9185385,-0.5738318
0.7180432,0.7180432,0.9285385,-0.5493788
0.7280432,0.7280432,0.9385385,-0.5262304
0.7380432,0.7380432,0.9485385,-0.5043013
0.7480432,0.7480432,0.9585385,-0.4835128
0.7580432,0.7580432,0.9685385,-0.4637924
0.7680432,0.7680432,0.9785385,-0.4450730
0.7780432,0.7780432,0.9885385,-0.4272926
0.7880432,0.7880432,0.9985385,-0.4103940
0.7980432,0.7980432,1.0085385,-0.3943239
0.8080432,0.8080432,1.0185385,-0.3790330
0.8180432,0.8180432,1.0285385,-0.3644753
0.8280432,0.8280432,1.0385385,-0.3506084
0.8380432,0.8380432,1.0485385,-0.3373924
0.8480432,0.8480432,1.0585385,-0.3247905
0.8580432,0.8580432,1.0685385,-0.3127680
0.8680432,0.8680432,1.0785385,-0.3012930
0.8780432,0.8780432,1.0885385,-0.2903352
0.8880432,0.8880432,1.0985385,-0.2798666
0.8980432,0.8980432,1.1085385,-0.2698609
0.9080432,0.9080432,1.1185385,-0.2602935
0.9180432,0.9180432,1.1285385,-0.2511412
0.9280432,0.9280432,1.1385385,-0.2423825
0.9380432,0.9380432,1.1485385,-0.2339970
0.9480432,0.9480432,1.1585385,-0.2259657
0.9580432,0.9580432,1.1685385,-0.2182705
0.9680432,0.9680432,1.1785385,-0.2108948
0.9780432,0.9780432,1.1885385,-0.2038225
0.9880432,0.9880432,1.1985385,-0.1970388
0.9980432,0.9980432,1.2085385,-0.1905296
1.0080432,1.0080432,1.2185385,-0.1842817
1.0180432,1.0180432,1.2285385,-0.1782824
1.0280432,1.0280432,1.2385385,-0.1725201
1.0380432,1.0380432,1.2485385,-0.1669835
1.0480432,1.0480432,1.2585385,-0.1616622
1.0580432,1.0580432,1.2685385,-0.1565461
1.0680432,1.0680432,1.2785385,-0.1516259
1.0780432,1.0780432,1.2885385,-0.1468926
1.0880432,1.0880432,1.2985385,-0.1423378
1.0980432,1.0980432,1.3085385,-0.1379535
1.1080432,1.1080432,1.3185385,-0.1337321
1.1180432,1.1180432,1.3285385,-0.1296664
1.1280432,1.1280432,1.3385385,-0.1257497
1.1380432,1.1380432,1.3485385,-0.1219755
1.1480432,1.1480432,1.3585385,-0.1183376
1.1580432,1.1580432,1.3685385,-0.1148302
1.1680432,1.1680432,1.3785385,-0.1114477
1.1780432,1.1780432,1.3885385,-0.1081850
1.1880432,1.1880432,1.3985385,-0.1050369
