#ID,shape,source,ssdType,resolution
AuFCC100,plane,0,0,0.0032
CdSeWurtzite2-10,plane,0,0,0.0045
CNT15,cylinder,1,0,0.002
CNT15-COOH-30,cylinder,1,0,0.002
CNT15-COOH-3,cylinder,1,0,0.002
CNT15-COO--10,cylinder,1,0,0.002
CNT15-COO--3,cylinder,1,0,0.002
CNT15-NH2-14,cylinder,1,0,0.002
CNT15-NH2-2,cylinder,1,0,0.002
CNT15-NH3+-4,cylinder,1,0,0.002
CNT15-NH3+-2,cylinder,1,0,0.002
CNT15-OH-14,cylinder,1,0,0.002
CNT15-OH-4,cylinder,1,0,0.002
graphene,plane,1,3,0.002
bi-graphene,plane,1,3,0.002
tri-graphene,plane,1,3,0.002
grapheneoxide,plane,1,3,0.002
redgrapheneoxide,plane,1,3,0.002
C-amorph-2,plane,1,2,0.002
Fe2O3-001O,plane,1,1,0.002
SiO2-Quartz,plane,1,1,0.002
SiO2-Amorphous,plane,1,1,0.002
TiO2-ana-100,plane,1,1,0.002
TiO2-rut-110,plane,1,1,0.002
TiO2-rut-100,plane,1,1,0.002
TiO2-ana-101,plane,1,1,0.002
Ag111,plane,2,2,0.0018
Ag110,plane,2,2,0.0018
Ag100,plane,3,2,0.0018
AlFCC100UCD,plane,3,2,0.002
AlFCC110UCD,plane,2,2,0.002
AlFCC111UCD,plane,2,2,0.002
AuFCC100UCD,plane,3,2,0.00051
AuFCC110UCD,plane,2,2,0.00034
AuFCC111UCD,plane,2,2,0.00029
AuFCC100-Ablate0,plane,1,0,0.002
AuFCC100-Ablate5,plane,1,0,0.002
AuFCC100-Ablate25,plane,1,0,0.002
AuFCC100-Ablate50,plane,1,0,0.002
AuFCC100-Ablate75,plane,1,0,0.002
AuFCC100-Ablate100,plane,1,0,0.002
GoldBrush,plane,1,0,0.002
CaO001,plane,1,0,0.002
Pt001,plane,1,0,0.002
TricalciumSilicate001,plane,1,0,0.002
Au-001-PE,plane,1,0,0.002
Au-001-PEG,plane,1,0,0.002
Al2O3-001,plane,1,0,0.002
Cr2O3-001,plane,1,0,0.002
Ce-001,plane,1,0,0.002
Hydroxyapatite-001,plane,1,0,0.002
Fe001,plane,3,2,0.0018
Fe110,plane,2,2,0.0019
Fe111,plane,2,2,0.0019
Cu001,plane,3,2,0.00030
Cu110,plane,2,2,0.00021
Cu111,plane,2,2,0.00025
C-amorph-3,plane,1,2,0.002
mos2-001,plane,1,0,0.002
